"X","Y","Z","attribute"
0.00204682,0,0.0855276,1
1.73472e-18,0,0.09,1
-0.00260106,0,0.0861921,1
1.73472e-18,0,0.09,3
-1.73472e-18,0.00476,0.09,3
-0.00238125,0.00238,0.09,3
-1.73472e-18,0.00476,0.09,3
1.73472e-18,0,0.09,3
0.00238125,0.00238,0.09,3
-0.009525,0,0.085,1
-0.00566565,0,0.0830302,1
-0.00641584,0,0.0868445,1
0.00258936,0.00476,0.0861742,1
0.0047625,0.00476,0.09,1
0.00639389,0.00476,0.0867997,1
-0.00260106,0,0.0861921,1
-0.0047625,0,0.09,1
-0.00641584,0,0.0868445,1
0.009525,0.00476,0.084952,1
0.009525,0,0.085,1
0.009525,0.00238,0.082464,1
-0.009525,0,0.085,1
-0.009525,0.00476,0.084952,1
-0.009525,0.00238,0.082464,1
0.0047625,0,0.09,3
0.0047625,0.00476,0.09,3
0.00238125,0.00238,0.09,3
0.0047625,0.00476,0.09,3
0.0047625,0,0.09,3
0.00714375,0.00238,0.09,3
-0.00193568,0.00476,0.0853631,1
-1.73472e-18,0.00476,0.09,1
0.00258936,0.00476,0.0861742,1
0.009525,0,0.085,1
0.009525,0.00476,0.084952,1
0.009525,0.00238,0.087488,1
-0.0047625,0.00476,0.09,3
-0.0047625,0,0.09,3
-0.00238125,0.00238,0.09,3
-0.0047625,0,0.09,3
-0.0047625,0.00476,0.09,3
-0.00714375,0.00238,0.09,3
-0.009525,0.00476,0.084952,1
-0.009525,0,0.085,1
-0.009525,0.00238,0.087488,1
0.009525,0.00476,0.084952,1
0.00556757,0.00476,0.0828724,1
0.00639389,0.00476,0.0867997,1
-0.00566565,0,0.0830302,1
-0.00260106,0,0.0861921,1
-0.00641584,0,0.0868445,1
0.00556757,0.00476,0.0828724,1
0.00258936,0.00476,0.0861742,1
0.00639389,0.00476,0.0867997,1
0.00560928,0,0.0825219,1
0.009525,0,0.085,1
0.00610037,0,0.0865062,1
-0.0047625,0.00476,0.09,1
-0.00193568,0.00476,0.0853631,1
-0.00610844,0.00476,0.0864992,1
-1.73472e-18,0.00476,0.09,3
-0.0047625,0.00476,0.09,3
-0.00238125,0.00238,0.09,3
-0.00193568,0.00476,0.0853631,1
-0.0047625,0.00476,0.09,1
-1.73472e-18,0.00476,0.09,1
0.00204682,0,0.0855276,1
0.00560928,0,0.0825219,1
0.00610037,0,0.0865062,1
0.00174805,0.00476,0.0823728,1
-0.00193568,0.00476,0.0853631,1
0.00258936,0.00476,0.0861742,1
0.0047625,0,0.09,1
0.00204682,0,0.0855276,1
0.00610037,0,0.0865062,1
0.00258936,0.00476,0.0861742,1
0.00556757,0.00476,0.0828724,1
0.00174805,0.00476,0.0823728,1
0.0047625,0.00476,0.09,3
-1.73472e-18,0.00476,0.09,3
0.00238125,0.00238,0.09,3
-1.73472e-18,0.00476,0.09,1
0.0047625,0.00476,0.09,1
0.00258936,0.00476,0.0861742,1
-0.0047625,0,0.09,3
1.73472e-18,0,0.09,3
-0.00238125,0.00238,0.09,3
1.73472e-18,0,0.09,1
-0.0047625,0,0.09,1
-0.00260106,0,0.0861921,1
0.00204682,0,0.0855276,1
0.0047625,0,0.09,1
1.73472e-18,0,0.09,1
1.73472e-18,0,0.09,3
0.0047625,0,0.09,3
0.00238125,0.00238,0.09,3
-0.009525,0,0.08,1
-0.009525,0,0.085,1
-0.009525,0.00238,0.082464,1
-0.009525,0,0.085,1
-0.009525,0,0.08,1
-0.00566565,0,0.0830302,1
-0.009525,0.00476,0.09,1
-0.009525,0.00476,0.084952,1
-0.009525,0.00238,0.087488,1
-0.009525,0.00476,0.084952,1
-0.009525,0.00476,0.09,1
-0.00610844,0.00476,0.0864992,1
0.009525,0,0.085,1
0.009525,0,0.09,1
0.00610037,0,0.0865062,1
0.009525,0,0.09,1
0.009525,0,0.085,1
0.009525,0.00238,0.087488,1
0.009525,0.00476,0.09,1
0.009525,0.00476,0.084952,1
0.00639389,0.00476,0.0867997,1
0.009525,0.00476,0.084952,1
0.009525,0.00476,0.09,1
0.009525,0.00238,0.087488,1
-0.009525,0,0.085,1
-0.009525,0,0.09,1
-0.009525,0.00238,0.087488,1
-0.009525,0,0.09,1
-0.009525,0,0.085,1
-0.00641584,0,0.0868445,1
-0.009525,0,0.09,3
-0.0047625,0,0.09,3
-0.00714375,0.00238,0.09,3
-0.0047625,0,0.09,1
-0.009525,0,0.09,1
-0.00641584,0,0.0868445,1
