#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,61
#number of ports,3
#S-port 1,net1,not renormalized
#S-port 2,net2,not renormalized
#S-port 3,net3,not renormalized
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1)),dB(S(2;1)),deg(S(2;1)),dB(S(3;1)),deg(S(3;1)),dB(S(1;2)),deg(S(1;2)),dB(S(2;2)),deg(S(2;2)),dB(S(3;2)),deg(S(3;2)),dB(S(1;3)),deg(S(1;3)),dB(S(2;3)),deg(S(2;3)),dB(S(3;3)),deg(S(3;3))
10,-17.3339803172824,-23.3540378907601,-3.09076090893052,-78.115569254623,-3.09181789568577,101.852550307196,-3.09076090893052,-78.115569254623,-6.45348745183412,-59.9972390328205,-5.4837396368561,-74.1674119237202,-3.09181789568577,101.852550307196,-5.4837396368561,-74.1674119237202,-6.45119569541511,-60.0648079565427
10.1,-17.0830535107743,-35.7002229315543,-3.09563200230967,-89.5442327098012,-3.09667712908565,90.4250625723146,-3.09563200230967,-89.5442327098012,-6.47885799897114,-70.9996728190534,-5.45515306068976,-85.5034586942517,-3.09667712908565,90.4250625723146,-5.45515306068976,-85.5034586942517,-6.47658122289379,-71.0649588735503
10.2,-16.8413891730904,-47.8618939976686,-3.10060246752592,-100.802377902437,-3.10163576344821,79.1680256879288,-3.10060246752592,-100.802377902437,-6.50474807312408,-81.8432551612385,-5.42630397216061,-96.6713712083566,-3.10163576344821,79.1680256879288,-5.42630397216061,-96.6713712083566,-6.50248618813712,-81.9063897567467
10.3,-16.6081907964084,-59.8524430548114,-3.10567400010841,-111.902324114806,-3.10669549884711,68.0691272538839,-3.10567400010841,-111.902324114806,-6.53117042431361,-92.539848526865,-5.39719319256669,-107.683364873039,-3.10669549884711,68.0691272538839,-5.39719319256669,-107.683364873039,-6.52892333065813,-92.6009494687492
10.4,-16.3827615719255,-71.6838661576572,-3.1108483079554,-122.855096592484,-3.11185804229101,57.1173480072163,-3.1108483079554,-122.855096592484,-6.55813836544723,-103.100091657449,-5.36782152329335,-118.550374882807,-3.11185804229101,57.1173480072163,-5.36782152329335,-118.550374882807,-6.55590596454063,-103.159264908131
10.5,-16.1644876250939,-83.3669536684275,-3.11612713369265,-133.670606426198,-3.11712512875451,46.3027820878978,-3.11612713369265,-133.670606426198,-6.58566571209847,-113.533568642917,-5.33818977463503,-129.282234385909,-3.11712512875451,46.3027820878978,-5.33818977463503,-129.282234385909,-6.5834479215338,-113.590909782997
10.6,-15.9528244856959,-94.9114474119077,-3.12151227842991,-144.357799714157,-3.12249854408986,35.6164879903901,-3.12151227842991,-144.357799714157,-6.61376671200668,-123.848948829216,-5.30829879781417,-139.887822231698,-3.12249854408986,35.6164879903901,-5.30829879781417,-139.887822231698,-6.61156348284317,-123.904544286283
10.7,-15.7472861110526,-106.326171571787,-3.12700562591634,-154.92478215627,-3.12798014879929,25.0503640581167,-3.12700562591634,-154.92478215627,-6.64245596761775,-134.054103464691,-5.2781495187062,-150.375186386149,-3.12798014879929,25.0503640581167,-5.2781495187062,-150.375186386149,-6.64026730310527,-134.108031561111
10.8,-15.5474359464745,-117.619142596611,-3.13260916606857,-165.37892382761,-3.13357190167549,14.5970437790718,-3.13260916606857,-165.37892382761,-6.67174835564794,-144.156203653817,-5.24774297168643,-160.751647713555,-3.13357190167549,14.5970437790718,-5.24774297168643,-160.751647713555,-6.66957433026618,-144.208535514616
10.9,-15.3528796270119,-128.797662230117,-3.13832501693137,-175.726947833273,-3.13927588233336,4.24980718552255,-3.13832501693137,-175.726947833273,-6.70165894740256,-154.161803193803,-5.21708033211677,-171.023887788687,-3.13927588233336,4.24980718552255,-5.21708033211677,-171.023887788687,-6.69949972524465,-154.212603545477
11,-15.1632590120664,-139.868396906409,-3.14415544418589,174.024994242411,-3.14509431174183,-5.99749455168064,-3.14415544418589,174.024994242411,-6.73220293382724,-164.076909113523,-5.18616294602061,178.801976376639,-3.14509431174183,-5.99749455168064,-5.18616294602061,178.801976376639,-6.73005878526923,-164.126236998119
11.1,-14.9782473081034,-150.837446075033,-3.15010287744441,163.871257779135,-3.15102956993584,-16.1505036442658,-3.15010287744441,163.871257779135,-6.76339555899766,-173.907042158514,-5.15499235564718,168.720328401728,-3.15102956993584,-16.1505036442658,-5.15499235564718,168.720328401728,-6.76126687472054,-173.954951581101
11.2,-14.7975450834232,-161.710401498759,-3.15616992270079,153.806649605468,-3.15708421024336,-26.2144111717812,-3.15616992270079,153.806649605468,-6.7952520656165,176.3427109811,-5.12357031978975,158.72599756577,-3.15708421024336,-26.2144111717812,-5.12357031978975,158.72599756577,-6.79313936706682,176.29617045774
11.3,-14.6208770149224,-172.492399152502,-3.16235937047059,143.826380032242,-3.16326096948061,-36.1940050221318,-3.16235937047059,143.826380032242,-6.82778765567219,166.667652251783,-5.09189882792504,148.814211316746,-3.16326096948061,-36.1940050221318,-5.09189882792504,148.814211316746,-6.82569160118912,166.622434955395
11.4,-14.4479892350611,176.811834970299,-3.16867419930509,133.926021222481,-3.16956277374087,-46.0937114978952,-3.16867419930509,133.926021222481,-6.86101746901728,157.06343245439,-5.05998010748032,138.980554057124,-3.16956277374087,-46.0937114978952,-5.05998010748032,138.980554057124,-6.85893885495825,157.019496087722
