#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,4
#number of ports,2
#S-port 1,net1,not renormalized
#S-port 2,net2,not renormalized
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1)),dB(S(2;1)),deg(S(2;1)),dB(S(1;2)),deg(S(1;2)),dB(S(2;2)),deg(S(2;2))
8.5,-3.4050440880084,43.8688931082744,-2.64840019131012,133.937598721438,-2.64840019131012,133.937598721438,-3.404994481888,44.0003470520627
#10,-7.87731921472202,-115.308073320101,-0.772797037334286,-25.3483939705361,-0.772797037334286,-25.3483939705361,-7.87745034817565,-115.385899437993
10,-7.87330830996226,-115.407492215564,-0.773557852998954,-25.3553715658706,-0.773557852998954,-25.3553715658706,-7.87345633957369,-115.299840170272
11.6,-31.6177681332836,94.6758818935498,-0.00286533496491784,-174.579152397163,-0.00286533496491784,-174.579152397163,-31.6132974634161,96.1068005456527
#12.5,-4.12821186845799,167.816897759902,-2.12240697801591,77.7972659076818,-2.12240697801591,77.7972659076818,-4.12828643065809,167.797885180199
#12.5,-4.00194985178435,168.219278937175,-2.20390380908985,78.0409425164528,-2.20390380908985,78.0409425164528,-4.00203806770083,167.881908650799
#12.5,-3.90371681792837,168.301059141708,-2.27006657175676,78.0933947794179,-2.27006657175676,78.0933947794179,-3.90381012746827,167.9045115753
#12.5,-4.00550627100919,168.125848662634,-2.2014654091977,78.3895077262134,-2.2014654091977,78.3895077262134,-4.00548555694671,168.665335683145
#12.5,-4.0916752502391,168.39373907032,-2.14545851410672,78.373187424627,-2.14545851410672,78.373187424627,-4.09175600327124,168.357688279093
#12.5,-4.07476133963054,168.399222646122,-2.15630027198389,78.3575746347231,-2.15630027198389,78.3575746347231,-4.07484550693275,168.3208665671
#12.5,-4.12515381309702,168.307977498504,-2.12422288883814,78.3239738437651,-2.12422288883814,78.3239738437651,-4.12513722185453,168.344644044053
12.5,-4.14361467329853,168.247636502113,-2.11252497230361,78.2756785830426,-2.11252497230361,78.2756785830426,-4.14373110760266,168.308168401157
