"X","Y","Z","attribute"
0.011882,0.009525,0.00378985,1
0.00716845,0.009525,0.00373294,1
0.00953346,0.009525,0.00708218,1
0.01905,0.00395947,0.01143,1
0.01905,0.00582794,0.00701126,1
0.01905,0.00721171,0.01143,1
0.01905,0.00438426,0.00498918,1
0.01905,0.00649561,0.00286893,1
0.01905,0.00616177,0.00494009,1
0.0140974,0.00608646,0,2
0.0159189,0.00349416,0,2
0.0139126,0.00444736,0,2
0.01905,0.00582794,0.00701126,1
0.01905,0.00395947,0.01143,1
0.01905,0.00247922,0.00697719,1
0.01905,0.00438426,0.00498918,1
0.01905,0.00247922,0.00697719,1
0.01905,0.00270991,0.00497215,1
0.01905,0.00247922,0.00697719,1
0.01905,0.00395947,0.01143,1
0.01905,0,0.009144,1
0.0149075,0.009525,0.00709789,1
0.0114651,0.009525,0.0105986,1
0.0153674,0.009525,0.0116723,1
0.00716845,0.009525,0.00373294,1
0.011882,0.009525,0.00378985,1
0.009525,0.009525,0,1
0.00714375,0.00427521,0,2
0.0119063,0.00540055,0,2
0.0107156,0.00270028,0,2
0.01905,0.009525,0.009144,1
0.0149075,0.009525,0.00709789,1
0.0153674,0.009525,0.0116723,1
0.01905,0.00721171,0.01143,1
0.01905,0.00582794,0.00701126,1
0.01905,0.009525,0.009144,1
0.0119574,0,0.00454397,1
0.0142875,0,0,1
0.0156909,0,0.00337166,1
0.00714375,0.00427521,0,2
0.009525,0.009525,0,2
0.0119063,0.00540055,0,2
0.0159189,0.00349416,0,2
0.0142875,0,0,2
0.0130969,0.00270028,0,2
0.01905,0.00649561,0.00286893,1
0.01905,0.009525,0.004572,1
0.01905,0.00767647,0.00579163,1
0.0133947,0.009525,0.00544387,1
0.0155901,0.009525,0.00340956,1
0.013736,0.009525,0.0035997,1
0.0155419,0,0.00720393,1
0.0119574,0,0.00454397,1
0.0156909,0,0.00337166,1
0.0130969,0.00746278,0,2
0.0162886,0.00677236,0,2
0.0140974,0.00608646,0,2
0.0155901,0.009525,0.00340956,1
0.0142875,0.009525,0,1
0.0130847,0.009525,0.00189492,1
0.0114651,0.009525,0.0105986,1
0.0149075,0.009525,0.00709789,1
0.0122205,0.009525,0.00709004,1
0.011882,0.009525,0.00378985,1
0.00953346,0.009525,0.00708218,1
0.0122205,0.009525,0.00709004,1
0.0119574,0,0.00454397,1
0.009525,0,0,1
0.0142875,0,0,1
0.0142875,0,0,2
0.009525,0,0,2
0.0107156,0.00270028,0,2
0.0155901,0.009525,0.00340956,1
0.0149075,0.009525,0.00709789,1
0.0169787,0.009525,0.00583495,1
0.012169,0,0.00955392,1
0.0119574,0,0.00454397,1
0.0155419,0,0.00720393,1
0.01905,0,0.004572,1
0.01905,0.00294059,0.0029671,1
0.01905,0.00270991,0.00497215,1
0.01905,0,0.004572,1
0.0155419,0,0.00720393,1
0.0156909,0,0.00337166,1
0.01905,0.009525,0.006858,1
0.01905,0.00582794,0.00701126,1
0.01905,0.00767647,0.00579163,1
0.0169787,0.009525,0.00583495,1
0.01905,0.009525,0.009144,1
0.01905,0.009525,0.006858,1
0.0162886,0.00677236,0,2
0.01905,0.0047625,0,2
0.0159189,0.00349416,0,2
0.01905,0.00649561,0.00286893,1
0.01905,0.00294059,0.0029671,1
0.01905,0.0047625,0,1
0.01905,0.009525,0.002286,1
0.01905,0.00649561,0.00286893,1
0.01905,0.0080103,0.00143446,1
0.0173201,0.009525,0.00170478,1
0.01905,0.009525,0.004572,1
0.01905,0.009525,0.002286,1
0.0119063,0.00540055,0,2
0.009525,0.009525,0,2
0.0119063,0.009525,0,2
0.0119063,0.009525,0,1
0.011882,0.009525,0.00378985,1
0.0130847,0.009525,0.00189492,1
0.01905,0.009525,0.009144,1
0.01905,0.009525,0.013716,1
0.01905,0.00721171,0.01143,1
0.01905,0.009525,0.013716,1
0.01905,0.009525,0.009144,1
0.0153674,0.009525,0.0116723,1
0.0156909,0,0.00337166,1
0.0142875,0,0,1
0.0166687,0,0,1
0.0166687,0,0,2
0.0159189,0.00349416,0,2
0.0174844,0.00174708,0,2
0.0142875,0.009525,0,2
0.01905,0.009525,0,2
0.0162886,0.00677236,0,2
0.0142875,0.009525,0,1
0.0155901,0.009525,0.00340956,1
0.0173201,0.009525,0.00170478,1
0.01905,0,0.004572,1
0.01905,0,0,1
0.01905,0.00294059,0.0029671,1
0.01905,0,0.004572,1
0.0156909,0,0.00337166,1
0.0173705,0,0.00168583,1
0.01905,0,0.004572,1
0.01905,0,0.009144,1
0.0155419,0,0.00720393,1
0.01905,0,0.009144,1
0.01905,0,0.004572,1
0.01905,0.00247922,0.00697719,1
0.01905,0.00294059,0.0029671,1
0.01905,0,0,1
0.01905,0.00238125,0,1
0.0159189,0.00349416,0,2
0.01905,0.0047625,0,2
0.01905,0.00238125,0,2
0.0162886,0.00677236,0,2
0.01905,0.009525,0,2
0.01905,0.00714375,0,2
0.01905,0.00649561,0.00286893,1
0.01905,0.0047625,0,1
0.01905,0.00714375,0,1
0.01905,0.00294059,0.0029671,1
0.01905,0.00649561,0.00286893,1
0.01905,0.00438426,0.00498918,1
0.0162886,0.00677236,0,2
0.0159189,0.00349416,0,2
0.0140974,0.00608646,0,2
0.01905,0.00582794,0.00701126,1
0.01905,0.00247922,0.00697719,1
0.01905,0.00438426,0.00498918,1
0.009525,0,0,2
0.00714375,0.00427521,0,2
0.0107156,0.00270028,0,2
0.0130969,0.00270028,0,2
0.0119063,0.00540055,0,2
0.0139126,0.00444736,0,2
0.01905,0.00767647,0.00579163,1
0.01905,0.00582794,0.00701126,1
0.01905,0.00616177,0.00494009,1
0.0149075,0.009525,0.00709789,1
0.0155901,0.009525,0.00340956,1
0.0133947,0.009525,0.00544387,1
0.0142875,0.009525,0,2
0.0162886,0.00677236,0,2
0.0130969,0.00746278,0,2
0.0130847,0.009525,0.00189492,1
0.011882,0.009525,0.00378985,1
0.013736,0.009525,0.0035997,1
0.00953346,0.009525,0.00708218,1
0.0114651,0.009525,0.0105986,1
0.0122205,0.009525,0.00709004,1
0.0122205,0.009525,0.00709004,1
0.0149075,0.009525,0.00709789,1
0.0133947,0.009525,0.00544387,1
0.0107156,0.00270028,0,2
0.0119063,0.00540055,0,2
0.0130969,0.00270028,0,2
0.01905,0.009525,0.004572,1
0.0155901,0.009525,0.00340956,1
0.0169787,0.009525,0.00583495,1
0.01905,0.00247922,0.00697719,1
0.01905,0,0.004572,1
0.01905,0.00270991,0.00497215,1
0.01905,0.009525,0.009144,1
0.01905,0.00582794,0.00701126,1
0.01905,0.009525,0.006858,1
0.0149075,0.009525,0.00709789,1
0.01905,0.009525,0.009144,1
0.0169787,0.009525,0.00583495,1
0.01905,0.009525,0.004572,1
0.01905,0.00649561,0.00286893,1
0.01905,0.009525,0.002286,1
0.0155901,0.009525,0.00340956,1
0.01905,0.009525,0.004572,1
0.0173201,0.009525,0.00170478,1
0.0119063,0.009525,0,2
0.0142875,0.009525,0,2
0.0130969,0.00746278,0,2
0.009525,0.009525,0,1
0.011882,0.009525,0.00378985,1
0.0119063,0.009525,0,1
0.0166687,0,0,1
0.01905,0,0,1
0.0173705,0,0.00168583,1
0.0142875,0,0,2
0.0159189,0.00349416,0,2
0.0166687,0,0,2
0.01905,0.009525,0,1
0.0142875,0.009525,0,1
0.0173201,0.009525,0.00170478,1
0.01905,0,0,1
0.01905,0,0.004572,1
0.0173705,0,0.00168583,1
0.01905,0.0047625,0,1
0.01905,0.00294059,0.0029671,1
0.01905,0.00238125,0,1
0.01905,0.00238125,0,2
0.01905,0,0,2
0.0174844,0.00174708,0,2
0.01905,0.0047625,0,2
0.0162886,0.00677236,0,2
0.01905,0.00714375,0,2
0.01905,0.00714375,0,1
0.01905,0.009525,0,1
0.01905,0.0080103,0.00143446,1
0.0159189,0.00349416,0,2
0.0130969,0.00270028,0,2
0.0139126,0.00444736,0,2
0.01905,0.00649561,0.00286893,1
0.01905,0.00767647,0.00579163,1
0.01905,0.00616177,0.00494009,1
0.0155901,0.009525,0.00340956,1
0.0130847,0.009525,0.00189492,1
0.013736,0.009525,0.0035997,1
0.011882,0.009525,0.00378985,1
0.0122205,0.009525,0.00709004,1
0.0133947,0.009525,0.00544387,1
0.0142875,0,0,2
0.0107156,0.00270028,0,2
0.0130969,0.00270028,0,2
0.0119063,0.00540055,0,2
0.0119063,0.009525,0,2
0.0130969,0.00746278,0,2
0.0156909,0,0.00337166,1
0.0166687,0,0,1
0.0173705,0,0.00168583,1
0.0159189,0.00349416,0,2
0.01905,0.00238125,0,2
0.0174844,0.00174708,0,2
0.01905,0.00649561,0.00286893,1
0.01905,0.00714375,0,1
0.01905,0.0080103,0.00143446,1
0.01905,0.00582794,0.00701126,1
0.01905,0.00438426,0.00498918,1
0.01905,0.00616177,0.00494009,1
0.0119063,0.00540055,0,2
0.0140974,0.00608646,0,2
0.0139126,0.00444736,0,2
0.01905,0.00294059,0.0029671,1
0.01905,0.00438426,0.00498918,1
0.01905,0.00270991,0.00497215,1
0.011882,0.009525,0.00378985,1
0.0133947,0.009525,0.00544387,1
0.013736,0.009525,0.0035997,1
0.0119063,0.00540055,0,2
0.0130969,0.00746278,0,2
0.0140974,0.00608646,0,2
0.01905,0.009525,0.004572,1
0.01905,0.009525,0.006858,1
0.01905,0.00767647,0.00579163,1
0.01905,0.009525,0.004572,1
0.0169787,0.009525,0.00583495,1
0.01905,0.009525,0.006858,1
0.01905,0.009525,0,1
0.01905,0.009525,0.002286,1
0.01905,0.0080103,0.00143446,1
0.01905,0.009525,0,1
0.0173201,0.009525,0.00170478,1
0.01905,0.009525,0.002286,1
0.0142875,0.009525,0,1
0.0119063,0.009525,0,1
0.0130847,0.009525,0.00189492,1
0.01905,0,0,2
0.0166687,0,0,2
0.0174844,0.00174708,0,2
0.0109522,0.009525,0.0178299,1
0.015234,0.009525,0.015966,1
0.0123292,0.009525,0.0139656,1
0.0112809,0.009525,0.0228577,1
0.0109522,0.009525,0.0178299,1
0.00812454,0.009525,0.0207103,1
0.015234,0.009525,0.015966,1
0.0151155,0.009525,0.0205736,1
0.01905,0.009525,0.018288,1
0.0109522,0.009525,0.0178299,1
0.0112809,0.009525,0.0228577,1
0.0151155,0.009525,0.0205736,1
0.0155419,0,0.00720393,1
0.0154446,0,0.0117975,1
0.012169,0,0.00955392,1
0.0154446,0,0.0117975,1
0.0155419,0,0.00720393,1
0.01905,0,0.009144,1
0.01905,0.0067281,0.0210017,1
0.01905,0.0061316,0.0158931,1
0.01905,0.009525,0.018288,1
0.015234,0.009525,0.015966,1
0.01905,0.009525,0.013716,1
0.0153674,0.009525,0.0116723,1
0.0109522,0.009525,0.0178299,1
0.0151155,0.009525,0.0205736,1
0.015234,0.009525,0.015966,1
0.0153674,0.009525,0.0116723,1
0.0114651,0.009525,0.0105986,1
0.0123292,0.009525,0.0139656,1
0.011917,0,0.0146529,1
0.012169,0,0.00955392,1
0.0154446,0,0.0117975,1
0.0154446,0,0.0117975,1
0.01905,0,0.013716,1
0.0158431,0,0.0155009,1
0.01905,0.0061316,0.0158931,1
0.01905,0.00721171,0.01143,1
0.01905,0.009525,0.013716,1
0.01905,0.0061316,0.0158931,1
0.01905,0.0067281,0.0210017,1
