"X","Y","Z","attribute"
-8.75658e-16,-3.76989e-16,0,1
-0.00653143,-3.98011e-16,0,1
-0.00381,0.00508,0,1
-0.00653143,-3.98011e-16,0,1
-8.75658e-16,-3.76989e-16,0,1
-0.00381,-0.00508,0,1
-0.000323411,0.00508,0.00675731,1
-0.00381,0.00508,0,1
-0.00648159,0.00508,0.00608507,1
-0.00381,-0.00508,0,1
0.000323411,-0.00508,0.00675731,1
-0.00597461,-0.00508,0.00640167,1
0.000323411,-0.00508,0.00675731,1
-0.00381,-0.00508,0,1
0.00381,-0.00508,0,1
0.00381,-0.00508,0,1
-0.00381,-0.00508,0,1
-8.75658e-16,-3.76989e-16,0,1
-0.00381,0.00508,0,1
-0.01143,0.00508,0,1
-0.0089558,0.00508,0.00304254,1
-0.01143,0.00508,0,1
-0.00381,0.00508,0,1
-0.00653143,-3.98011e-16,0,1
-0.01143,0.00508,0,1
-0.01143,-0.00508,0,1
-0.01143,8.67362e-19,0.005,1
-0.01143,-0.00508,0,1
-0.01143,0.00508,0,1
-0.00653143,-3.98011e-16,0,1
-0.00381,-0.00508,0,1
-0.01143,-0.00508,0,1
-0.00653143,-3.98011e-16,0,1
-0.00381,-0.00508,0,1
-0.00597461,-0.00508,0.00640167,1
-0.00870231,-0.00508,0.00320084,1
-0.00648159,0.00508,0.00608507,1
-0.00381,0.00508,0,1
-0.0089558,0.00508,0.00304254,1
-0.01143,-0.00508,0,1
-0.00381,-0.00508,0,1
-0.00870231,-0.00508,0.00320084,1
-0.00286898,0.00508,0.0102127,1
-0.00648159,0.00508,0.00608507,1
-0.00594808,0.00508,0.00987657,1
-0.01143,0.00508,0.01,1
-0.01143,8.67362e-19,0.005,1
-0.01143,4.33681e-19,0.01,1
-0.00478041,0.00508,0.019334,1
-0.01143,0.00508,0.02,1
-0.00778813,0.00508,0.0225,1
-0.00594808,0.00508,0.00987657,1
-0.01143,0.00508,0.01,1
-0.00842228,0.00508,0.011834,1
-0.01143,4.33681e-19,0.01,1
-0.01143,-0.00508,0.01,1
-0.01143,-0.00254,0.0125,1
-0.00597461,-0.00508,0.00640167,1
-0.00352648,-0.00508,0.015251,1
-0.00747824,-0.00508,0.0126255,1
-0.01143,0.00508,0.005,1
-0.00648159,0.00508,0.00608507,1
-0.0089558,0.00508,0.00304254,1
-0.01143,8.67362e-19,0.005,1
-0.01143,0.00508,0.01,1
-0.01143,0.00508,0.005,1
-0.01143,-0.00508,0.015,1
-0.01143,0,0.015,1
-0.01143,-0.00254,0.0125,1
-0.01143,-0.00508,0.015,1
-0.00352648,-0.00508,0.015251,1
-0.00747824,-0.00508,0.0176255,1
-0.01143,8.67362e-19,0.005,1
-0.01143,-0.00508,0,1
-0.01143,-0.00508,0.005,1
-0.00597461,-0.00508,0.00640167,1
-0.01143,-0.00508,0.01,1
-0.01143,-0.00508,0.005,1
-0.01143,0.00508,0.015,1
-0.00541456,0.00508,0.0136681,1
-0.00842228,0.00508,0.011834,1
-0.01143,0.00508,0.015,1
-0.01143,0,0.015,1
-0.01143,0.00254,0.0175,1
-0.00478041,0.00508,0.019334,1
-0.00541456,0.00508,0.0136681,1
-0.00842228,0.00508,0.016834,1
-0.01143,4.33681e-19,0.01,1
-0.01143,0,0.015,1
-0.01143,0.00254,0.0125,1
-0.01143,8.67362e-19,0.005,1
-0.01143,-0.00508,0.01,1
-0.01143,4.33681e-19,0.01,1
-0.01143,0.00508,0.01,1
-0.00648159,0.00508,0.00608507,1
-0.01143,0.00508,0.005,1
-0.01143,0.00508,0,1
-0.01143,8.67362e-19,0.005,1
-0.01143,0.00508,0.005,1
-0.01143,-0.00508,0.01,1
-0.01143,8.67362e-19,0.005,1
-0.01143,-0.00508,0.005,1
-0.01143,-0.00508,0.005,1
-0.01143,-0.00508,0,1
-0.00870231,-0.00508,0.00320084,1
-0.00597461,-0.00508,0.00640167,1
-0.01143,-0.00508,0.005,1
-0.00870231,-0.00508,0.00320084,1
-0.01143,0.00508,0,1
-0.01143,0.00508,0.005,1
-0.0089558,0.00508,0.00304254,1
-0.00414627,0.00508,0.025,1
-0.00478041,0.00508,0.019334,1
-0.00778813,0.00508,0.0225,1
-0.000323411,0.00508,0.00675731,1
-0.00648159,0.00508,0.00608507,1
-0.00286898,0.00508,0.0102127,1
-0.00648159,0.00508,0.00608507,1
-0.01143,0.00508,0.01,1
-0.00594808,0.00508,0.00987657,1
-0.01143,0,0.015,1
-0.01143,4.33681e-19,0.01,1
-0.01143,-0.00254,0.0125,1
-0.01143,-0.00508,0.01,1
-0.00597461,-0.00508,0.00640167,1
-0.00747824,-0.00508,0.0126255,1
-0.01143,-0.00508,0.015,1
-0.01143,-0.00508,0.02,1
-0.01143,-0.00254,0.0175,1
-0.01143,-0.00508,0.015,1
-0.01143,-0.00508,0.01,1
-0.00747824,-0.00508,0.0126255,1
-0.01143,0.00508,0.015,1
-0.01143,0.00508,0.02,1
-0.00842228,0.00508,0.016834,1
-0.01143,0.00508,0.015,1
-0.01143,0.00508,0.01,1
-0.01143,0.00254,0.0125,1
-0.01143,0.00508,0.02,1
-0.00478041,0.00508,0.019334,1
-0.00842228,0.00508,0.016834,1
-0.01143,0.00508,0.01,1
-0.01143,4.33681e-19,0.01,1
-0.01143,0.00254,0.0125,1
-0.01143,0,0.015,1
-0.01143,-0.00508,0.015,1
-0.01143,-0.00254,0.0175,1
-0.00352648,-0.00508,0.015251,1
-0.01143,-0.00508,0.015,1
-0.00747824,-0.00508,0.0126255,1
-0.00541456,0.00508,0.0136681,1
-0.01143,0.00508,0.015,1
