"X","Y","Z","attribute"
-8.75658e-16,-3.76989e-16,0,1
-0.00653143,-3.98011e-16,0,1
-0.00381,0.00508,0,1
-0.00653143,-3.98011e-16,0,1
-8.75658e-16,-3.76989e-16,0,1
-0.00381,-0.00508,0,1
-0.000323411,0.00508,0.00675731,1
-0.00381,0.00508,0,1
-0.00648159,0.00508,0.00608507,1
-0.00381,-0.00508,0,1
0.000323411,-0.00508,0.00675731,1
-0.00597461,-0.00508,0.00640167,1
0.000323411,-0.00508,0.00675731,1
-0.00381,-0.00508,0,1
0.00381,-0.00508,0,1
0.00381,-0.00508,0,1
-0.00381,-0.00508,0,1
-8.75658e-16,-3.76989e-16,0,1
-0.01143,0.00508,0,1
-0.00648159,0.00508,0.00608507,1
-0.00381,0.00508,0,1
-0.01143,0.00508,0,1
-0.00381,0.00508,0,1
-0.00653143,-3.98011e-16,0,1
-0.01143,0.00508,0,1
-0.01143,-0.00508,0,1
-0.01143,8.67362e-19,0.005,1
-0.01143,-0.00508,0,1
-0.01143,0.00508,0,1
-0.00653143,-3.98011e-16,0,1
-0.00381,-0.00508,0,1
-0.01143,-0.00508,0,1
-0.00653143,-3.98011e-16,0,1
-0.00597461,-0.00508,0.00640167,1
-0.01143,-0.00508,0,1
-0.00381,-0.00508,0,1
-0.00541456,0.00508,0.0136681,1
-0.000323411,0.00508,0.00675731,1
-0.00648159,0.00508,0.00608507,1
-0.01143,8.67362e-19,0.005,1
-0.01143,0,0.015,1
-0.01143,0.00508,0.01,1
-0.00414627,0.00508,0.025,1
-0.00541456,0.00508,0.0136681,1
-0.01143,0.00508,0.02,1
-0.00541456,0.00508,0.0136681,1
-0.00648159,0.00508,0.00608507,1
-0.01143,0.00508,0.01,1
-0.01143,0,0.015,1
-0.01143,8.67362e-19,0.005,1
-0.01143,-0.00508,0.01,1
-0.00352648,-0.00508,0.015251,1
-0.01143,-0.00508,0.01,1
-0.00597461,-0.00508,0.00640167,1
-0.01143,0.00508,0,1
-0.01143,0.00508,0.01,1
-0.00648159,0.00508,0.00608507,1
-0.01143,0.00508,0.01,1
-0.01143,0.00508,0,1
-0.01143,8.67362e-19,0.005,1
-0.01143,-0.00508,0.01,1
-0.01143,-0.00508,0.02,1
-0.01143,0,0.015,1
-0.01143,-0.00508,0.02,1
-0.01143,-0.00508,0.01,1
-0.00352648,-0.00508,0.015251,1
-0.01143,-0.00508,0,1
-0.01143,-0.00508,0.01,1
-0.01143,8.67362e-19,0.005,1
-0.01143,-0.00508,0.01,1
-0.01143,-0.00508,0,1
-0.00597461,-0.00508,0.00640167,1
-0.01143,0.00508,0.01,1
-0.01143,0.00508,0.02,1
-0.00541456,0.00508,0.0136681,1
-0.01143,0.00508,0.02,1
-0.01143,0.00508,0.01,1
-0.01143,0,0.015,1
-0.00352648,-0.00508,0.015251,1
-0.00476341,-0.00508,0.025,1
-0.01143,-0.00508,0.02,1
-0.00352648,-0.00508,0.015251,1
0.00414627,-0.00508,0.025,1
-0.00476341,-0.00508,0.025,1
0.000323411,-0.00508,0.00675731,1
-0.00352648,-0.00508,0.015251,1
-0.00597461,-0.00508,0.00640167,1
-0.00352648,-0.00508,0.015251,1
0.000323411,-0.00508,0.00675731,1
0.00541456,-0.00508,0.0136681,1
0.00352648,0.00508,0.015251,1
-0.000323411,0.00508,0.00675731,1
-0.00541456,0.00508,0.0136681,1
0.00414627,-0.00508,0.025,1
-0.00352648,-0.00508,0.015251,1
0.00541456,-0.00508,0.0136681,1
-0.00414627,0.00508,0.025,1
0.00352648,0.00508,0.015251,1
-0.00541456,0.00508,0.0136681,1
-8.75658e-16,-3.76989e-16,0,1
0.00653143,-3.9005e-16,0,1
0.00381,-0.00508,0,1
0.00653143,-3.9005e-16,0,1
-8.75658e-16,-3.76989e-16,0,1
0.00381,0.00508,0,1
0.000323411,-0.00508,0.00675731,1
0.00381,-0.00508,0,1
0.00648159,-0.00508,0.00608507,1
0.00381,0.00508,0,1
-0.000323411,0.00508,0.00675731,1
0.00597461,0.00508,0.00640167,1
-0.000323411,0.00508,0.00675731,1
0.00381,0.00508,0,1
-0.00381,0.00508,0,1
-0.00381,0.00508,0,1
0.00381,0.00508,0,1
-8.75658e-16,-3.76989e-16,0,1
0.01143,-0.00508,0,1
0.00648159,-0.00508,0.00608507,1
0.00381,-0.00508,0,1
0.01143,-0.00508,0,1
0.00381,-0.00508,0,1
0.00653143,-3.9005e-16,0,1
0.01143,-0.00508,0,1
0.01143,0.00508,0,1
0.01143,-8.67362e-19,0.005,1
0.01143,0.00508,0,1
0.01143,-0.00508,0,1
0.00653143,-3.9005e-16,0,1
0.00381,0.00508,0,1
0.01143,0.00508,0,1
0.00653143,-3.9005e-16,0,1
0.00597461,0.00508,0.00640167,1
0.01143,0.00508,0,1
0.00381,0.00508,0,1
0.01143,-8.67362e-19,0.025,1
0.01143,-8.67362e-19,0.035,1
0.01143,-0.00508,0.03,1
0.01143,-8.67362e-19,0.015,1
0.01143,-8.67362e-19,0.025,1
0.01143,-0.00508,0.02,1
0.01143,-8.67362e-19,0.035,1
0.01143,-8.67362e-19,0.025,1
0.01143,0.00508,0.03,1
0.01143,-8.67362e-19,0.025,1
0.01143,-8.67362e-19,0.015,1
0.01143,0.00508,0.02,1
0.00352648,0.00508,0.015251,1
0.00476341,0.00508,0.025,1
0.01143,0.00508,0.02,1
0.00352648,0.00508,0.015251,1
-0.00414627,0.00508,0.025,1
0.00476341,0.00508,0.025,1
0.00414627,-0.00508,0.025,1
0.00541456,-0.00508,0.0136681,1
0.01143,-0.00508,0.02,1
