"X","Y","Z","attribute"
0.00751057,-0.00508,0.047552,1
0.00836056,-0.00508,0.0470779,1
0.00815651,-0.00508,0.0476546,1
0.01142,0.00381,0.0475,1
0.01142,0.00381,0.04625,1
0.01142,0.004445,0.046875,1
0.00974087,0.00508,0.0480706,1
0.0105804,0.00508,0.0480978,1
0.0101607,0.00508,0.0477717,1
0.00924434,-0.00508,0.0484364,1
0.0105362,-0.00508,0.0486415,1
0.00968623,-0.00508,0.0491156,1
0.00612084,-0.00508,0.0469648,1
0.00666058,-0.00508,0.0480261,1
0.00591678,-0.00508,0.0475415,1
0.00795246,-0.00508,0.0482312,1
0.00625247,-0.00508,0.0491795,1
0.00666058,-0.00508,0.0480261,1
0.01142,0.00508,0.04875,1
0.01142,0.00381,0.04875,1
0.01142,0.004445,0.048125,1
0.00795246,-0.00508,0.0482312,1
0.00883624,-0.00508,0.0495897,1
0.00754435,-0.00508,0.0493846,1
0.00666058,-0.00508,0.0480261,1
0.00625247,-0.00508,0.0491795,1
0.00571273,-0.00508,0.0481182,1
0.00751057,-0.00508,0.047552,1
0.00666058,-0.00508,0.0480261,1
0.00686463,-0.00508,0.0474494,1
0.00924434,-0.00508,0.0484364,1
0.00795246,-0.00508,0.0482312,1
0.00880245,-0.00508,0.0477571,1
0.00571273,-0.00508,0.0481182,1
0.00517299,-0.00508,0.0470569,1
0.00591678,-0.00508,0.0475415,1
0.00883624,-0.00508,0.0495897,1
0.00795246,-0.00508,0.0482312,1
0.00924434,-0.00508,0.0484364,1
0.0105804,0.00508,0.0493478,1
0.01142,0.00508,0.04875,1
0.0105804,0.00508,0.0487228,1
0.00625247,-0.00508,0.0491795,1
0.00795246,-0.00508,0.0482312,1
0.00754435,-0.00508,0.0493846,1
0.00968623,-0.00508,0.0491156,1
0.0101281,-0.00508,0.0497949,1
0.00948218,-0.00508,0.0496923,1
0.01142,0.003175,0.048125,1
0.01142,0.00381,0.0475,1
0.01142,0.00381,0.048125,1
0.01142,0.00508,0.048125,1
0.0105804,0.00508,0.0480978,1
0.0110002,0.00508,0.0484239,1
0.01142,0.004445,0.048125,1
0.01142,0.00381,0.0475,1
0.01142,0.004445,0.0475,1
0.01142,0.004445,0.048125,1
0.01142,0.00381,0.04875,1
0.01142,0.00381,0.048125,1
0.01142,0.00508,0.04875,1
0.01142,0.00508,0.05,1
0.01142,0.004445,0.049375,1
0.01142,0.00508,0.05,1
0.01142,0.00508,0.04875,1
0.0105804,0.00508,0.0493478,1
0.01142,0.00381,0.04875,1
0.01142,0.00508,0.04875,1
0.01142,0.004445,0.049375,1
0.01142,0.00508,0.048125,1
0.01142,0.004445,0.048125,1
0.01142,0.0047625,0.0478125,1
0.00883624,-0.00508,0.0495897,1
0.00924434,-0.00508,0.0484364,1
0.00968623,-0.00508,0.0491156,1
0.0105362,-0.00508,0.0486415,1
0.0101281,-0.00508,0.0497949,1
0.00968623,-0.00508,0.0491156,1
0.00883624,-0.00508,0.0495897,1
0.00968623,-0.00508,0.0491156,1
0.00948218,-0.00508,0.0496923,1
0.01142,0.004445,0.0475,1
0.01142,0.004445,0.046875,1
0.01142,0.0047625,0.0471875,1
0.00686463,-0.00508,0.0474494,1
0.00612084,-0.00508,0.0469648,1
0.00659476,-0.00508,0.0469188,1
0.0105804,0.00508,0.0468478,1
0.00974087,0.00508,0.0474456,1
0.0105804,0.00508,0.0474728,1
0.00666058,-0.00508,0.0480261,1
0.00571273,-0.00508,0.0481182,1
0.00591678,-0.00508,0.0475415,1
0.01142,0.004445,0.046875,1
0.01142,0.00508,0.04625,1
0.01142,0.00508,0.046875,1
0.0089013,0.00508,0.0480434,1
0.00974087,0.00508,0.0486956,1
0.00974087,0.00508,0.0480706,1
0.01142,0.00381,0.04625,1
0.01142,0.00508,0.04625,1
0.01142,0.004445,0.046875,1
0.00517299,-0.00508,0.0470569,1
0.00612084,-0.00508,0.0469648,1
0.00591678,-0.00508,0.0475415,1
0.01142,0.00508,0.046875,1
0.0105804,0.00508,0.0468478,1
0.0110002,0.00508,0.0471739,1
0.00791868,-0.00508,0.0463986,1
0.00706868,-0.00508,0.0468727,1
0.00727274,-0.00508,0.0462961,1
0.00795246,-0.00508,0.0482312,1
0.00666058,-0.00508,0.0480261,1
0.00751057,-0.00508,0.047552,1
0.00791868,-0.00508,0.0463986,1
0.00836056,-0.00508,0.0470779,1
0.00771462,-0.00508,0.0469753,1
0.00727274,-0.00508,0.0462961,1
0.00706868,-0.00508,0.0468727,1
0.00679881,-0.00508,0.0463421,1
0.00679881,-0.00508,0.0463421,1
0.00706868,-0.00508,0.0468727,1
0.00669679,-0.00508,0.0466304,1
0.00666058,-0.00508,0.0480261,1
0.00612084,-0.00508,0.0469648,1
0.00686463,-0.00508,0.0474494,1
0.00880245,-0.00508,0.0477571,1
0.00795246,-0.00508,0.0482312,1
0.00815651,-0.00508,0.0476546,1
0.00652894,-0.00508,0.0458114,1
0.00727274,-0.00508,0.0462961,1
0.00679881,-0.00508,0.0463421,1
0.00751057,-0.00508,0.047552,1
0.00706868,-0.00508,0.0468727,1
0.00771462,-0.00508,0.0469753,1
0.00706868,-0.00508,0.0468727,1
0.00751057,-0.00508,0.047552,1
