"X","Y","Z","attribute"
0.00745671,-0.00508,0.0214374,1
0.00546885,-0.00508,0.0214974,1
0.00646156,-0.00508,0.0208087,1
0.000642786,-0.00508,0.0230136,1
-0.000307323,-0.00508,0.0213032,1
0.00064036,-0.00508,0.0216961,1
0.01143,-0.001905,0.01875,1
0.01143,-0.001905,0.019375,1
0.01143,-0.0022225,0.0190625,1
-0.00292166,0.00508,0.0175597,1
-0.00154242,0.00508,0.0190721,1
-0.00174397,0.00508,0.0177677,1
0.01143,0.001905,0.020625,1
0.01143,0.00254,0.02125,1
0.01143,0.001905,0.02125,1
-0.000126653,-0.00508,0.0287941,1
0.00146232,-0.00508,0.0287118,1
0.000595006,-0.00508,0.0292729,1
-0.01143,0.001905,0.02875,1
-0.01143,0.001905,0.029375,1
-0.01143,0.0022225,0.0290625,1
0.00267784,0.00508,0.0215352,1
0.00362484,0.00508,0.0218521,1
0.0031659,0.00508,0.0209869,1
0.00719099,0.00508,0.0190589,1
0.00717642,0.00508,0.0197656,1
0.00761052,0.00508,0.019365,1
-0.00181717,0.00508,0.0275956,1
-0.000761023,0.00508,0.0290475,1
-0.00087016,0.00508,0.0279125,1
-0.01143,-0.001905,0.030625,1
-0.01143,-0.00254,0.03125,1
-0.01143,-0.001905,0.03125,1
-0.00652082,0.00508,0.0204645,1
-0.00662159,0.00508,0.0198123,1
-0.00704197,0.00508,0.0202224,1
-0.00369734,0.00508,0.0291795,1
-0.00495791,0.00508,0.0276753,1
-0.00484878,0.00508,0.0288103,1
-0.01143,0.001905,0.019375,1
-0.01143,0.00254,0.01875,1
-0.01143,0.001905,0.01875,1
-0.01143,-0.001905,0.020625,1
-0.01143,-0.00254,0.02125,1
-0.01143,-0.001905,0.02125,1
-0.00116979,-0.00508,0.0244992,1
-0.000141735,-0.00508,0.0258462,1
-0.00108942,-0.00508,0.0254533,1
-0.00652303,-0.00508,0.0290452,1
-0.00760087,-0.00508,0.0280913,1
-0.0066034,-0.00508,0.0280912,1
-0.01143,0.003175,0.025625,1
-0.01143,0.00254,0.02625,1
-0.01143,0.003175,0.02625,1
-0.00986655,0.00508,0.0251013,1
-0.0093454,0.00508,0.0247184,1
-0.00986655,0.00508,0.0244763,1
-0.01143,-0.003175,0.024375,1
-0.01143,-0.00254,0.02375,1
-0.01143,-0.003175,0.02375,1
-0.0086787,-0.00508,0.0221374,1
-0.0077616,-0.00508,0.0236833,1
-0.0086787,-0.00508,0.0233874,1
0.00109818,-0.00508,0.0313115,1
0.00189267,-0.00508,0.0312703,1
