"X","Y","Z","attribute"
-0.01143,8.67362e-19,0.035,1
-0.01143,-8.67362e-19,0.025,1
-0.01143,-0.00508,0.03,1
-0.003,-0.00508,0.025,1
-0.003,-0.00508,0.035,1
-0.01143,-0.00508,0.03,1
-0.01143,1.73472e-18,0.045,1
-0.01143,8.67362e-19,0.035,1
-0.01143,-0.00508,0.04,1
-0.003,-0.00508,0.035,1
-0.003,-0.00508,0.045,1
-0.01143,-0.00508,0.04,1
-0.01143,8.67362e-19,0.035,1
-0.01143,1.73472e-18,0.045,1
-0.01143,0.00508,0.04,1
-0.01143,-8.67362e-19,0.025,1
-0.01143,8.67362e-19,0.035,1
-0.01143,0.00508,0.03,1
-0.00106964,0.00508,0.0249339,1
-0.01143,0.00508,0.03,1
-0.00116447,0.00508,0.0349843,1
-0.00116447,0.00508,0.0349843,1
-0.01143,0.00508,0.04,1
-0.00170595,0.00508,0.0449981,1
-0.00170595,0.00508,0.0449981,1
0.00843,0.00508,0.04,1
-0.00116447,0.00508,0.0349843,1
-0.003,-0.00508,0.035,1
-0.003,-0.00508,0.025,1
0.00543,-0.00508,0.03,1
-0.003,-0.00508,0.055,1
-0.003,-0.00508,0.045,1
0.00543,-0.00508,0.05,1
-0.003,-0.00508,0.045,1
-0.003,-0.00508,0.035,1
0.00543,-0.00508,0.04,1
-0.01143,0.00508,0.04,1
-0.00116447,0.00508,0.0349843,1
-0.01143,0.00508,0.03,1
-0.01143,0.00508,0.04,1
-0.01143,0.00508,0.03,1
-0.01143,8.67362e-19,0.035,1
0.00543,-0.00508,0.04,1
0.00543,-0.00508,0.05,1
-0.003,-0.00508,0.045,1
0.00543,-0.00508,0.03,1
0.00543,-0.00508,0.04,1
-0.003,-0.00508,0.035,1
-0.01143,-0.00508,0.04,1
-0.01143,-0.00508,0.05,1
-0.01143,1.73472e-18,0.045,1
-0.01143,-0.00508,0.05,1
-0.01143,-0.00508,0.04,1
-0.003,-0.00508,0.045,1
-0.01143,-0.00508,0.03,1
-0.01143,-0.00508,0.04,1
-0.01143,8.67362e-19,0.035,1
-0.01143,-0.00508,0.04,1
-0.01143,-0.00508,0.03,1
-0.003,-0.00508,0.035,1
-0.01143,-0.00508,0.02,1
-0.01143,-0.00508,0.03,1
-0.01143,-8.67362e-19,0.025,1
-0.01143,-0.00508,0.03,1
-0.01143,-0.00508,0.02,1
-0.003,-0.00508,0.025,1
-0.01143,0.00508,0.05,1
-0.00170595,0.00508,0.0449981,1
-0.01143,0.00508,0.04,1
-0.01143,0.00508,0.05,1
-0.01143,0.00508,0.04,1
-0.01143,1.73472e-18,0.045,1
0.00843,-0.00508,0.04,1
0.00543,-0.00508,0.05,1
0.00543,-0.00508,0.04,1
0.00543,-0.00508,0.03,1
0.00843,-0.00508,0.04,1
0.00543,-0.00508,0.04,1
-0.00170595,0.00508,0.0449981,1
0.00843,0.00508,0.05,1
0.00843,0.00508,0.04,1
0.00543,-0.00508,0.05,1
0.00843,-0.00508,0.04,1
0.00843,-0.00508,0.05,1
0.00843,-0.00508,0.04,1
0.00543,-0.00508,0.03,1
0.00843,-0.00508,0.03,1
0.00843,0.00508,0.04,1
0.01143,0.00508,0.05,1
0.01143,0.00508,0.04,1
0.01143,0.00508,0.05,1
0.00843,0.00508,0.04,1
0.00843,0.00508,0.05,1
0.01143,0.00508,0.04,1
0.01143,0.00508,0.05,1
0.01143,-1.73472e-18,0.045,1
0.01143,-8.67362e-19,0.035,1
0.01143,-1.73472e-18,0.045,1
0.01143,-0.00508,0.04,1
0.01143,-1.73472e-18,0.045,1
0.01143,-8.67362e-19,0.035,1
0.01143,0.00508,0.04,1
0.01143,-0.00508,0.05,1
0.01143,-0.00508,0.04,1
0.01143,-1.73472e-18,0.045,1
0.00843,-0.00508,0.05,1
0.01143,-0.00508,0.04,1
0.01143,-0.00508,0.05,1
0.01143,-0.00508,0.04,1
0.00843,-0.00508,0.05,1
0.00843,-0.00508,0.04,1
0.01143,-0.00508,0.03,1
0.00843,-0.00508,0.04,1
0.00843,-0.00508,0.03,1
0.01143,-0.00508,0.04,1
0.01143,-0.00508,0.03,1
0.01143,-8.67362e-19,0.035,1
0.00843,-0.00508,0.04,1
0.01143,-0.00508,0.03,1
0.01143,-0.00508,0.04,1
-0.00116447,0.00508,0.0349843,1
0.00843,0.00508,0.04,1
0.00843,0.00508,0.03,1
-0.00106964,0.00508,0.0249339,1
0.00843,0.00508,0.03,1
0.00843,0.00508,0.02,1
0.00543,-0.00508,0.02,1
0.00543,-0.00508,0.03,1
