"X","Y","Z","attribute"
-0.00543601,0.00508,-0.0862901,1
-0.000323411,0.00508,-0.0932427,1
-0.00648588,0.00508,-0.0939066,1
-0.00411064,0.00508,-0.0767341,1
0.00339776,0.00508,-0.0844979,1
-0.00543601,0.00508,-0.0862901,1
0.00339776,0.00508,-0.0844979,1
-0.000323411,0.00508,-0.0932427,1
-0.00543601,0.00508,-0.0862901,1
-0.00435757,-0.00508,-0.0760452,1
0.00339776,-0.00508,-0.0844979,1
0.00386233,-0.00508,-0.0732427,1
0.00339776,-0.00508,-0.0844979,1
-0.00435757,-0.00508,-0.0760452,1
-0.00543601,-0.00508,-0.0862901,1
-0.00543601,0.00508,-0.0862901,1
-0.00648588,0.00508,-0.0939066,1
-0.01143,0.00508,-0.09,1
-0.01143,-1.04083e-17,-0.095,1
-0.01143,-1.04083e-17,-0.085,1
-0.01143,0.00508,-0.09,1
-0.01143,-1.04083e-17,-0.085,1
-0.01143,-1.04083e-17,-0.095,1
-0.01143,-0.00508,-0.09,1
-0.00648588,-0.00508,-0.0939066,1
-0.00543601,-0.00508,-0.0862901,1
-0.01143,-0.00508,-0.09,1
-0.01143,-1.04083e-17,-0.085,1
-0.01143,-8.67362e-18,-0.075,1
-0.01143,0.00508,-0.08,1
-0.00543601,-0.00508,-0.0862901,1
-0.00435757,-0.00508,-0.0760452,1
-0.01143,-0.00508,-0.08,1
-0.00411064,0.00508,-0.0767341,1
-0.00543601,0.00508,-0.0862901,1
-0.01143,0.00508,-0.08,1
-0.01143,0.00508,-0.1,1
-0.00648588,0.00508,-0.0939066,1
-0.00381,0.00508,-0.1,1
-0.01143,0.00508,-0.1,2
-0.00381,0.00508,-0.1,2
-0.00653143,4.62428e-16,-0.1,2
-0.01143,0.00508,-0.1,1
-0.01143,-0.00508,-0.1,1
-0.01143,-1.04083e-17,-0.095,1
-0.01143,-0.00508,-0.1,2
-0.01143,0.00508,-0.1,2
-0.00653143,4.62428e-16,-0.1,2
-0.01143,-0.00508,-0.1,1
-0.01143,-0.00508,-0.09,1
-0.01143,-1.04083e-17,-0.095,1
-0.01143,-0.00508,-0.09,1
-0.01143,-0.00508,-0.1,1
-0.00648588,-0.00508,-0.0939066,1
-0.01143,0.00508,-0.1,1
-0.01143,0.00508,-0.09,1
-0.00648588,0.00508,-0.0939066,1
-0.01143,0.00508,-0.09,1
-0.01143,0.00508,-0.1,1
-0.01143,-1.04083e-17,-0.095,1
-0.01143,0.00508,-0.09,1
-0.01143,0.00508,-0.08,1
-0.00543601,0.00508,-0.0862901,1
-0.01143,0.00508,-0.08,1
-0.01143,0.00508,-0.09,1
-0.01143,-1.04083e-17,-0.085,1
-0.01143,-0.00508,-0.09,1
-0.01143,-0.00508,-0.08,1
-0.01143,-1.04083e-17,-0.085,1
-0.01143,-0.00508,-0.08,1
-0.01143,-0.00508,-0.09,1
-0.00543601,-0.00508,-0.0862901,1
-0.000323411,0.00508,-0.0932427,1
-0.00381,0.00508,-0.1,1
-0.00648588,0.00508,-0.0939066,1
-7.17755e-16,3.16587e-16,-0.1,2
-0.00653143,4.62428e-16,-0.1,2
-0.00381,0.00508,-0.1,2
-0.00653143,4.62428e-16,-0.1,2
-7.17755e-16,3.16587e-16,-0.1,2
-0.00381,-0.00508,-0.1,2
-0.000323411,-0.00508,-0.0932427,1
-0.00543601,-0.00508,-0.0862901,1
-0.00648588,-0.00508,-0.0939066,1
-0.000323411,0.00508,-0.0932427,1
0.00339776,0.00508,-0.0844979,1
