"X","Y","Z","attribute"
0.0005,0.00508,0.075,1
0.001,0.00508,0.07,1
0.0005,0.00508,0.07,1
-6.50521e-18,-0.00508,0.08,1
-5.63785e-18,-0.00508,0.07,1
0.0005,-0.00508,0.075,1
-0.001,0.00508,0.07,1
-8.23994e-18,0.00508,0.07,1
-0.0005,0.00508,0.065,1
0.0036075,-0.00508,0.07,1
0.0036075,-0.00508,0.075,1
0.00230375,-0.00508,0.0725,1
0.0036075,0.00508,0.07,1
0.0036075,0.00508,0.065,1
0.00230375,0.00508,0.0675,1
0.006215,-0.00508,0.06,1
0.0088225,-0.00508,0.065,1
0.00491125,-0.00508,0.0625,1
0.0036075,-0.00508,0.075,1
0.0088225,-0.00508,0.075,1
0.00491125,-0.00508,0.0775,1
0.0036075,0.00508,0.075,1
0.01143,0.00508,0.08,1
0.0088225,0.00508,0.075,1
-9.1073e-18,0.00508,0.08,1
-8.23994e-18,0.00508,0.07,1
-0.0005,0.00508,0.075,1
0.001,-0.00508,0.07,1
-5.63785e-18,-0.00508,0.07,1
0.0005,-0.00508,0.065,1
-7.26415e-18,0.00508,0.06,1
-8.23994e-18,0.00508,0.07,1
0.0005,0.00508,0.065,1
-0.0005,0.00508,0.075,1
-0.001,0.00508,0.07,1
-0.001,0.00508,0.075,1
0.0005,0.00508,0.065,1
0.001,0.00508,0.07,1
0.001,0.00508,0.065,1
0.001,-0.00508,0.065,1
0.0036075,-0.00508,0.065,1
0.00230375,-0.00508,0.0675,1
0.001,0.00508,0.075,1
0.0036075,0.00508,0.075,1
0.00230375,0.00508,0.0725,1
0.0088225,-0.00508,0.065,1
0.006215,-0.00508,0.07,1
0.0036075,-0.00508,0.065,1
0.0088225,-0.00508,0.075,1
0.01143,-0.00508,0.08,1
0.006215,-0.00508,0.08,1
0.006215,0.00508,0.08,1
0.0036075,0.00508,0.075,1
0.00230375,0.00508,0.0775,1
0.0005,-0.00508,0.075,1
0.001,-0.00508,0.07,1
0.001,-0.00508,0.075,1
0.0036075,-0.00508,0.065,1
0.006215,-0.00508,0.07,1
0.0036075,-0.00508,0.07,1
0.0036075,0.00508,0.075,1
0.006215,0.00508,0.07,1
0.0036075,0.00508,0.07,1
0.00491125,-0.00508,0.0625,1
0.0036075,-0.00508,0.065,1
0.00230375,-0.00508,0.0625,1
0.001,-0.00508,0.075,1
