"X","Y","Z","attribute"
0.001,0.00508,0.06,6
-0.001,0.00508,0.08,6
0.001,0.00508,0.08,6
-0.001,-0.00508,0.08,6
0.001,-0.00508,0.06,6
0.001,-0.00508,0.08,6
-0.001,0.00508,0.08,6
0.001,0.00508,0.06,6
-0.001,0.00508,0.06,6
0.001,-0.00508,0.08,6
0.001,-0.00508,0.06,6
0.006215,-0.00508,0.07,6
0.001,0.00508,0.06,6
0.001,0.00508,0.08,6
0.006215,0.00508,0.07,6
0.01143,-0.00508,0.06,6
0.006215,-0.00508,0.07,6
0.001,-0.00508,0.06,6
0.006215,-0.00508,0.07,6
0.01143,-0.00508,0.08,6
0.001,-0.00508,0.08,6
0.006215,0.00508,0.07,6
0.001,0.00508,0.08,6
0.01143,0.00508,0.08,6
-0.01143,0.00508,0.08,6
-0.01143,0.00508,0.06,6
-0.01143,0,0.07,6
-0.01143,0.00508,0.06,6
-0.01143,0.00508,0.08,6
-0.006215,0.00508,0.07,6
-0.01143,-0.00508,0.06,6
-0.01143,-0.00508,0.08,6
-0.01143,0,0.07,6
-0.01143,-0.00508,0.08,6
-0.01143,-0.00508,0.06,6
-0.006215,-0.00508,0.07,6
-0.001,-0.00508,0.06,6
-0.001,-0.00508,0.08,6
-0.006215,-0.00508,0.07,6
-0.001,0.00508,0.08,6
-0.001,0.00508,0.06,6
-0.006215,0.00508,0.07,6
-0.006215,-0.00508,0.07,6
-0.001,-0.00508,0.08,6
-0.01143,-0.00508,0.08,6
-0.01143,0,0.07,6
-0.01143,-0.00508,0.08,6
-0.01143,0.00508,0.08,6
-0.01143,-0.00508,0.06,6
-0.01143,0,0.07,6
-0.01143,0.00508,0.06,6
-0.001,-0.00508,0.06,6
-0.006215,-0.00508,0.07,6
-0.01143,-0.00508,0.06,6
-0.001,0.00508,0.08,6
-0.006215,0.00508,0.07,6
-0.01143,0.00508,0.08,6
-0.006215,0.00508,0.07,6
-0.001,0.00508,0.06,6
-0.01143,0.00508,0.06,6
0.001,-0.00508,0.06,6
-0.001,-0.00508,0.08,6
-0.001,-0.00508,0.06,6
-0.001,0.00508,0.06,6
-0.001,0.00508,0.04,6
-0.006215,0.00508,0.05,6
-0.006215,0.00508,0.05,6
-0.001,0.00508,0.04,6
-0.01143,0.00508,0.04,6
-0.001,0.00508,0.06,6
0.001,0.00508,0.04,6
-0.001,0.00508,0.04,6
0.001,0.00508,0.04,6
-0.001,0.00508,0.06,6
0.001,0.00508,0.06,6
0.001,-0.00508,0.06,6
-0.001,-0.00508,0.04,6
0.001,-0.00508,0.04,6
0.001,-0.00508,0.06,6
0.001,-0.00508,0.04,6
0.006215,-0.00508,0.05,6
0.001,0.00508,0.04,6
0.001,0.00508,0.06,6
0.006215,0.00508,0.05,6
0.001,0.00508,0.04,6
0.006215,0.00508,0.05,6
0.01143,0.00508,0.04,6
0.01143,-0.00508,0.1,6
0.01143,-0.00508,0.08,6
0.01143,0,0.09,6
0.01143,-0.00508,0.08,6
0.01143,-0.00508,0.1,6
0.006215,-0.00508,0.09,6
0.01143,0.00508,0.1,6
0.01143,0.00508,0.08,6
0.006215,0.00508,0.09,6
0.01143,0.00508,0.08,6
0.01143,0.00508,0.1,6
0.01143,0,0.09,6
0.001,-0.00508,0.1,6
0.001,-0.00508,0.08,6
0.006215,-0.00508,0.09,6
0.001,0.00508,0.08,6
0.001,0.00508,0.1,6
0.006215,0.00508,0.09,6
0.006215,-0.00508,0.09,6
0.001,-0.00508,0.08,6
0.01143,-0.00508,0.08,6
0.01143,0,0.09,6
0.01143,-0.00508,0.08,6
0.01143,0.00508,0.08,6
0.001,0.00508,0.08,6
0.006215,0.00508,0.09,6
0.01143,0.00508,0.08,6
0.001,-0.00508,0.1,2
0.01143,-0.00508,0.1,2
0.006215,-8.88395e-16,0.1,2
0.001,-0.00508,0.1,6
