#Frequency(GHz),dB(S(1;1)),deg(S(1;1)),dB(S(2;1)),deg(S(2;1)),dB(S(1;2)),deg(S(1;2)),dB(S(2;2)),deg(S(2;2))
8.3,-27.6157678976574,163.202473345495,-0.169723804350278,-47.3637541112244,-0.182927427538138,-47.2269314097395,-27.3981961521127,162.258469978444
8.3,-26.7531138468195,161.376729328662,-0.187464332161996,-47.6020925844388,-0.162830695077123,-47.9336199389565,-28.8657025911579,179.419568873628
8.3,-29.4453979340305,-174.947804435778,-0.176119153523568,-48.5927935818895,-0.192985421388877,-48.3321599840153,-27.1066852684186,166.828932662845
8.3,-31.3298430908121,-177.660422099045,-0.174490376798551,-48.6695918516494,-0.192867988180233,-48.4077622250496,-27.1721276681214,157.993651618487
8.3,-31.5565624255043,172.080567633368,-0.174335193204842,-48.6991725370523,-0.191421164671241,-48.4377343633635,-28.0413202212003,154.648812070719
8.3,-34.0428495147403,-163.672257481997,-0.132005197997777,-49.2343813975577,-0.192949673028362,-48.5669686960355,-27.5415040854174,153.593926715044
8.3,-32.6527620582671,-173.998150272863,-0.147602226590284,-49.4396221409553,-0.175477605099506,-49.207655196418,-29.3861473334371,167.069955744032
8.3,-21.0009767991604,64.890754337642,-0.3892528816305,-45.9263376699772,-0.172645095788142,-49.5307149421307,-33.0133197218319,151.885270426182
8.3,-38.1419495241134,145.36940611628,-0.0804240695509664,-49.9751718037907,-0.179100295036526,-49.4922681305907,-32.9781593028075,150.036795257088
8.3,-38.4953276903333,145.946790147393,-0.0805056677749974,-50.0311945812201,-0.17936246814225,-49.5495462614364,-32.7955270404077,149.704852849617
8.3,-38.4651948167652,146.539041932282,-0.0805099852661728,-50.0740739878642,-0.179369839178867,-49.5925180746304,-32.7815943456409,150.018707051196
8.3,-37.5983692226081,146.379639116626,-0.0806569467027274,-50.0771293085575,-0.179182615124941,-49.5962326377373,-33.1817645341621,151.82257340918
8.3,-38.9517528890975,133.713672792684,-0.0804672667747548,-50.2352001931932,-0.179276128781961,-49.7517021833845,-32.9856554428262,143.420000197269
8.3,-38.4355982889969,128.277836070858,-0.0781002172095262,-50.1095814392963,-0.0815794662748238,-50.2961046035174,-44.1521789133801,134.566936318697
8.3,-39.5474481729777,123.777938569083,-0.0779596556237817,-50.1041672944699,-0.26671633855705,-46.0284255478192,-20.9427771118292,68.257189218511
8.3,-39.3570741653208,123.609440130914,-0.0780211851564748,-50.1126027693193,-0.0816467055208333,-50.2988507328604,-42.5502770267396,127.361022226645
8.3,-39.5530748781212,126.062091512125,-0.0780128113711673,-50.1476757876311,-0.0816590455352273,-50.3338435596925,-42.3360392593656,130.993441470043
8.3,-40.0132343973285,126.22541817807,-0.0779653552121441,-50.18407271495,-0.266483278020192,-46.1111773106363,-20.9700357524972,68.6585847796773
8.3,-41.8618511651599,145.551882118876,-0.0756412683507314,-50.446925817615,-0.0713051254300118,-50.4799633862166,-41.9626567169385,140.465849116911
8.3,-41.5714814888315,144.208035782013,-0.0756608316313331,-50.4462629350407,-0.24656430660296,-46.591008689885,-21.7104472647284,66.5102421887019
8.3,-41.5374801930201,149.327751002356,-0.0756632685491385,-50.5029252566004,-0.0713058338865363,-50.5359781223909,-41.9521568008765,144.933771469742
8.3,-41.0329704427719,150.934186592784,-0.0757185918133661,-50.5552676226259,-0.0712709261266218,-50.588071755793,-42.2287332810641,148.549433460344
8.3,-42.0567119767488,152.211553592432,-0.0727090249180059,-50.59125209688,-0.239735900961361,-46.7028806303304,-21.8379055599608,66.6521931462267
8.3,-42.2070401999415,152.851981557879,-0.0726886936614105,-50.6004171235924,-0.0653309770616033,-50.5998792591836,-42.025943802108,148.932520409512
