"X","Y","Z","attribute"
0.00381,-0.00508,0.099,4
0.000271086,-0.00508,0.0923742,4
0.00647074,-0.00508,0.0930338,4
0.000271086,-0.00508,0.0923742,4
0.00541259,-0.00508,0.0855948,4
0.00647074,-0.00508,0.0930338,4
0.01143,8.67362e-18,0.0843,4
0.01143,1.04083e-17,0.0941,4
0.01143,-0.00508,0.0892,4
0.00647074,-0.00508,0.0930338,4
0.00541259,-0.00508,0.0855948,4
0.01143,-0.00508,0.0892,4
0.01143,1.04083e-17,0.0941,4
0.01143,8.67362e-18,0.0843,4
0.01143,0.00508,0.0892,4
0.01143,0.00508,0.0892,4
0.0033543,0.00508,0.0839944,4
0.00595064,0.00508,0.0927137,4
-0.00381,-0.00508,0.099,4
0.000271086,-0.00508,0.0923742,4
0.00381,-0.00508,0.099,4
0.00647074,-0.00508,0.0930338,4
0.01143,-0.00508,0.099,4
0.00381,-0.00508,0.099,4
0.01143,0.00508,0.099,4
0.00595064,0.00508,0.0927137,4
0.00381,0.00508,0.099,4
0.01143,0.00508,0.099,4
0.01143,-0.00508,0.099,4
0.01143,1.04083e-17,0.0941,4
0.01143,0.00508,0.1,1
0.01143,-0.00508,0.099,1
0.01143,0.00508,0.099,1
0.01143,-0.00508,0.1,2
0.01143,0.00508,0.1,2
0.00653143,-7.17709e-18,0.1,2
0.01143,-0.00508,0.099,1
0.01143,0.00508,0.1,1
0.01143,-0.00508,0.1,1
0.00381,-0.00508,0.1,1
-0.00381,-0.00508,0.099,1
0.00381,-0.00508,0.099,1
-0.00381,-0.00508,0.1,2
0.00381,-0.00508,0.1,2
2.1684e-18,-1.20757e-17,0.1,2
-0.00381,-0.00508,0.099,1
0.00381,-0.00508,0.1,1
-0.00381,-0.00508,0.1,1
0.01143,-0.00508,0.099,4
0.01143,-0.00508,0.0892,4
0.01143,1.04083e-17,0.0941,4
0.01143,-0.00508,0.0892,4
0.01143,-0.00508,0.099,4
0.00647074,-0.00508,0.0930338,4
0.01143,0.00508,0.0892,4
0.01143,0.00508,0.099,4
0.01143,1.04083e-17,0.0941,4
0.01143,0.00508,0.099,4
0.01143,0.00508,0.0892,4
0.00595064,0.00508,0.0927137,4
0.00653143,-7.17709e-18,0.1,2
2.1684e-18,-1.20757e-17,0.1,2
0.00381,-0.00508,0.1,2
0.01143,-0.00508,0.099,1
0.00381,-0.00508,0.1,1
0.00381,-0.00508,0.099,1
0.00381,0.00508,0.1,1
0.01143,0.00508,0.099,1
0.00381,0.00508,0.099,1
0.01143,0.00508,0.1,2
0.00381,0.00508,0.1,2
0.00653143,-7.17709e-18,0.1,2
0.01143,0.00508,0.099,1
0.00381,0.00508,0.1,1
0.01143,0.00508,0.1,1
0.00381,-0.00508,0.1,2
0.01143,-0.00508,0.1,2
0.00653143,-7.17709e-18,0.1,2
0.00381,-0.00508,0.1,1
0.01143,-0.00508,0.099,1
0.01143,-0.00508,0.1,1
-0.00381,0.00508,0.099,4
-0.000271086,0.00508,0.0923742,4
-0.00647074,0.00508,0.0930338,4
-0.000271086,0.00508,0.0923742,4
0.00381,0.00508,0.099,4
0.00595064,0.00508,0.0927137,4
0.000271086,-0.00508,0.0923742,4
-0.00381,-0.00508,0.099,4
-0.00595064,-0.00508,0.0927137,4
0.00381,0.00508,0.099,4
-0.000271086,0.00508,0.0923742,4
-0.00381,0.00508,0.099,4
-0.00647074,0.00508,0.0930338,4
-0.01143,0.00508,0.099,4
-0.00381,0.00508,0.099,4
-0.01143,-0.00508,0.099,4
-0.00595064,-0.00508,0.0927137,4
-0.00381,-0.00508,0.099,4
-0.01143,-0.00508,0.099,4
-0.01143,0.00508,0.099,4
-0.01143,9.54098e-18,0.0941,4
-0.01143,0.00508,0.1,2
-0.01143,-0.00508,0.1,2
-0.00653143,-1.06465e-17,0.1,2
-0.01143,0.00508,0.1,1
-0.01143,-0.00508,0.099,1
-0.01143,-0.00508,0.1,1
-0.01143,-0.00508,0.099,1
-0.01143,0.00508,0.1,1
-0.01143,0.00508,0.099,1
-0.00381,0.00508,0.1,1
0.00381,0.00508,0.099,1
-0.00381,0.00508,0.099,1
0.00381,0.00508,0.1,2
-0.00381,0.00508,0.1,2
2.1684e-18,-1.20757e-17,0.1,2
0.00381,0.00508,0.099,1
-0.00381,0.00508,0.1,1
0.00381,0.00508,0.1,1
-0.01143,-0.00508,0.099,4
-0.01143,-0.00508,0.0892,4
-0.00595064,-0.00508,0.0927137,4
-0.01143,-0.00508,0.0892,4
-0.01143,-0.00508,0.099,4
-0.01143,9.54098e-18,0.0941,4
-0.00653143,-1.06465e-17,0.1,2
2.1684e-18,-1.20757e-17,0.1,2
-0.00381,0.00508,0.1,2
2.1684e-18,-1.20757e-17,0.1,2
0.00653143,-7.17709e-18,0.1,2
0.00381,0.00508,0.1,2
2.1684e-18,-1.20757e-17,0.1,2
-0.00653143,-1.06465e-17,0.1,2
-0.00381,-0.00508,0.1,2
-0.01143,0.00508,0.099,1
-0.00381,0.00508,0.1,1
-0.00381,0.00508,0.099,1
-0.00381,-0.00508,0.1,1
-0.01143,-0.00508,0.099,1
-0.00381,-0.00508,0.099,1
-0.00381,0.00508,0.1,2
-0.01143,0.00508,0.1,2
-0.00653143,-1.06465e-17,0.1,2
-0.00381,0.00508,0.1,1
-0.01143,0.00508,0.099,1
-0.01143,0.00508,0.1,1
-0.01143,-0.00508,0.1,2
-0.00381,-0.00508,0.1,2
-0.00653143,-1.06465e-17,0.1,2
-0.01143,-0.00508,0.099,1
-0.00381,-0.00508,0.1,1
-0.01143,-0.00508,0.1,1
-0.000271086,0.00508,0.0923742,4
-0.00541259,0.00508,0.0855948,4
-0.00647074,0.00508,0.0930338,4
-0.0033543,-0.00508,0.0839944,4
0.000271086,-0.00508,0.0923742,4
-0.00595064,-0.00508,0.0927137,4
-0.01143,1.04083e-17,0.0843,4
-0.01143,9.54098e-18,0.0941,4
-0.01143,0.00508,0.0892,4
-0.00647074,0.00508,0.0930338,4
-0.00541259,0.00508,0.0855948,4
-0.01143,0.00508,0.0892,4
0.000271086,-0.00508,0.0923742,4
-0.0033543,-0.00508,0.0839944,4
0.00541259,-0.00508,0.0855948,4
0.0033543,0.00508,0.0839944,4
-0.00437455,0.00508,0.0758608,4
-0.00541259,0.00508,0.0855948,4
-0.0033543,-0.00508,0.0839944,4
0.00437455,-0.00508,0.0758608,4
0.00541259,-0.00508,0.0855948,4
-0.01143,9.54098e-18,0.0941,4
-0.01143,1.04083e-17,0.0843,4
-0.01143,-0.00508,0.0892,4
-0.00541259,0.00508,0.0855948,4
-0.00437455,0.00508,0.0758608,4
-0.01143,0.00508,0.0794,4
-0.01143,-0.00508,0.0892,4
-0.0033543,-0.00508,0.0839944,4
-0.00595064,-0.00508,0.0927137,4
-0.01143,-0.00508,0.0892,4
-0.01143,-0.00508,0.0794,4
-0.0033543,-0.00508,0.0839944,4
-0.01143,-0.00508,0.0794,4
-0.01143,-0.00508,0.0892,4
-0.01143,1.04083e-17,0.0843,4
-0.01143,0.00508,0.099,4
-0.01143,0.00508,0.0892,4
-0.01143,9.54098e-18,0.0941,4
-0.01143,0.00508,0.0892,4
-0.01143,0.00508,0.099,4
-0.00647074,0.00508,0.0930338,4
-0.01143,0.00508,0.0892,4
-0.01143,0.00508,0.0794,4
-0.01143,1.04083e-17,0.0843,4
-0.01143,0.00508,0.0794,4
-0.01143,0.00508,0.0892,4
-0.00541259,0.00508,0.0855948,4
-0.000271086,0.00508,0.0923742,4
0.0033543,0.00508,0.0839944,4
-0.00541259,0.00508,0.0855948,4
0.0033543,0.00508,0.0839944,4
-0.000271086,0.00508,0.0923742,4
0.00595064,0.00508,0.0927137,4
0.01143,1.04083e-17,0.0451,4
0.01143,1.04083e-17,0.0549,4
0.01143,-0.00508,0.05,4
0.01143,-0.00508,0.05,4
0.00285857,-0.00508,0.0539591,4
0.00514135,-0.00508,0.0449031,4
0.01143,1.04083e-17,0.0549,4
0.01143,1.04083e-17,0.0647,4
0.01143,-0.00508,0.0598,4
0.00285857,-0.00508,0.0539591,4
0.00287872,-0.00508,0.0657554,4
-0.00340827,-0.00508,0.0598,4
-0.00285857,0.00508,0.0539591,4
-0.00287872,0.00508,0.0657554,4
0.00340827,0.00508,0.0598,4
0.00287872,-0.00508,0.0657554,4
0.00285857,-0.00508,0.0539591,4
0.01143,-0.00508,0.0598,4
0.01143,1.04083e-17,0.0647,4
0.01143,1.04083e-17,0.0549,4
0.01143,0.00508,0.0598,4
0.01143,1.04083e-17,0.0549,4
