"X","Y","Z","attribute"
-0.00423053,0.00508,0.0434612,4
-0.00568779,0.00508,0.0351415,4
-0.01143,0.00508,0.04,4
-0.01143,0,0.045,4
-0.01143,0,0.035,4
-0.01143,-0.00508,0.04,4
-0.01143,0,0.035,4
-0.01143,0,0.045,4
-0.01143,0.00508,0.04,4
-0.01143,0,0.055,4
-0.01143,0,0.045,4
-0.01143,-0.00508,0.05,4
-0.00568779,0.00508,0.0351415,4
-0.00386233,0.00508,0.0267573,4
-0.01143,0.00508,0.03,4
-0.00251389,-0.00508,0.0354891,4
-0.00381,-0.00508,0.0466667,4
-0.01143,-0.00508,0.04,4
-0.01143,0,0.025,4
-0.01143,0,0.035,4
-0.01143,0.00508,0.03,4
-0.01143,0,0.035,4
-0.01143,0,0.025,4
-0.01143,-0.00508,0.03,4
-0.00363662,0.00508,0.0536111,4
-0.00423053,0.00508,0.0434612,4
-0.01143,0.00508,0.05,4
-0.00381,-0.00508,0.0466667,4
-0.00534087,-0.00508,0.0553236,4
-0.01143,-0.00508,0.05,4
-0.00381,-0.00508,0.0466667,4
-0.00251389,-0.00508,0.0354891,4
0.00412913,-0.00508,0.0437263,4
-0.00363662,0.00508,0.0536111,4
0.00381,0.00508,0.0466667,4
-0.00423053,0.00508,0.0434612,4
-0.01143,-0.00508,0.03,4
-0.01143,-0.00508,0.04,4
-0.01143,0,0.035,4
-0.01143,-0.00508,0.03,4
-0.00251389,-0.00508,0.0354891,4
-0.01143,-0.00508,0.04,4
-0.01143,-0.00508,0.04,4
-0.01143,-0.00508,0.05,4
-0.01143,0,0.045,4
-0.01143,-0.00508,0.04,4
-0.00381,-0.00508,0.0466667,4
-0.01143,-0.00508,0.05,4
-0.01143,0.00508,0.04,4
-0.01143,0.00508,0.05,4
-0.00423053,0.00508,0.0434612,4
-0.01143,0.00508,0.05,4
-0.01143,0.00508,0.04,4
-0.01143,0,0.045,4
-0.01143,0.00508,0.03,4
-0.01143,0.00508,0.02,4
-0.01143,0,0.025,4
-0.00386233,0.00508,0.0267573,4
-0.01143,0.00508,0.02,4
-0.01143,0.00508,0.03,4
-0.01143,0.00508,0.04,4
-0.01143,0.00508,0.03,4
-0.01143,0,0.035,4
-0.01143,0.00508,0.03,4
-0.01143,0.00508,0.04,4
-0.00568779,0.00508,0.0351415,4
-0.01143,0,0.045,4
-0.01143,0,0.055,4
-0.01143,0.00508,0.05,4
0.00566751,-0.00508,0.0351946,4
0.00386233,-0.00508,0.0267573,4
0.01143,-0.00508,0.03,4
0.00251389,0.00508,0.0354891,4
-0.00386233,0.00508,0.0267573,4
-0.00568779,0.00508,0.0351415,4
-0.00251389,-0.00508,0.0354891,4
0.00386233,-0.00508,0.0267573,4
0.00566751,-0.00508,0.0351946,4
-0.00423053,0.00508,0.0434612,4
0.00251389,0.00508,0.0354891,4
-0.00568779,0.00508,0.0351415,4
-0.00429224,-0.00508,0.0239831,4
-0.00251389,-0.00508,0.0354891,4
-0.01143,-0.00508,0.03,4
0.00251389,0.00508,0.0354891,4
0.00381,0.00508,0.0466667,4
0.01143,0.00508,0.04,4
0.00381,0.00508,0.0466667,4
0.00251389,0.00508,0.0354891,4
-0.00423053,0.00508,0.0434612,4
0.00412913,-0.00508,0.0437263,4
-0.00251389,-0.00508,0.0354891,4
0.00566751,-0.00508,0.0351946,4
-0.00251389,-0.00508,0.0354891,4
-0.00429224,-0.00508,0.0239831,4
0.00386233,-0.00508,0.0267573,4
0.01143,0.00508,0.04,4
0.00381,0.00508,0.0466667,4
0.01143,0.00508,0.05,4
0.01143,0.00508,0.04,4
0.01143,0.00508,0.05,4
0.01143,0,0.045,4
0.01143,-0.00508,0.04,4
0.01143,-0.00508,0.03,4
0.01143,0,0.035,4
0.01143,-0.00508,0.03,4
0.01143,-0.00508,0.04,4
0.00566751,-0.00508,0.0351946,4
0.01143,-0.00508,0.04,4
0.01143,-0.00508,0.05,4
0.00412913,-0.00508,0.0437263,4
0.01143,-0.00508,0.05,4
0.01143,-0.00508,0.04,4
0.01143,0,0.045,4
0.00412913,-0.00508,0.0437263,4
0.00566751,-0.00508,0.0351946,4
0.01143,-0.00508,0.04,4
0.01143,0,0.035,4
0.01143,0,0.045,4
0.01143,-0.00508,0.04,4
0.01143,0,0.045,4
0.01143,0,0.035,4
0.01143,0.00508,0.04,4
0.01143,-8.67362e-19,0.015,4
0.01143,0,0.025,4
0.01143,-0.00508,0.02,4
0.01143,0,0.025,4
0.01143,-8.67362e-19,0.015,4
0.01143,0.00508,0.02,4
0.01143,0,0.025,4
0.01143,0,0.035,4
0.01143,-0.00508,0.03,4
0.01143,0,0.035,4
0.01143,0,0.025,4
0.01143,0.00508,0.03,4
0.00429224,0.00508,0.0239831,4
0.00251389,0.00508,0.0354891,4
0.01143,0.00508,0.03,4
-0.00429224,-0.00508,0.0239831,4
0.00339776,-0.00508,0.0155021,4
0.00386233,-0.00508,0.0267573,4
0.00386233,-0.00508,0.0267573,4
0.00339776,-0.00508,0.0155021,4
0.01143,-0.00508,0.02,4
0.00543601,0.00508,0.0137099,4
0.00429224,0.00508,0.0239831,4
0.01143,0.00508,0.02,4
0.00251389,0.00508,0.0354891,4
0.00429224,0.00508,0.0239831,4
-0.00386233,0.00508,0.0267573,4
0.01143,0.00508,0.03,4
0.00251389,0.00508,0.0354891,4
0.01143,0.00508,0.04,4
0.01143,0.00508,0.03,4
0.01143,0.00508,0.04,4
0.01143,0,0.035,4
0.01143,-0.00508,0.02,4
0.01143,-0.00508,0.01,4
0.01143,-8.67362e-19,0.015,4
0.01143,-0.00508,0.01,4
0.01143,-0.00508,0.02,4
0.00339776,-0.00508,0.0155021,4
0.01143,-0.00508,0.03,4
0.01143,-0.00508,0.02,4
0.01143,0,0.025,4
0.00386233,-0.00508,0.0267573,4
0.01143,-0.00508,0.02,4
0.01143,-0.00508,0.03,4
0.01143,0.00508,0.03,4
0.01143,0.00508,0.02,4
0.00429224,0.00508,0.0239831,4
0.01143,0.00508,0.02,4
0.01143,0.00508,0.03,4
0.01143,0,0.025,4
0.01143,0.00508,0.01,4
0.01143,0.00508,0.02,4
0.01143,-8.67362e-19,0.015,4
0.01143,0.00508,0.02,4
0.01143,0.00508,0.01,4
0.00543601,0.00508,0.0137099,4
0.00653143,-3.93825e-16,0,3
-8.88468e-16,-4.01511e-16,0,3
0.00381,0.00508,0,3
0.000323411,0.00508,0.00675731,4
0.00543601,0.00508,0.0137099,4
0.00648588,0.00508,0.00609344,4
0.01143,-8.67362e-19,0.015,4
0.01143,-8.67362e-19,0.005,4
0.01143,0.00508,0.01,4
-8.88468e-16,-4.01511e-16,0,3
0.00653143,-3.93825e-16,0,3
0.00381,-0.00508,0,3
0.00381,0.00508,0,4
0.000323411,0.00508,0.00675731,4
0.00648588,0.00508,0.00609344,4
0.00648588,0.00508,0.00609344,4
0.00543601,0.00508,0.0137099,4
0.01143,0.00508,0.01,4
0.01143,-8.67362e-19,0.005,4
0.01143,-8.67362e-19,0.015,4
0.01143,-0.00508,0.01,4
-0.000323411,-0.00508,0.00675731,4
0.00381,-0.00508,0,4
0.00594887,-0.00508,0.00645188,4
0.01143,-0.00508,0.01,4
0.00339776,-0.00508,0.0155021,4
0.00594887,-0.00508,0.00645188,4
-0.00381,0.00508,0,3
0.00381,0.00508,0,3
-8.88468e-16,-4.01511e-16,0,3
-0.00381,0.00508,0,4
0.000323411,0.00508,0.00675731,4
0.00381,0.00508,0,4
0.00381,0.00508,0,3
0.01143,0.00508,0,3
0.00653143,-3.93825e-16,0,3
0.00648588,0.00508,0.00609344,4
0.01143,0.00508,0,4
0.00381,0.00508,0,4
0.01143,0.00508,0,3
0.01143,-0.00508,0,3
0.00653143,-3.93825e-16,0,3
0.01143,-0.00508,0,4
0.01143,0.00508,0,4
0.01143,-8.67362e-19,0.005,4
0.01143,-0.00508,0,4
0.00594887,-0.00508,0.00645188,4
0.00381,-0.00508,0,4
0.01143,-0.00508,0,3
0.00381,-0.00508,0,3
0.00653143,-3.93825e-16,0,3
0.01143,0.00508,0,4
0.01143,0.00508,0.01,4
0.01143,-8.67362e-19,0.005,4
0.01143,0.00508,0.01,4
0.01143,0.00508,0,4
0.00648588,0.00508,0.00609344,4
0.01143,-0.00508,0.01,4
0.01143,-0.00508,0,4
0.01143,-8.67362e-19,0.005,4
0.01143,-0.00508,0,4
0.01143,-0.00508,0.01,4
0.00594887,-0.00508,0.00645188,4
-0.00653143,-4.0139e-16,0,3
-8.88468e-16,-4.01511e-16,0,3
-0.00381,-0.00508,0,3
-0.000323411,-0.00508,0.00675731,4
-0.00543601,-0.00508,0.0137099,4
-0.00648588,-0.00508,0.00609344,4
-0.01143,8.67362e-19,0.015,4
-0.01143,8.67362e-19,0.005,4
-0.01143,-0.00508,0.01,4
-8.88468e-16,-4.01511e-16,0,3
-0.00653143,-4.0139e-16,0,3
-0.00381,0.00508,0,3
-0.00381,-0.00508,0,4
-0.000323411,-0.00508,0.00675731,4
-0.00648588,-0.00508,0.00609344,4
-0.00648588,-0.00508,0.00609344,4
-0.00543601,-0.00508,0.0137099,4
-0.01143,-0.00508,0.01,4
-0.01143,8.67362e-19,0.005,4
-0.01143,8.67362e-19,0.015,4
-0.01143,0.00508,0.01,4
0.000323411,0.00508,0.00675731,4
-0.00381,0.00508,0,4
-0.00594887,0.00508,0.00645188,4
0.00381,-0.00508,0,3
-0.00381,-0.00508,0,3
-8.88468e-16,-4.01511e-16,0,3
0.00381,-0.00508,0,4
-0.000323411,-0.00508,0.00675731,4
-0.00381,-0.00508,0,4
-0.00381,-0.00508,0,3
-0.01143,-0.00508,0,3
-0.00653143,-4.0139e-16,0,3
