"X","Y","Z","attribute"
-0.035,0.00508,0.00276975,1
-0.0432408,0.00508,-0.00416588,1
-0.0455344,0.00508,0.00321036,1
-0.035,0.00508,0.00276975,1
-0.0455344,0.00508,0.00321036,1
-0.04,0.00508,0.01143,1
-0.045,0,0.01143,1
-0.055,8.67362e-19,0.01143,1
-0.05,-0.00508,0.01143,1
-0.0455344,0.00508,0.00321036,1
-0.0539106,0.00508,-0.00290497,1
-0.0534562,0.00508,0.00502669,1
-0.055,-0.00508,0.00276975,1
-0.0449524,-0.00508,0.00563404,1
-0.05,-0.00508,0.01143,1
-0.055,8.67362e-19,0.01143,1
-0.045,0,0.01143,1
-0.05,0.00508,0.01143,1
-0.045,0,0.01143,1
-0.035,0,0.01143,1
-0.04,0.00508,0.01143,1
-0.0447619,-0.00508,-0.00266998,1
-0.0365879,-0.00508,0.00428384,1
-0.0449524,-0.00508,0.00563404,1
-0.055,-0.00508,0.00276975,1
-0.0447619,-0.00508,-0.00266998,1
-0.0449524,-0.00508,0.00563404,1
-0.035,0,0.01143,1
-0.045,0,0.01143,1
-0.04,-0.00508,0.01143,1
-0.0449524,-0.00508,0.00563404,1
-0.0365879,-0.00508,0.00428384,1
-0.04,-0.00508,0.01143,1
-0.05,0.00508,0.01143,1
-0.0455344,0.00508,0.00321036,1
-0.0534562,0.00508,0.00502669,1
-0.0432408,0.00508,-0.00416588,1
-0.0539106,0.00508,-0.00290497,1
-0.0455344,0.00508,0.00321036,1
-0.05,0.00508,0.01143,1
-0.04,0.00508,0.01143,1
-0.0455344,0.00508,0.00321036,1
-0.04,0.00508,0.01143,1
-0.05,0.00508,0.01143,1
-0.045,0,0.01143,1
-0.05,0.00508,0.01143,1
-0.06,0.00508,0.01143,1
-0.055,8.67362e-19,0.01143,1
-0.06,0.00508,0.01143,1
-0.05,0.00508,0.01143,1
-0.0534562,0.00508,0.00502669,1
-0.04,-0.00508,0.01143,1
-0.05,-0.00508,0.01143,1
-0.0449524,-0.00508,0.00563404,1
-0.05,-0.00508,0.01143,1
-0.04,-0.00508,0.01143,1
-0.045,0,0.01143,1
-0.035,0,0.01143,1
-0.025,0,0.01143,1
-0.03,0.00508,0.01143,1
-0.025,0,0.01143,1
-0.035,0,0.01143,1
-0.03,-0.00508,0.01143,1
-0.015,0,0.01143,1
-0.025,0,0.01143,1
-0.02,-0.00508,0.01143,1
-0.025,0,0.01143,1
-0.015,0,0.01143,1
-0.02,0.00508,0.01143,1
-0.0239249,0.00508,0.0043227,1
-0.035,0.00508,0.00276975,1
-0.03,0.00508,0.01143,1
-0.0264795,-0.00508,0.00368896,1
-0.0154624,-0.00508,0.00337299,1
-0.02,-0.00508,0.01143,1
-0.0239249,0.00508,0.0043227,1
-0.0155021,0.00508,-0.00339776,1
-0.0267573,0.00508,-0.00386233,1
-0.035,0.00508,0.00276975,1
-0.0239249,0.00508,0.0043227,1
-0.0267573,0.00508,-0.00386233,1
-0.0365879,-0.00508,0.00428384,1
-0.0264795,-0.00508,0.00368896,1
-0.03,-0.00508,0.01143,1
-0.0333333,-0.00508,-0.00381,1
-0.0264795,-0.00508,0.00368896,1
-0.0365879,-0.00508,0.00428384,1
-0.0333333,-0.00508,-0.00381,1
-0.0231631,-0.00508,-0.0041747,1
-0.0264795,-0.00508,0.00368896,1
-0.03,0.00508,0.01143,1
-0.035,0.00508,0.00276975,1
-0.04,0.00508,0.01143,1
-0.03,0.00508,0.01143,1
-0.04,0.00508,0.01143,1
-0.035,0,0.01143,1
-0.0264795,-0.00508,0.00368896,1
-0.02,-0.00508,0.01143,1
-0.03,-0.00508,0.01143,1
-0.03,-0.00508,0.01143,1
-0.02,-0.00508,0.01143,1
-0.025,0,0.01143,1
-0.04,-0.00508,0.01143,1
-0.03,-0.00508,0.01143,1
-0.035,0,0.01143,1
-0.03,-0.00508,0.01143,1
-0.04,-0.00508,0.01143,1
-0.0365879,-0.00508,0.00428384,1
