"X","Y","Z","attribute"
-0.0229544,-0.0400255,-0.0361148,1
-0.0193769,-0.034837,-0.0283507,1
-0.025692,-0.0352036,-0.0316358,1
-0.0157994,-0.0296484,-0.0205866,1
-0.0193769,-0.034837,-0.0283507,1
-0.0130619,-0.0344704,-0.0250656,1
-0.0193769,-0.034837,-0.0283507,1
-0.0157994,-0.0296484,-0.0205866,1
-0.0221145,-0.030015,-0.0238718,1
-0.0193769,-0.034837,-0.0283507,1
-0.0229544,-0.0400255,-0.0361148,1
-0.0166393,-0.0396589,-0.0328296,1
-0.0214826,-0.0262542,-0.0331161,1
-0.0257423,-0.0332338,-0.0393689,1
-0.025692,-0.0352036,-0.0316358,1
-0.00850059,-0.0250551,-0.0256163,1
-0.0128073,-0.0313075,-0.0349392,1
-0.00890288,-0.0235513,-0.0342789,1
-0.0214826,-0.0262542,-0.0331161,1
-0.0221145,-0.030015,-0.0238718,1
-0.0187505,-0.0231374,-0.0240307,1
-0.00890288,-0.0235513,-0.0342789,1
-0.0128073,-0.0313075,-0.0349392,1
-0.0108409,-0.0258657,-0.0403373,1
-0.0152617,-0.0175907,-0.0182758,1
-0.0187505,-0.0231374,-0.0240307,1
-0.018537,-0.0248265,-0.0161077,1
-0.0221145,-0.030015,-0.0238718,1
-0.025692,-0.0352036,-0.0316358,1
-0.0193769,-0.034837,-0.0283507,1
-0.025692,-0.0352036,-0.0316358,1
-0.0221145,-0.030015,-0.0238718,1
-0.0214826,-0.0262542,-0.0331161,1
-0.0130619,-0.0344704,-0.0250656,1
-0.00850059,-0.0250551,-0.0256163,1
-0.00948436,-0.0292819,-0.0173015,1
-0.0130619,-0.0344704,-0.0250656,1
-0.00948436,-0.0292819,-0.0173015,1
-0.0157994,-0.0296484,-0.0205866,1
-0.0128073,-0.0313075,-0.0349392,1
-0.0130619,-0.0344704,-0.0250656,1
-0.0166393,-0.0396589,-0.0328296,1
-0.0166393,-0.0396589,-0.0328296,1
-0.0130619,-0.0344704,-0.0250656,1
-0.0193769,-0.034837,-0.0283507,1
-0.018537,-0.0248265,-0.0161077,1
-0.0221145,-0.030015,-0.0238718,1
-0.0157994,-0.0296484,-0.0205866,1
-0.0221145,-0.030015,-0.0238718,1
-0.018537,-0.0248265,-0.0161077,1
-0.0187505,-0.0231374,-0.0240307,1
-0.025692,-0.0352036,-0.0316358,1
-0.0292695,-0.0403921,-0.0393999,1
-0.0229544,-0.0400255,-0.0361148,1
-0.0292695,-0.0403921,-0.0393999,1
-0.025692,-0.0352036,-0.0316358,1
-0.0257423,-0.0332338,-0.0393689,1
-0.0128073,-0.0313075,-0.0349392,1
-0.00850059,-0.0250551,-0.0256163,1
-0.0130619,-0.0344704,-0.0250656,1
-0.0163568,-0.0170007,-0.028782,1
-0.0214826,-0.0262542,-0.0331161,1
-0.0187505,-0.0231374,-0.0240307,1
-0.0235118,-0.0273778,-0.0443101,1
-0.0192522,-0.0203982,-0.0380573,1
-0.0193025,-0.0184285,-0.0457903,1
-0.0163568,-0.0170007,-0.028782,1
-0.0119607,-0.0101148,-0.0211448,1
-0.0121475,-0.00805139,-0.0302622,1
-0.00583246,-0.00768481,-0.0269771,1
-0.00940995,-0.0128733,-0.0347412,1
-0.0121475,-0.00805139,-0.0302622,1
-0.0192522,-0.0203982,-0.0380573,1
-0.0163568,-0.0170007,-0.028782,1
-0.015725,-0.0132399,-0.0380263,1
-0.00940995,-0.0128733,-0.0347412,1
-0.0129874,-0.0180619,-0.0425052,1
-0.015725,-0.0132399,-0.0380263,1
-0.00940995,-0.0128733,-0.0347412,1
-0.00583246,-0.00768481,-0.0269771,1
-0.00309489,-0.0125068,-0.031456,1
-0.0214826,-0.0262542,-0.0331161,1
-0.0163568,-0.0170007,-0.028782,1
-0.0192522,-0.0203982,-0.0380573,1
-0.0129874,-0.0180619,-0.0425052,1
-0.00940995,-0.0128733,-0.0347412,1
-0.00667238,-0.0176953,-0.0392201,1
-0.00850059,-0.0250551,-0.0256163,1
-0.00890288,-0.0235513,-0.0342789,1
-0.00612239,-0.0189995,-0.0301821,1
-0.00667238,-0.0176953,-0.0392201,1
-0.00612239,-0.0189995,-0.0301821,1
-0.00890288,-0.0235513,-0.0342789,1
-0.0108409,-0.0258657,-0.0403373,1
-0.00667238,-0.0176953,-0.0392201,1
-0.00890288,-0.0235513,-0.0342789,1
-0.0163568,-0.0170007,-0.028782,1
-0.0121475,-0.00805139,-0.0302622,1
-0.015725,-0.0132399,-0.0380263,1
-0.015725,-0.0132399,-0.0380263,1
-0.0121475,-0.00805139,-0.0302622,1
-0.00940995,-0.0128733,-0.0347412,1
-0.00309489,-0.0125068,-0.031456,1
-0.00667238,-0.0176953,-0.0392201,1
-0.00940995,-0.0128733,-0.0347412,1
-0.00667238,-0.0176953,-0.0392201,1
-0.00309489,-0.0125068,-0.031456,1
-0.00612239,-0.0189995,-0.0301821,1
-0.0193025,-0.0184285,-0.0457903,1
-0.015725,-0.0132399,-0.0380263,1
-0.0129874,-0.0180619,-0.0425052,1
-0.015725,-0.0132399,-0.0380263,1
-0.0193025,-0.0184285,-0.0457903,1
-0.0192522,-0.0203982,-0.0380573,1
-0.00380383,-0.0162259,-0.0229519,1
-0.00850059,-0.0250551,-0.0256163,1
-0.00612239,-0.0189995,-0.0301821,1
-0.00583246,-0.00768481,-0.0269771,1
-0.00225496,-0.00249627,-0.019213,1
0.000482605,-0.00731823,-0.023692,1
-0.000118149,-0.010857,-0.0150405,1
-0.00380383,-0.0162259,-0.0229519,1
0.000482605,-0.00731823,-0.023692,1
-0.00225496,-0.00249627,-0.019213,1
-0.00583246,-0.00768481,-0.0269771,1
-0.00857002,-0.00286285,-0.0224982,1
-0.0122219,-0.0244599,-0.0128226,1
-0.0157994,-0.0296484,-0.0205866,1
-0.00948436,-0.0292819,-0.0173015,1
-0.0119607,-0.0101148,-0.0211448,1
-0.0111053,-0.01141,-0.00982487,1
-0.00799509,-0.00399771,-0.0139031,1
-0.0157994,-0.0296484,-0.0205866,1
-0.0122219,-0.0244599,-0.0128226,1
-0.018537,-0.0248265,-0.0161077,1
-0.0119607,-0.0101148,-0.0211448,1
-0.0163568,-0.0170007,-0.028782,1
-0.0152617,-0.0175907,-0.0182758,1
-0.00309489,-0.0125068,-0.031456,1
-0.00380383,-0.0162259,-0.0229519,1
