"X","Y","Z","attribute"
-0.00248912,-0.0645505,0.00508,1
0.00386233,-0.0732427,0.00508,1
0.00570513,-0.0648863,0.00508,1
0.00429245,-0.0566381,0.00508,1
-0.00248912,-0.0645505,0.00508,1
0.00570513,-0.0648863,0.00508,1
-0.00428929,-0.0760216,0.00508,1
0.00339776,-0.0844979,0.00508,1
0.00386233,-0.0732427,0.00508,1
0.00386233,-0.0732427,0.00508,1
0.00339776,-0.0844979,0.00508,1
0.01143,-0.08,0.00508,1
0.00429245,-0.0566381,0.00508,1
0.00570513,-0.0648863,0.00508,1
0.01143,-0.06,0.00508,1
0.01143,-0.055,0,1
0.01143,-0.065,-8.67362e-19,1
0.01143,-0.06,-0.00508,1
0.01143,-0.065,-8.67362e-19,1
0.01143,-0.055,0,1
0.01143,-0.06,0.00508,1
0.00570513,-0.0648863,0.00508,1
0.00386233,-0.0732427,0.00508,1
0.01143,-0.07,0.00508,1
0.00533759,-0.0646388,-0.00508,1
0.00302826,-0.0552022,-0.00508,1
0.01143,-0.06,-0.00508,1
0.01143,-0.075,0,1
0.01143,-0.065,-8.67362e-19,1
0.01143,-0.07,0.00508,1
0.01143,-0.065,-8.67362e-19,1
0.01143,-0.075,0,1
0.01143,-0.07,-0.00508,1
0.00386233,-0.0732427,-0.00508,1
0.00533759,-0.0646388,-0.00508,1
0.01143,-0.07,-0.00508,1
0.00386233,-0.0732427,0.00508,1
0.01143,-0.08,0.00508,1
0.01143,-0.07,0.00508,1
0.01143,-0.07,0.00508,1
0.01143,-0.08,0.00508,1
0.01143,-0.075,0,1
0.01143,-0.06,0.00508,1
0.01143,-0.07,0.00508,1
0.01143,-0.065,-8.67362e-19,1
0.01143,-0.07,0.00508,1
0.01143,-0.06,0.00508,1
0.00570513,-0.0648863,0.00508,1
0.01143,-0.06,-0.00508,1
0.01143,-0.07,-0.00508,1
0.00533759,-0.0646388,-0.00508,1
0.01143,-0.07,-0.00508,1
0.01143,-0.06,-0.00508,1
0.01143,-0.065,-8.67362e-19,1
-0.00248912,-0.0645505,0.00508,1
-0.00428929,-0.0760216,0.00508,1
0.00386233,-0.0732427,0.00508,1
-0.00363662,-0.0536111,0.00508,1
-0.00248912,-0.0645505,0.00508,1
0.00429245,-0.0566381,0.00508,1
-0.01143,-0.055,0,1
-0.01143,-0.065,8.67362e-19,1
-0.01143,-0.06,0.00508,1
-0.01143,-0.065,8.67362e-19,1
-0.01143,-0.055,0,1
-0.01143,-0.06,-0.00508,1
0.00302826,-0.0552022,-0.00508,1
-0.00306262,-0.064749,-0.00508,1
-0.00534087,-0.0553236,-0.00508,1
-0.00248912,-0.0645505,0.00508,1
-0.00363662,-0.0536111,0.00508,1
-0.01143,-0.06,0.00508,1
0.00386233,-0.0732427,-0.00508,1
-0.00306262,-0.064749,-0.00508,1
0.00533759,-0.0646388,-0.00508,1
-0.01143,-0.055,0,1
-0.01143,-0.045,0,1
-0.01143,-0.05,-0.00508,1
-0.00381,-0.0466667,-0.00508,1
-0.00534087,-0.0553236,-0.00508,1
-0.01143,-0.05,-0.00508,1
-0.00381,-0.0466667,-0.00508,1
0.00302826,-0.0552022,-0.00508,1
-0.00534087,-0.0553236,-0.00508,1
0.00381,-0.0466667,0.00508,1
-0.00363662,-0.0536111,0.00508,1
0.00429245,-0.0566381,0.00508,1
-0.01143,-0.06,0.00508,1
-0.00363662,-0.0536111,0.00508,1
-0.01143,-0.05,0.00508,1
-0.01143,-0.06,0.00508,1
-0.01143,-0.05,0.00508,1
-0.01143,-0.055,0,1
-0.01143,-0.04,-0.00508,1
-0.01143,-0.05,-0.00508,1
-0.01143,-0.045,0,1
-0.01143,-0.04,-0.00508,1
-0.00381,-0.0466667,-0.00508,1
-0.01143,-0.05,-0.00508,1
-0.01143,-0.05,-0.00508,1
-0.01143,-0.06,-0.00508,1
-0.01143,-0.055,0,1
-0.01143,-0.06,-0.00508,1
-0.01143,-0.05,-0.00508,1
-0.00534087,-0.0553236,-0.00508,1
-0.00306262,-0.064749,-0.00508,1
0.00302826,-0.0552022,-0.00508,1
0.00533759,-0.0646388,-0.00508,1
-0.01143,-0.045,0,1
-0.01143,-0.055,0,1
-0.01143,-0.05,0.00508,1
-0.01143,-0.075,0,1
-0.01143,-0.065,8.67362e-19,1
-0.01143,-0.07,-0.00508,1
-0.01143,-0.065,8.67362e-19,1
-0.01143,-0.075,0,1
-0.01143,-0.07,0.00508,1
-0.00306262,-0.064749,-0.00508,1
-0.00435757,-0.0760452,-0.00508,1
-0.01143,-0.07,-0.00508,1
-0.00435757,-0.0760452,-0.00508,1
0.00339776,-0.0844979,-0.00508,1
-0.00543601,-0.0862901,-0.00508,1
0.00339776,-0.0844979,-0.00508,1
-0.00435757,-0.0760452,-0.00508,1
0.00386233,-0.0732427,-0.00508,1
-0.00428929,-0.0760216,0.00508,1
-0.00248912,-0.0645505,0.00508,1
-0.01143,-0.07,0.00508,1
-0.00435757,-0.0760452,-0.00508,1
-0.00306262,-0.064749,-0.00508,1
0.00386233,-0.0732427,-0.00508,1
-0.00534087,-0.0553236,-0.00508,1
-0.00306262,-0.064749,-0.00508,1
-0.01143,-0.06,-0.00508,1
-0.01143,-0.075,0,1
-0.01143,-0.085,0,1
-0.01143,-0.08,0.00508,1
-0.01143,-0.085,0,1
-0.01143,-0.075,0,1
-0.01143,-0.08,-0.00508,1
-0.00435757,-0.0760452,-0.00508,1
-0.00543601,-0.0862901,-0.00508,1
-0.01143,-0.08,-0.00508,1
-0.00543601,-0.0862901,0.00508,1
-0.00428929,-0.0760216,0.00508,1
-0.01143,-0.08,0.00508,1
-0.01143,-0.07,0.00508,1
-0.00248912,-0.0645505,0.00508,1
-0.01143,-0.06,0.00508,1
-0.01143,-0.07,0.00508,1
-0.01143,-0.06,0.00508,1
-0.01143,-0.065,8.67362e-19,1
-0.01143,-0.06,-0.00508,1
-0.01143,-0.07,-0.00508,1
-0.01143,-0.065,8.67362e-19,1
-0.01143,-0.07,-0.00508,1
-0.01143,-0.06,-0.00508,1
-0.00306262,-0.064749,-0.00508,1
-0.01143,-0.07,-0.00508,1
-0.01143,-0.08,-0.00508,1
-0.01143,-0.075,0,1
-0.01143,-0.08,-0.00508,1
-0.01143,-0.07,-0.00508,1
-0.00435757,-0.0760452,-0.00508,1
-0.01143,-0.07,0.00508,1
-0.01143,-0.08,0.00508,1
-0.00428929,-0.0760216,0.00508,1
-0.01143,-0.08,0.00508,1
-0.01143,-0.07,0.00508,1
-0.01143,-0.075,0,1
-0.01143,-0.08,0.00508,1
-0.01143,-0.09,0.00508,1
-0.00543601,-0.0862901,0.00508,1
-0.01143,-0.09,0.00508,1
-0.01143,-0.08,0.00508,1
-0.01143,-0.085,0,1
-0.00543601,-0.0862901,-0.00508,1
-0.000323411,-0.0932427,-0.00508,1
-0.00648588,-0.0939066,-0.00508,1
-0.00653143,-0.1,-4.62428e-16,2
-7.17755e-16,-0.1,-3.16587e-16,2
-0.00381,-0.1,0.00508,2
-0.01143,-0.085,0,1
-0.01143,-0.095,8.67362e-19,1
-0.01143,-0.09,0.00508,1
-0.01143,-0.095,8.67362e-19,1
-0.01143,-0.085,0,1
-0.01143,-0.09,-0.00508,1
-0.00543601,-0.0862901,-0.00508,1
-0.00648588,-0.0939066,-0.00508,1
-0.01143,-0.09,-0.00508,1
-0.00648588,-0.0939066,0.00508,1
-0.00543601,-0.0862901,0.00508,1
-0.01143,-0.09,0.00508,1
-0.00648588,-0.0939066,0.00508,1
-0.01143,-0.1,0.00508,1
-0.00381,-0.1,0.00508,1
-0.00381,-0.1,0.00508,2
-0.01143,-0.1,0.00508,2
-0.00653143,-0.1,-4.62428e-16,2
-0.01143,-0.1,-0.00508,2
-0.00381,-0.1,-0.00508,2
-0.00653143,-0.1,-4.62428e-16,2
-0.01143,-0.1,-0.00508,1
-0.00648588,-0.0939066,-0.00508,1
-0.00381,-0.1,-0.00508,1
-0.01143,-0.1,0.00508,2
-0.01143,-0.1,-0.00508,2
-0.00653143,-0.1,-4.62428e-16,2
-0.01143,-0.1,-0.00508,1
-0.01143,-0.1,0.00508,1
-0.01143,-0.095,8.67362e-19,1
-0.01143,-0.1,0.00508,1
-0.01143,-0.09,0.00508,1
-0.01143,-0.095,8.67362e-19,1
-0.01143,-0.09,0.00508,1
-0.01143,-0.1,0.00508,1
-0.00648588,-0.0939066,0.00508,1
-0.01143,-0.09,-0.00508,1
-0.01143,-0.1,-0.00508,1
-0.01143,-0.095,8.67362e-19,1
-0.01143,-0.1,-0.00508,1
-0.01143,-0.09,-0.00508,1
-0.00648588,-0.0939066,-0.00508,1
-0.01143,-0.08,-0.00508,1
-0.01143,-0.09,-0.00508,1
-0.01143,-0.085,0,1
-0.01143,-0.09,-0.00508,1
-0.01143,-0.08,-0.00508,1
-0.00543601,-0.0862901,-0.00508,1
-0.000323411,-0.0932427,-0.00508,1
-0.00381,-0.1,-0.00508,1
-0.00648588,-0.0939066,-0.00508,1
-7.17755e-16,-0.1,-3.16587e-16,2
-0.00653143,-0.1,-4.62428e-16,2
-0.00381,-0.1,-0.00508,2
-0.000323411,-0.0932427,0.00508,1
-0.00543601,-0.0862901,0.00508,1
-0.00648588,-0.0939066,0.00508,1
0.00339776,-0.0844979,0.00508,1
-0.00428929,-0.0760216,0.00508,1
-0.00543601,-0.0862901,0.00508,1
0.00339776,-0.0844979,0.00508,1
-0.000323411,-0.0932427,0.00508,1
0.00594887,-0.0935481,0.00508,1
-0.000323411,-0.0932427,0.00508,1
0.00339776,-0.0844979,0.00508,1
-0.00543601,-0.0862901,0.00508,1
0.00339776,-0.0844979,-0.00508,1
-0.000323411,-0.0932427,-0.00508,1
-0.00543601,-0.0862901,-0.00508,1
-7.17755e-16,-0.1,-3.16587e-16,2
0.00653143,-0.1,-3.81817e-16,2
0.00381,-0.1,0.00508,2
0.00653143,-0.1,-3.81817e-16,2
-7.17755e-16,-0.1,-3.16587e-16,2
0.00381,-0.1,-0.00508,2
-0.00381,-0.1,0.00508,1
-0.000323411,-0.0932427,0.00508,1
-0.00648588,-0.0939066,0.00508,1
-0.000323411,-0.0932427,0.00508,1
0.00381,-0.1,0.00508,1
0.00594887,-0.0935481,0.00508,1
0.00381,-0.1,-0.00508,1
-0.000323411,-0.0932427,-0.00508,1
0.00594887,-0.0935481,-0.00508,1
0.00381,-0.1,0.00508,2
-0.00381,-0.1,0.00508,2
-7.17755e-16,-0.1,-3.16587e-16,2
0.00381,-0.1,0.00508,1
-0.000323411,-0.0932427,0.00508,1
-0.00381,-0.1,0.00508,1
-0.00381,-0.1,-0.00508,2
0.00381,-0.1,-0.00508,2
-7.17755e-16,-0.1,-3.16587e-16,2
-0.000323411,-0.0932427,-0.00508,1
0.00381,-0.1,-0.00508,1
-0.00381,-0.1,-0.00508,1
0.01143,-0.1,0.00508,1
0.00594887,-0.0935481,0.00508,1
0.00381,-0.1,0.00508,1
0.01143,-0.1,0.00508,2
0.00381,-0.1,0.00508,2
0.00653143,-0.1,-3.81817e-16,2
0.00594887,-0.0935481,-0.00508,1
0.01143,-0.1,-0.00508,1
0.00381,-0.1,-0.00508,1
0.00381,-0.1,-0.00508,2
0.01143,-0.1,-0.00508,2
0.00653143,-0.1,-3.81817e-16,2
-0.000323411,-0.0932427,-0.00508,1
0.00339776,-0.0844979,-0.00508,1
0.00594887,-0.0935481,-0.00508,1
0.01143,-0.085,0,1
0.01143,-0.075,0,1
0.01143,-0.08,0.00508,1
0.01143,-0.075,0,1
0.01143,-0.085,0,1
0.01143,-0.08,-0.00508,1
0.00339776,-0.0844979,-0.00508,1
0.00386233,-0.0732427,-0.00508,1
0.01143,-0.08,-0.00508,1
0.01143,-0.095,-8.67362e-19,1
0.01143,-0.085,0,1
0.01143,-0.09,0.00508,1
0.01143,-0.085,0,1
0.01143,-0.095,-8.67362e-19,1
0.01143,-0.09,-0.00508,1
0.01143,-0.09,0.00508,1
0.00339776,-0.0844979,0.00508,1
0.00594887,-0.0935481,0.00508,1
0.00339776,-0.0844979,-0.00508,1
0.01143,-0.09,-0.00508,1
