"X","Y","Z","attribute"
0.01143,-0.00508,-0.05,1
0.01143,0.00508,-0.05,1
0.01143,0,-0.04375,1
0.01143,0.00508,-0.05,1
0.01143,-0.00508,-0.05,1
0.01143,-8.67362e-19,-0.05625,1
0.01143,0.00508,-0.0375,1
0.01143,-0.00508,-0.0375,1
0.01143,0,-0.04375,1
0.01143,-0.00508,-0.0625,1
0.01143,0.00508,-0.0625,1
0.01143,-8.67362e-19,-0.05625,1
0.00042317,0.00508,-0.0575777,1
-0.000439054,0.00508,-0.0426107,1
0.01143,0.00508,-0.05,1
-0.00044166,-0.00508,-0.042612,1
0.00041449,-0.00508,-0.0575777,1
0.01143,-0.00508,-0.05,1
-0.000439054,0.00508,-0.0426107,1
0.00042317,0.00508,-0.0575777,1
-0.01143,0.00508,-0.05,1
0.01143,0.00508,-0.0375,1
-0.000439054,0.00508,-0.0426107,1
0.00279128,0.00508,-0.0333375,1
-0.00044166,-0.00508,-0.042612,1
0.01143,-0.00508,-0.0375,1
0.00278633,-0.00508,-0.0333419,1
0.00042317,0.00508,-0.0575777,1
0.01143,0.00508,-0.0625,1
0.0049074,0.00508,-0.0680032,1
0.01143,-0.00508,-0.0375,1
0.01143,-0.00508,-0.05,1
0.01143,0,-0.04375,1
-0.00044166,-0.00508,-0.042612,1
0.01143,-0.00508,-0.05,1
0.01143,-0.00508,-0.0375,1
0.01143,0.00508,-0.05,1
-0.000439054,0.00508,-0.0426107,1
0.01143,0.00508,-0.0375,1
0.01143,0.00508,-0.05,1
0.01143,0.00508,-0.0375,1
0.01143,0,-0.04375,1
0.01143,-0.00508,-0.0375,1
0.01143,0.00508,-0.0375,1
0.01143,-8.67362e-19,-0.03125,1
-0.000439054,0.00508,-0.0426107,1
-0.00489181,0.00508,-0.0319845,1
0.00279128,0.00508,-0.0333375,1
-1.05124e-15,0.00508,-0.025,1
0.00279128,0.00508,-0.0333375,1
-0.00489181,0.00508,-0.0319845,1
0.01143,0.00508,-0.0625,1
0.01143,0.00508,-0.05,1
0.01143,-8.67362e-19,-0.05625,1
0.00042317,0.00508,-0.0575777,1
0.01143,0.00508,-0.05,1
0.01143,0.00508,-0.0625,1
-0.000439054,0.00508,-0.0426107,1
-0.01143,0.00508,-0.05,1
-0.01143,0.00508,-0.0375,1
-0.01143,0.00508,-0.0375,1
-0.01143,0.00508,-0.05,1
-0.01143,0,-0.04375,1
0.01143,-0.00508,-0.03125,1
0.01143,-8.67362e-19,-0.03125,1
0.01143,-0.00254,-0.028125,1
0.00278633,-0.00508,-0.0333419,1
0.01143,-0.00508,-0.0375,1
0.01143,-0.00508,-0.03125,1
0.00139316,-0.00508,-0.029171,1
0.00710816,-0.00508,-0.029171,1
0.00355408,-0.00508,-0.0270855,1
0.01143,-0.00508,-0.0375,1
0.01143,-8.67362e-19,-0.03125,1
0.01143,-0.00508,-0.03125,1
0.00710816,-0.00508,-0.029171,1
0.01143,-0.00508,-0.03125,1
0.01143,-0.00508,-0.028125,1
0.00641158,-0.00508,-0.0270855,1
0.00926908,-0.00508,-0.0270855,1
0.00749204,-0.00508,-0.0260427,1
0.00278633,-0.00508,-0.0333419,1
0.01143,-0.00508,-0.03125,1
0.00710816,-0.00508,-0.029171,1
0.005715,-0.00508,-0.025,1
-7.25114e-16,-0.00508,-0.025,1
0.00355408,-0.00508,-0.0270855,1
0.01143,-0.00508,-0.028125,1
0.01143,-0.00254,-0.028125,1
0.01143,-0.00381,-0.0265625,1
0.00926908,-0.00508,-0.0270855,1
0.01143,-0.00508,-0.028125,1
0.01143,-0.00508,-0.0265625,1
0.0085725,-0.00508,-0.025,1
0.00926908,-0.00508,-0.0270855,1
0.0103495,-0.00508,-0.0260427,1
0.01143,-0.00508,-0.03125,1
0.01143,-0.00254,-0.028125,1
0.01143,-0.00508,-0.028125,1
0.00710816,-0.00508,-0.029171,1
0.01143,-0.00508,-0.028125,1
0.00926908,-0.00508,-0.0270855,1
0.00749204,-0.00508,-0.0260427,1
0.0085725,-0.00508,-0.025,1
0.00714375,-0.00508,-0.025,1
0.00278633,-0.00508,-0.0333419,1
0.00710816,-0.00508,-0.029171,1
0.00139316,-0.00508,-0.029171,1
0.00710816,-0.00508,-0.029171,1
0.00926908,-0.00508,-0.0270855,1
0.00641158,-0.00508,-0.0270855,1
0.00355408,-0.00508,-0.0270855,1
0.00710816,-0.00508,-0.029171,1
0.00641158,-0.00508,-0.0270855,1
0.01143,-0.00381,-0.0265625,1
0.01143,-0.00508,-0.025,1
0.01143,-0.00508,-0.0265625,1
0.01143,-0.00508,-0.0265625,1
0.01143,-0.00508,-0.025,1
0.0103495,-0.00508,-0.0260427,1
0.0103495,-0.00508,-0.0260427,1
0.01143,-0.00508,-0.025,1
0.0100012,-0.00508,-0.025,1
0.00926908,-0.00508,-0.0270855,1
0.0085725,-0.00508,-0.025,1
0.00749204,-0.00508,-0.0260427,1
0.005715,-0.00508,-0.025,1
0.00355408,-0.00508,-0.0270855,1
0.00641158,-0.00508,-0.0270855,1
0.01143,-0.00508,-0.028125,1
0.01143,-0.00381,-0.0265625,1
0.01143,-0.00508,-0.0265625,1
0.00926908,-0.00508,-0.0270855,1
0.01143,-0.00508,-0.0265625,1
0.0103495,-0.00508,-0.0260427,1
0.0085725,-0.00508,-0.025,1
0.0103495,-0.00508,-0.0260427,1
0.0100012,-0.00508,-0.025,1
-7.25114e-16,-0.00508,-0.025,1
0.00139316,-0.00508,-0.029171,1
0.00355408,-0.00508,-0.0270855,1
0.005715,-0.00508,-0.025,1
0.00641158,-0.00508,-0.0270855,1
0.00749204,-0.00508,-0.0260427,1
0.005715,-0.00508,-0.025,1
0.00749204,-0.00508,-0.0260427,1
0.00714375,-0.00508,-0.025,1
-0.01143,-0.00508,-0.05,1
-0.01143,0.00508,-0.05,1
-0.01143,8.67362e-19,-0.05625,1
-0.01143,0.00508,-0.05,1
-0.01143,-0.00508,-0.05,1
-0.01143,0,-0.04375,1
-0.01143,0.00508,-0.0625,1
-0.01143,-0.00508,-0.0625,1
-0.01143,8.67362e-19,-0.05625,1
0.00041449,-0.00508,-0.0575777,1
-0.00044166,-0.00508,-0.042612,1
-0.01143,-0.00508,-0.05,1
0.00041449,-0.00508,-0.0575777,1
-0.01143,-0.00508,-0.0625,1
-0.00262333,-0.00508,-0.0663536,1
-0.01143,0.00508,-0.0625,1
0.00042317,0.00508,-0.0575777,1
-0.00262269,0.00508,-0.0663536,1
-0.01143,0.00508,-0.05,1
0.00042317,0.00508,-0.0575777,1
