"X","Y","Z","attribute"
-0.00594808,0.00508,0.00987657,1
-0.00286898,0.00508,0.0102127,1
-0.00467529,0.00508,0.00814888,1
-0.00286898,-0.00508,0.0102127,1
-0.00648159,-0.00508,0.00608507,1
-0.0034025,-0.00508,0.00642119,1
0.00160154,-0.00508,0.0110042,1
0.00597461,-0.00508,0.00640167,1
0.00475055,-0.00508,0.0108264,1
-0.01143,-0.00254,0.0225,1
-0.01143,1.25767e-17,0.02,1
-0.01143,-0.00254,0.02,1
-0.01143,0.00254,0.0175,1
-0.01143,1.25767e-17,0.02,1
-0.01143,0.00254,0.02,1
-0.00286223,-0.00508,0.0168968,1
-0.000944038,-0.00508,0.0144596,1
-0.000626966,-0.00508,0.0172925,1
-0.00286898,-0.00508,0.0102127,1
0.00160154,-0.00508,0.0110042,1
-0.00190651,-0.00508,0.0123361,1
0.00414495,-0.00508,0.0298745,1
-0.000309893,-0.00508,0.0298745,1
0.00222676,-0.00508,0.0274372,1
0.00222676,-0.00508,0.0225628,1
0.00030857,-0.00508,0.025,1
-6.61504e-07,-0.00508,0.0225628,1
-0.00286223,-0.00508,0.0331032,1
-0.00478041,-0.00508,0.030666,1
-0.00254515,-0.00508,0.0302702,1
-0.00286223,0.00508,0.0168968,1
-0.00478041,0.00508,0.019334,1
-0.00254515,0.00508,0.0197298,1
-0.0034025,0.00508,0.00642119,1
-0.00206671,0.00508,0.00337865,1
-0.00427415,0.00508,0.00473186,1
-0.00842228,-0.00508,0.016834,1
-0.00478041,-0.00508,0.019334,1
-0.00810521,-0.00508,0.019667,1
-0.00778813,0.00508,0.0225,1
-0.00478041,0.00508,0.019334,1
-0.00810521,0.00508,0.019667,1
-0.000944038,0.00508,0.0144596,1
0.00160154,0.00508,0.0110042,1
-0.00190651,0.00508,0.0123361,1
-0.00206671,0.00508,0.00337865,1
0.00174329,0.00508,0.00337865,1
-0.00103335,0.00508,0.00168933,1
-0.00842228,-0.00508,0.016834,1
-0.01143,-0.00508,0.015,1
-0.00842228,-0.00508,0.014334,1
-0.01143,-0.00254,0.015,1
-0.01143,-0.00254,0.0125,1
-0.01143,-0.00381,0.01375,1
-0.01143,0.00508,0.015,1
-0.01143,2.34188e-17,0.015,1
-0.01143,0.00254,0.0175,1
-0.01143,0.00508,0.015,1
-0.00541456,0.00508,0.0136681,1
-0.00842228,0.00508,0.011834,1
-0.00254515,-0.00508,0.0197298,1
-0.00222808,-0.00508,0.0225628,1
-0.00350425,-0.00508,0.0209484,1
0.00030857,-0.00508,0.025,1
-0.000309893,-0.00508,0.0298745,1
-0.00222808,-0.00508,0.0274372,1
0.00160829,-0.00508,0.0176883,1
0.00414495,-0.00508,0.0201255,1
0.00191753,-0.00508,0.0201255,1
0.00160829,-0.00508,0.0323117,1
-0.000944038,-0.00508,0.0355404,1
-0.000626966,-0.00508,0.0327075,1
0.00160829,0.00508,0.0176883,1
-0.000944038,0.00508,0.0144596,1
-0.000626966,0.00508,0.0172925,1
-0.00842228,0.00508,0.016834,1
-0.00478041,0.00508,0.019334,1
-0.00509749,0.00508,0.016501,1
0.00160154,0.00508,0.0110042,1
-0.000323411,0.00508,0.00675731,1
-0.00286898,0.00508,0.0102127,1
0.00030857,-0.00508,0.025,1
0.00476341,-0.00508,0.025,1
0.00222676,-0.00508,0.0274372,1
0.00222676,-0.00508,0.0225628,1
0.00414495,-0.00508,0.0201255,1
0.00445418,-0.00508,0.0225628,1
-0.00286223,0.00508,0.0168968,1
-0.000944038,0.00508,0.0144596,1
-0.0031793,0.00508,0.0140638,1
-0.00222808,-0.00508,0.0225628,1
