"X","Y","Z","attribute"
-0.00423053,0.00508,0.0434612,1
-0.00568779,0.00508,0.0351415,1
-0.01143,0.00508,0.04,1
-0.01143,0,0.045,1
-0.01143,0,0.035,1
-0.01143,-0.00508,0.04,1
-0.01143,0,0.035,1
-0.01143,0,0.045,1
-0.01143,0.00508,0.04,1
-0.01143,0,0.055,1
-0.01143,0,0.045,1
-0.01143,-0.00508,0.05,1
-0.00568779,0.00508,0.0351415,1
-0.00386233,0.00508,0.0267573,1
-0.01143,0.00508,0.03,1
-0.00251389,-0.00508,0.0354891,1
-0.00381,-0.00508,0.0466667,1
-0.01143,-0.00508,0.04,1
-0.01143,0,0.025,1
-0.01143,0,0.035,1
-0.01143,0.00508,0.03,1
-0.01143,0,0.035,1
-0.01143,0,0.025,1
-0.01143,-0.00508,0.03,1
-0.00363662,0.00508,0.0536111,1
-0.00423053,0.00508,0.0434612,1
-0.01143,0.00508,0.05,1
-0.00381,-0.00508,0.0466667,1
-0.00534087,-0.00508,0.0553236,1
-0.01143,-0.00508,0.05,1
-0.00381,-0.00508,0.0466667,1
-0.00251389,-0.00508,0.0354891,1
0.00412913,-0.00508,0.0437263,1
-0.00363662,0.00508,0.0536111,1
0.00381,0.00508,0.0466667,1
-0.00423053,0.00508,0.0434612,1
-0.01143,-0.00508,0.03,1
-0.01143,-0.00508,0.04,1
-0.01143,0,0.035,1
-0.01143,-0.00508,0.03,1
-0.00251389,-0.00508,0.0354891,1
-0.01143,-0.00508,0.04,1
-0.01143,-0.00508,0.04,1
-0.01143,-0.00508,0.05,1
-0.01143,0,0.045,1
-0.01143,-0.00508,0.04,1
-0.00381,-0.00508,0.0466667,1
-0.01143,-0.00508,0.05,1
-0.01143,0.00508,0.04,1
-0.01143,0.00508,0.05,1
-0.00423053,0.00508,0.0434612,1
-0.01143,0.00508,0.05,1
-0.01143,0.00508,0.04,1
-0.01143,0,0.045,1
-0.01143,0.00508,0.03,1
-0.01143,0.00508,0.02,1
-0.01143,0,0.025,1
-0.00386233,0.00508,0.0267573,1
-0.01143,0.00508,0.02,1
-0.01143,0.00508,0.03,1
-0.01143,0.00508,0.04,1
-0.01143,0.00508,0.03,1
-0.01143,0,0.035,1
-0.01143,0.00508,0.03,1
-0.01143,0.00508,0.04,1
-0.00568779,0.00508,0.0351415,1
-0.01143,0,0.045,1
-0.01143,0,0.055,1
