"X","Y","Z","attribute"
0.01143,0.003175,0.06875,1
0.01143,0.003175,0.071875,1
0.01143,0.0028575,0.0703125,1
0.00714375,0.00508,0.08125,1
0.00714375,0.00508,0.078125,1
0.00642937,0.00508,0.0796875,1
0,0.00508,0.05625,1
0.00142875,0.00508,0.053125,1
-0.000714375,0.00508,0.0546875,1
0.01143,-0.00127,0.059375,1
0.01143,-0.000635,0.059375,1
0.01143,-0.0009525,0.0609375,1
0.0085725,0.00508,0.065625,1
0.0100012,0.00508,0.065625,1
0.00928687,0.00508,0.0640625,1
0.01143,0.004445,0.084375,1
0.01143,0.00381,0.0875,1
0.01143,0.00381,0.084375,1
0.0085725,0.00508,0.090625,1
0.0100012,0.00508,0.090625,1
0.00928687,0.00508,0.0890625,1
0.01143,0.001905,0.05625,1
0.01143,0.001905,0.053125,1
0.01143,0.0022225,0.0546875,1
0.000714375,0.00508,0.0640625,1
-0.00142875,0.00508,0.065625,1
0,0.00508,0.065625,1
0.00428625,0.00508,0.06875,1
0.00428625,0.00508,0.071875,1
0.00500062,0.00508,0.0703125,1
0.005715,0.00508,0.05625,1
0.00428625,0.00508,0.059375,1
0.00642938,0.00508,0.0578125,1
0,0.00508,0.059375,1
-0.000714375,0.00508,0.0609375,1
0.000357187,0.00508,0.0601563,1
-0.00714375,0.00508,0.053125,1
-0.00428625,0.00508,0.053125,1
-0.00500062,0.00508,0.0515625,1
0.00428625,0.00508,0.053125,1
0.00714375,0.00508,0.053125,1
0.00642937,0.00508,0.0515625,1
0.01143,-0.003175,0.053125,1
0.01143,-0.00254,0.05625,1
0.01143,-0.003175,0.05625,1
0.01143,0.001905,0.078125,1
0.01143,0.00254,0.08125,1
0.01143,0.001905,0.08125,1
0.0100012,0.00508,0.08125,1
0.0100012,0.00508,0.084375,1
0.0107156,0.00508,0.0828125,1
0.01143,0.004445,0.09375,1
0.01143,0.004445,0.090625,1
0.01143,0.0047625,0.0921875,1
0.0100012,0.00508,0.09375,1
0.0100012,0.00508,0.096875,1
0.0107156,0.00508,0.0953125,1
0.01143,0.00381,0.059375,1
0.01143,0.004445,0.059375,1
0.01143,0.0041275,0.0609375,1
0.01143,-0.000635,0.06875,1
0.01143,-0.000635,0.065625,1
0.01143,-0.0003175,0.0671875,1
0.01143,0.000635,0.065625,1
0.01143,0.00127,0.0625,1
0.01143,0.00127,0.065625,1
0.01143,0.000635,0.05625,1
0.01143,0.000635,0.059375,1
0.01143,0.0003175,0.0578125,1
0.01143,0.00381,0.053125,1
0.01143,0.003175,0.053125,1
0.01143,0.0034925,0.0515625,1
0.01143,-0.001905,0.053125,1
0.01143,-0.00127,0.05,1
0.01143,-0.00127,0.053125,1
-0.005715,0.00508,0.05625,1
-0.00714375,0.00508,0.059375,1
-0.00500062,0.00508,0.0578125,1
0.01143,0.00127,0.071875,1
0.01143,0.001905,0.071875,1
0.01143,0.0015875,0.0734375,1
0.00428625,0.00508,0.078125,1
0.0028575,0.00508,0.075,1
0.0028575,0.00508,0.078125,1
0.0100012,0.00508,0.05625,1
0.0100012,0.00508,0.059375,1
