"X","Y","Z","attribute"
0.00555556,-0.00508,0.06286,1
0.00555556,0.00508,0.06286,1
1.12826e-14,-8.67362e-19,0.06286,1
-0.00555556,0.00508,0.06286,1
-0.00555556,-0.00508,0.06286,1
1.12826e-14,-8.67362e-19,0.06286,1
0.00555556,0.00508,0.06286,1
0.00555556,-0.00508,0.06286,1
0.0111111,0,0.06286,1
0.0258819,0.00508,0.0477038,1
0.0163086,0.00508,0.0481325,1
0.0214549,0.00508,0.0553703,1
0.0214549,-0.00508,0.0553701,1
0.0113793,-0.00508,0.0555627,1
0.0163086,-0.00508,0.0481325,1
0.0166667,-0.00508,0.06286,1
0.0166667,0.00508,0.06286,1
0.0111111,0,0.06286,1
0.0113793,0.00508,0.0555637,1
0.0214549,0.00508,0.0553703,1
0.0163086,0.00508,0.0481325,1
0.0113793,0.00508,0.0555637,1
3.34455e-15,0.00508,0.0533071,1
0.00555556,0.00508,0.06286,1
0.0163086,-0.00508,0.0481325,1
0.0113793,-0.00508,0.0555627,1
0.00767525,-0.00508,0.0475858,1
0.0163086,0.00508,0.0481325,1
0.01143,0.00508,0.04,1
0.00767525,0.00508,0.0475886,1
0.01143,-0.00508,0.04,1
0.0163086,-0.00508,0.0481325,1
0.00767525,-0.00508,0.0475858,1
0.0113793,-0.00508,0.0555627,1
0.0214549,-0.00508,0.0553701,1
0.0166667,-0.00508,0.06286,1
3.34455e-15,0.00508,0.0533071,1
0.0113793,0.00508,0.0555637,1
0.00767525,0.00508,0.0475886,1
0.0113793,0.00508,0.0555637,1
0.0163086,0.00508,0.0481325,1
0.00767525,0.00508,0.0475886,1
9.84629e-15,-0.00508,0.0532872,1
0.0113793,-0.00508,0.0555627,1
0.00555556,-0.00508,0.06286,1
-0.00555556,-0.00508,0.06286,1
0.00555556,-0.00508,0.06286,1
1.12826e-14,-8.67362e-19,0.06286,1
0.00555556,-0.00508,0.06286,1
-0.00555556,-0.00508,0.06286,1
9.84629e-15,-0.00508,0.0532872,1
0.00555556,0.00508,0.06286,1
-0.00555556,0.00508,0.06286,1
1.12826e-14,-8.67362e-19,0.06286,1
-0.00555556,0.00508,0.06286,1
0.00555556,0.00508,0.06286,1
3.34455e-15,0.00508,0.0533071,1
0.00555556,0.00508,0.06286,1
0.0166667,0.00508,0.06286,1
0.0113793,0.00508,0.0555637,1
0.0166667,0.00508,0.06286,1
0.00555556,0.00508,0.06286,1
0.0111111,0,0.06286,1
0.00555556,-0.00508,0.06286,1
0.0166667,-0.00508,0.06286,1
0.0111111,0,0.06286,1
