"X","Y","Z","attribute"
-0.00497497,0.00287327,0,10
-0.00334409,0.0021771,0,10
-0.00461185,0.00203125,0,10
0.0024862,0.0033861,0,10
0.00428266,0.00395967,0,10
0.003438,0.00239936,0,10
-0.00653012,0.00350923,0,10
-0.0093012,0.00249617,0,10
-0.00824091,0.00381461,0,10
-0.00653012,0.00350923,0,10
-0.00407031,0.00386115,0,10
-0.00497497,0.00287327,0,10
0.00842295,0.00877127,0,10
0.0128571,0.00552993,0,10
0.01016,0.0046593,0,10
0.0128571,0.00552993,0,10
0.00842295,0.00877127,0,10
0.0112297,0.0102636,0,10
0.00224604,0.00526663,0,10
0.00428266,0.00395967,0,10
0.0024862,0.0033861,0,10
0.00430415,0.00701208,0,10
0.00428266,0.00395967,0,10
0.00224604,0.00526663,0,10
-0.00396165,0.0108755,0,10
0.00264234,0.0117285,0,10
0.00102144,0.00829012,0,10
-0.00407031,0.00386115,0,10
-0.00718061,0.00513306,0,10
-0.00447563,0.00681085,0,10
0.000790317,0.00411593,0,10
0.0024862,0.0033861,0,10
0.00114805,0.00277164,0,10
-0.00231952,0.0032915,0,10
-0.000886034,0.00399789,0,10
-0.00114805,0.00277164,0,10
-0.00396165,0.0108755,0,10
0.00102144,0.00829012,0,10
-0.00199121,0.00737777,0,10
-0.000886034,0.00399789,0,10
0,0.003,0,10
-0.00114805,0.00277164,0,10
-0.0041667,-0.00212966,0,10
-0.00314211,-0.00216253,0,10
-0.00376728,-0.00261393,0,10
0.00853957,0.0136132,0,10
0.0140364,0.0117559,0,10
0.0112297,0.0102636,0,10
0.000790317,0.00411593,0,10
0.00114805,0.00277164,0,10
0,0.003,0,10
0.00842295,0.00877127,0,10
0.00746287,0.00378867,0,10
0.00430415,0.00701208,0,10
-0.00524313,-0.00215535,0,10
-0.00394095,-0.00119399,0,10
-0.0041667,-0.00212966,0,10
-0.00343833,-0.00317463,0,10
-0.00314211,-0.00216253,0,10
-0.00281316,-0.00272323,0,10
-0.00231952,0.0032915,0,10
-0.00232496,0.00513085,0,10
-0.000886034,0.00399789,0,10
0.00224604,0.00526663,0,10
0.0024862,0.0033861,0,10
0.000790317,0.00411593,0,10
-0.00192541,-0.00473924,0,10
-0.00248421,-0.00328394,0,10
-0.00162262,-0.00376929,0,10
-0.000886034,0.00399789,0,10
0.000790317,0.00411593,0,10
0,0.003,0,10
-0.00447563,0.00681085,0,10
-0.00396165,0.0108755,0,10
-0.00199121,0.00737777,0,10
-0.00502739,-0.000281683,0,10
-0.00394095,-0.00119399,0,10
-0.00501738,-0.00121968,0,10
0.00102144,0.00829012,0,10
