#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,3
#number of ports,1
#S-port 1,net1,50
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1))
2,-21.5924382288089,-38.5804036065461
#4,-3.64348309115034,173.646775502126
4,-3.63018366078408,173.654739847193
#6,-4.07297051541923,20.9442120667895
#6,-4.1206176592109,34.796146566648
#6,-4.38917795748276,36.2268902013989
#6,-4.54916453889864,32.2308069129515
#6,-4.91285032009263,16.2752144008213
#6,-4.91785527064564,-4.60636772206911
#6,-4.53011399054127,-17.2708159586226
#6,-4.43116060249664,-19.8904329607012
#6,-4.36746316710668,-23.2136120974999
#6,-4.37082274550282,-24.3289544998269
#6,-4.40789191454518,-23.5594341721408
#6,-4.34180746486116,-24.0793190224732
#6,-4.32558380917873,-24.0281300332541
6,-4.28311528533044,-24.307025948751
