#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,43
#number of ports,1
#S-port 1,net1,50
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1))
1.6,-16.7993858861874,-12.6042452680189
1.62,-18.0953280735931,-15.8269509577559
1.64,-19.4949676463412,-17.7791129830451
1.66,-20.9655913080118,-17.9329384390038
1.68,-22.4180672928645,-15.678260695179
1.7,-23.6723160279406,-10.6294605362415
1.72,-24.4766538659014,-3.30587235924117
1.74,-24.6639210968294,4.44948309459053
1.76,-24.3156469885287,10.4704905542962
1.78,-23.678102094219,13.7109799194896
1.8,-22.9696460507591,14.2946401613943
1.82,-22.3134671245119,12.793922808361
1.84,-21.7623453058528,9.77262892908369
1.86,-21.3328541145027,5.65817066630698
1.88,-21.0261365569133,0.74601064103694
1.9,-20.8380953390209,-4.76827661995918
1.92,-20.764070267771,-10.7603888019607
1.94,-20.8010093179013,-17.1571987290245
1.96,-20.9485903925103,-23.9239412853682
1.98,-21.2099651047438,-31.0568756881888
2,-21.5924382287509,-38.580403608072
2.02,-22.1082386731523,-46.5488009909393
2.04,-22.7754603095891,-55.0544154527416
2.06,-23.6191613376251,-64.2471347245609
2.08,-24.6723074504449,-74.3758363526963
2.1,-25.9749930476681,-85.8749964922577
2.12,-27.5652616658858,-99.5438693514116
2.14,-29.4347302506362,-116.882630821774
2.16,-31.36000204318,-140.376780904016
2.18,-32.5432396618949,-171.594282524456
2.2,-32.0203736526385,155.212282761527
2.22,-30.2631102824107,128.797498002708
2.24,-28.2965851017267,109.900167596787
2.26,-26.5345709930163,95.8590132467744
2.28,-25.0370577846076,84.7155777588995
2.3,-23.7722294086818,75.3835696192211
2.32,-22.6963032929095,67.264785563375
2.34,-21.7712915923502,60.0121338921179
2.36,-20.9671942362944,53.4115922378576
2.38,-20.260823614918,47.3236618945731
2.4,-19.6342216589077,41.6530552835452
#4,-3.64348309114243,173.646775502064
4,-3.63018366077544,173.654739847306
#6,-4.0729705154245,20.9442120667208
#6,-4.12061765920737,34.7961465666864
#6,-4.38917795747735,36.2268902014849
#6,-4.54916453889765,32.2308069129297
#6,-4.91285032009229,16.2752144007902
#6,-4.91785527064588,-4.60636772199049
#6,-4.53011399054119,-17.2708159585408
#6,-4.43116060249852,-19.8904329606192
#6,-4.36746316710225,-23.2136120979418
#6,-4.37082274550086,-24.3289544996071
#6,-4.40789191454533,-23.5594341721882
#6,-4.34180746485679,-24.0793190227768
#6,-4.32558380917424,-24.0281300334702
6,-4.28311528520801,-24.3070259485297
