#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,120
#number of ports,1
#S-port 1,net1,50
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1))
0.1,-0.00155704680215818,-17.2711893473053
0.2,-0.00711429461152843,-34.7077512657255
0.3,-0.0185384246116154,-52.4830552943661
0.4,-0.0397230685575726,-70.7886234966709
0.5,-0.0783207854352651,-89.843425475054
0.6,-0.149290051843887,-109.901918266183
0.7,-0.281172232904705,-131.250454011393
0.8,-0.525088763051078,-154.167189199099
0.9,-0.960906137167406,-178.808183013833
1,-1.68447440157037,154.964732248915
1.1,-2.76599429838211,127.616084257095
1.2,-4.22356873885937,99.6018689270895
1.3,-6.08134480657869,70.9903819045188
1.4,-8.48437018700736,41.6870261999603
1.5,-11.8041420662757,12.3947080528982
1.6,-16.799385884159,-12.6042452792015
1.7,-23.672316028084,-10.6294605375207
1.8,-22.9696460508329,14.2946401627306
1.9,-20.8380953387852,-4.7682766225673
2,-21.5924382286848,-38.5804036098323
2.1,-25.9749930482566,-85.8749964939201
2.2,-32.020373652797,155.212282765362
2.3,-23.772229408462,75.3835696198216
2.4,-19.6342216589808,41.6530552818512
2.5,-17.2911569115766,17.706538721264
2.6,-15.6449661274255,-1.43954293740561
2.7,-14.2671659736181,-17.9407756171982
2.8,-13.0387923146117,-33.1354730683114
2.9,-11.9560164901893,-47.4235659481066
3,-10.9913230705491,-60.642824254808
3.1,-10.0434264332227,-72.706682875093
3.2,-9.0089264952765,-84.2987375978095
3.3,-7.92940348440806,-96.3818053231638
3.4,-6.92034349562151,-109.121255537694
3.5,-6.03296718183577,-122.214328811055
3.6,-5.27972827257856,-135.46599605894
3.7,-4.67285548443578,-148.69171850078
3.8,-4.20674968758961,-161.666596568549
3.9,-3.86466848696531,-174.259449741871
#4,-3.64348309115593,173.646775502159
4,-3.6301836607893,173.6547398472
4.1,-3.46934658805216,162.161184815606
4.2,-3.34693882700225,151.151293007253
4.3,-3.25485978990297,140.428054731791
4.4,-3.20532327246647,129.887152832455
4.5,-3.21293620826711,119.5555124222
4.6,-3.27840536671656,109.580521963764
4.7,-3.37060371462507,100.095798665277
4.8,-3.44253618823639,90.9768615822438
4.9,-3.48315638571972,81.8656404173228
5,-3.53014541140381,72.5547882657016
5.1,-3.61659662338998,63.1763894674868
5.2,-3.73081860562243,53.9543914514016
5.3,-3.83187390270511,44.902566993313
5.4,-3.89425495668097,35.7800967012534
5.5,-3.9317542483562,26.3316322147556
5.6,-3.97648031017728,16.4961134640814
5.7,-4.04999402332686,6.39878712365674
5.8,-4.14574788409642,-3.76526058590514
5.9,-4.23043063155945,-13.9387593427215
#6,-4.07297051541682,20.9442120667621
#6,-4.12061765920941,34.7961465666416
#6,-4.38917795747984,36.226890201426
#6,-4.54916453890162,32.2308069128988
#6,-4.91285032009354,16.2752144006584
#6,-4.91785527064914,-4.60636772207469
#6,-4.53011399054193,-17.2708159586494
#6,-4.43116060249882,-19.8904329606185
#6,-4.3674631671071,-23.2136120972528
#6,-4.3708227454996,-24.3289545000326
#6,-4.40789191453916,-23.5594341725002
#6,-4.34180746485509,-24.0793190227308
#6,-4.325583809171,-24.028130033215
6,-4.2831152852554,-24.3070259491676
6.1,-4.32313193986315,-35.0459111435539
6.2,-4.38280560400654,-46.1208252381785
6.3,-4.48251725238351,-57.3588325653062
6.4,-4.62829253156487,-68.5431268783583
6.5,-4.81391219033446,-79.4497977805625
6.6,-5.0173643942602,-89.8806807491402
6.7,-5.20229876763653,-99.7855788257822
6.8,-5.34730871195837,-109.329895876997
6.9,-5.46950819641524,-118.696875793977
7,-5.6044723787888,-127.865330254902
7.1,-5.7694310550598,-136.637803825594
7.2,-5.95468170548919,-144.847098791982
7.3,-6.14459745257415,-152.43575281964
7.4,-6.32233950481409,-159.373143479296
7.5,-6.45999938327167,-165.731207825984
7.6,-6.54744877584164,-171.756020419138
7.7,-6.60306450049972,-177.643572028481
7.8,-6.65334924206578,176.521066501282
7.9,-6.72199962478082,170.769609432768
8,-6.81852236685112,165.130694270131
8.1,-6.96643370647206,159.592253804018
8.2,-7.20173226697121,154.351474569563
8.3,-7.52570120547699,149.871457417835
8.4,-7.86617194879783,146.537058512718
8.5,-8.12096361478611,144.158097358822
8.6,-8.25437307524835,142.082008341017
8.7,-8.32538047340712,139.749877075486
8.8,-8.4397831664794,137.298375994089
8.9,-8.59756037022826,135.451637376735
9,-8.70126235513433,134.301326382116
9.1,-8.72987910825018,133.436899822165
9.2,-8.70931191652768,132.874351057786
9.3,-8.58277091996361,132.770187202756
9.4,-8.30321658553368,132.529772855422
9.5,-7.9209778794953,131.899679119055
9.6,-7.40927421479023,130.654929728834
9.7,-6.83879381461672,128.131238451745
9.8,-6.3218183582171,124.485774544223
9.9,-5.90140714976915,119.979854467486
10,-5.64069464197446,114.976550618249
10.1,-5.53825462189744,110.266432293918
10.2,-5.48317410789669,106.309078423897
10.3,-5.37506105784736,102.718102923535
10.4,-5.19135841625966,98.948496477477
10.5,-4.97564979426835,94.2851502370967
10.6,-4.88612697582919,88.6920731478215
10.7,-4.98457918654376,83.1040737389891
10.8,-5.21534195602455,78.2481896965832
10.9,-5.45051882125848,74.4944425500735
11,-5.55920169378781,71.3773584506756
11.1,-5.48536953625682,67.8857655334747
11.2,-5.33963304118028,62.9432602275945
11.3,-5.32325738690999,56.6380639330986
11.4,-5.50691105293072,50.1433408612595
11.5,-5.76763248973761,44.1667537870251
11.6,-6.00070484764109,38.3386830251988
11.7,-6.1855824767602,32.2799541129335
11.8,-6.3075971624627,25.5117509757496
11.9,-6.36804423761847,17.837733404511
12,-6.33837160239266,8.16180661025682
