"X","Y","Z","attribute"
-0.00101536,0.00171628,2.77556e-20,1
-0.00114057,0.00178875,2.77556e-20,1
-0.00101536,0.00185913,2.77556e-20,1
-0.00101536,0.00171628,2.77556e-20,1
-0.00101536,0.00185913,2.77556e-20,1
-0.00101536,0.00178771,5e-05,1
-0.00101536,0.00157342,2.77556e-20,1
-0.00113996,0.00164588,2.77556e-20,1
-0.00101536,0.00171628,2.77556e-20,1
-0.00101536,0.00157342,2.77556e-20,1
-0.00101536,0.00171628,2.77556e-20,1
-0.00101536,0.00164485,5e-05,1
-0.00126388,0.00157497,2.77556e-20,1
-0.00139016,0.00164578,2.77556e-20,1
-0.00126639,0.00171786,2.77556e-20,1
-0.00126639,0.00171786,2.77556e-20,1
-0.00113996,0.00164588,2.77556e-20,1
-0.00126388,0.00157497,2.77556e-20,1
-0.00101536,0.00143056,2.77556e-20,1
-0.00101536,0.00157342,2.77556e-20,1
-0.00101536,0.00150199,5e-05,1
-0.00113922,0.00150117,2.77556e-20,1
-0.00101536,0.00157342,2.77556e-20,1
-0.00101536,0.00143056,2.77556e-20,1
-0.00114057,0.00178875,2.77556e-20,1
-0.00126639,0.00171786,2.77556e-20,1
-0.00126435,0.00185373,2.77556e-20,1
-0.00126388,0.00157497,2.77556e-20,1
-0.00113922,0.00150117,2.77556e-20,1
-0.00126583,0.00143835,2.77556e-20,1
-0.00126639,0.00171786,2.77556e-20,1
-0.00139072,0.00178863,2.77556e-20,1
-0.00126435,0.00185373,2.77556e-20,1
-0.00114057,0.00178875,2.77556e-20,1
-0.00101536,0.00171628,2.77556e-20,1
-0.00113996,0.00164588,2.77556e-20,1
-0.00138928,0.00150352,2.77556e-20,1
-0.00126388,0.00157497,2.77556e-20,1
-0.00126583,0.00143835,2.77556e-20,1
-0.00113922,0.00150117,2.77556e-20,1
-0.00113996,0.00164588,2.77556e-20,1
-0.00101536,0.00157342,2.77556e-20,1
-0.00121536,0.00157342,0.0001,1
-0.00121536,0.00171628,0.0001,1
-0.00126536,0.00164485,0.0001,1
-0.00131536,0.00171628,0.0001,1
-0.00131536,0.00157342,0.0001,1
-0.00126536,0.00164485,0.0001,1
-0.00121536,0.00143056,0.0001,1
-0.00121536,0.00157342,0.0001,1
-0.00126536,0.00150199,0.0001,1
