"X","Y","Z","attribute"
-0.00151536,0.000272293,2.77556e-20,1
-0.00151536,0.000272293,0.0001,1
-0.00151536,0.000327849,5e-05,1
-0.00151536,0.000161182,2.77556e-20,1
-0.00151536,0.000161182,0.0001,1
-0.00151536,0.000216738,5e-05,1
-0.00151536,0.000272293,0.0001,1
-0.00151536,0.000272293,2.77556e-20,1
-0.00151536,0.000216738,5e-05,1
-0.00151536,0.000383405,0.0001,1
-0.00151536,0.000383405,2.77556e-20,1
-0.00151536,0.000327849,5e-05,1
-0.00101536,0.000383405,2.77556e-20,1
-0.00101536,0.000383405,0.0001,1
-0.00101536,0.000327849,5e-05,1
-0.00101536,0.000494516,2.77556e-20,1
-0.00101536,0.000494516,0.0001,1
-0.00101536,0.00043896,5e-05,1
-0.00101536,0.000383405,0.0001,1
-0.00101536,0.000383405,2.77556e-20,1
-0.00101536,0.00043896,5e-05,1
-0.00131536,0.000494516,0.0001,1
-0.00131536,0.000383405,0.0001,1
-0.00126536,0.00043896,0.0001,1
-0.00132257,0.00038471,2.77556e-20,1
-0.00141879,0.000328452,2.77556e-20,1
-0.00141919,0.000439499,2.77556e-20,1
-0.00132171,0.000273767,2.77556e-20,1
-0.00141858,0.000217037,2.77556e-20,1
-0.00141879,0.000328452,2.77556e-20,1
-0.00131536,0.000383405,0.0001,1
-0.00131536,0.000272293,0.0001,1
-0.00126536,0.000327849,0.0001,1
-0.00141879,0.000328452,2.77556e-20,1
-0.00132257,0.00038471,2.77556e-20,1
-0.00132171,0.000273767,2.77556e-20,1
-0.00132257,0.00038471,2.77556e-20,1
-0.00141919,0.000439499,2.77556e-20,1
-0.00132356,0.000495634,2.77556e-20,1
-0.00151536,0.000272293,2.77556e-20,1
-0.00141879,0.000328452,2.77556e-20,1
-0.00141858,0.000217037,2.77556e-20,1
-0.00121536,0.000383405,0.0001,1
-0.00131536,0.000383405,0.0001,1
-0.00126536,0.000327849,0.0001,1
-0.00151536,0.000383405,2.77556e-20,1
-0.00141919,0.000439499,2.77556e-20,1
-0.00141879,0.000328452,2.77556e-20,1
-0.00131536,0.000383405,0.0001,1
-0.00121536,0.000383405,0.0001,1
-0.00126536,0.00043896,0.0001,1
-0.00132257,0.00038471,2.77556e-20,1
-0.00132356,0.000495634,2.77556e-20,1
-0.00122738,0.00044115,2.77556e-20,1
-0.00131536,0.000272293,0.0001,1
-0.00121536,0.000272293,0.0001,1
-0.00126536,0.000327849,0.0001,1
-0.001226,0.000330424,2.77556e-20,1
-0.00132171,0.000273767,2.77556e-20,1
-0.00132257,0.00038471,2.77556e-20,1
-0.00101536,0.000272293,0.0001,1
-0.00101536,0.000272293,2.77556e-20,1
-0.00101536,0.000327849,5e-05,1
-0.001226,0.000330424,2.77556e-20,1
-0.00132257,0.00038471,2.77556e-20,1
-0.00122738,0.00044115,2.77556e-20,1
-0.00101536,0.000383405,2.77556e-20,1
-0.0011163,0.000325411,2.77556e-20,1
-0.0011083,0.000439246,2.77556e-20,1
-0.00121536,0.000383405,0.0001,1
-0.00121536,0.000494516,0.0001,1
-0.00126536,0.00043896,0.0001,1
-0.00121536,0.000272293,0.0001,1
-0.00121536,0.000383405,0.0001,1
-0.00126536,0.000327849,0.0001,1
-0.00151536,0.000383405,2.77556e-20,1
-0.00151536,0.000272293,2.77556e-20,1
-0.00151536,0.000327849,5e-05,1
-0.00141879,0.000328452,2.77556e-20,1
-0.00151536,0.000272293,2.77556e-20,1
-0.00151536,0.000383405,2.77556e-20,1
-0.00151536,0.000272293,2.77556e-20,1
-0.00151536,0.000161182,2.77556e-20,1
-0.00151536,0.000216738,5e-05,1
-0.00141858,0.000217037,2.77556e-20,1
-0.00151536,0.000161182,2.77556e-20,1
-0.00151536,0.000272293,2.77556e-20,1
-0.0011163,0.000325411,2.77556e-20,1
-0.00122464,0.000219531,2.77556e-20,1
-0.001226,0.000330424,2.77556e-20,1
-0.0011163,0.000325411,2.77556e-20,1
-0.001226,0.000330424,2.77556e-20,1
-0.00117049,0.000386486,2.77556e-20,1
-0.0011083,0.000439246,2.77556e-20,1
-0.0011163,0.000325411,2.77556e-20,1
-0.00117049,0.000386486,2.77556e-20,1
-0.00132171,0.000273767,2.77556e-20,1
-0.001226,0.000330424,2.77556e-20,1
-0.00122464,0.000219531,2.77556e-20,1
-0.00151536,0.000161182,0.0001,1
-0.00151536,0.000272293,0.0001,1
-0.00151536,0.000216738,5e-05,1
-0.00101536,0.000383405,2.77556e-20,1
-0.00101536,0.000494516,2.77556e-20,1
-0.00101536,0.00043896,5e-05,1
-0.00101536,0.000494516,2.77556e-20,1
-0.00101536,0.000383405,2.77556e-20,1
-0.0011083,0.000439246,2.77556e-20,1
-0.00101536,0.000383405,0.0001,1
-0.00101536,0.000272293,0.0001,1
-0.00101536,0.000327849,5e-05,1
-0.00101536,0.000494516,0.0001,1
-0.00101536,0.000383405,0.0001,1
-0.00101536,0.00043896,5e-05,1
-0.00151536,0.000272293,0.0001,1
-0.00151536,0.000383405,0.0001,1
-0.00151536,0.000327849,5e-05,1
-0.001226,0.000330424,2.77556e-20,1
-0.00122738,0.00044115,2.77556e-20,1
-0.00117049,0.000386486,2.77556e-20,1
-0.0011163,0.000325411,2.77556e-20,1
-0.00101536,0.000383405,2.77556e-20,1
-0.00101536,0.000272293,2.77556e-20,1
-0.00101536,0.000272293,2.77556e-20,1
-0.00101536,0.000383405,2.77556e-20,1
-0.00101536,0.000327849,5e-05,1
-0.00121536,0.000383405,0.00012,1
-0.00131536,0.000383405,0.00012,1
-0.00126536,0.00043896,0.00012,1
-0.00141879,0.000328452,0.00032,1
-0.00132257,0.00038471,0.00032,1
-0.00141919,0.000439499,0.00032,1
-0.00131536,0.000383405,0.00012,1
-0.00131536,0.000494516,0.00012,1
-0.00126536,0.00043896,0.00012,1
