#Touchstone format,MA
#frequency unit,GHz
#number of frequencies,162
#number of ports,2
#S-port 1,net1,not renormalized
#S-port 2,net2,not renormalized
#prior iterations pre-pended by #
#Frequency(GHz),mag(S(1;1)),deg(S(1;1)),mag(S(2;1)),deg(S(2;1)),mag(S(1;2)),deg(S(1;2)),mag(S(2;2)),deg(S(2;2))
6,0.0244079793229121,47.1547919728491,0.999702105975655,-43.0835561333512,0.999702105975655,-43.0835561333512,0.0244083536868947,46.6621783476529
7,0.0284996504706771,39.9046788290933,0.999593836143565,-50.2717203816659,0.999593836143565,-50.2717203816659,0.0285000307112112,39.534014496244
8,0.0326022703051609,32.6639296862597,0.999468449440988,-57.4633688748357,0.999468449440988,-57.4633688748357,0.0326026297105585,32.3898146635825
9,0.0367173502299313,25.4281752955199,0.999325749879592,-64.6589916864904,0.999325749879592,-64.6589916864904,0.0367176634712941,25.2330025379453
10,0.0408463762303182,18.1946189192925,0.999165515758679,-71.8590758839029,0.999165515758679,-71.8590758839029,0.0408466175992661,18.0654240770711
11,0.0449908003659306,10.9613250709657,0.998987500694084,-79.0641050008025,0.998987500694084,-79.0641050008025,0.0449909445065294,10.8880654161176
12,0.0491520305707941,3.72685635953237,0.99879143449309,-86.2745585955551,0.99879143449309,-86.2745585955551,0.0491520532987987,3.70141648295586
13,0.053331419304413,-3.50992184645685,0.998577024375652,-93.4909118009355,0.998577024375652,-93.4909118009355,0.0533312984150551,-3.49433290751498
14,0.0575302509651014,-10.7499529390216,0.998343956562365,-100.713634863516,0.998343956562365,-100.713634863516,0.0575299669229514,-10.6991807838568
15,0.0617497278921504,-17.9940557250884,0.998091898224453,-107.943192678434,0.998091898224453,-107.943192678434,0.0617492645627772,-17.9132454190124
16,0.0659909553036135,-25.2429657677839,0.997820499899664,-115.180044320651,0.997820499899664,-115.180044320651,0.06599030054797,-25.1367229645285
17,0.0702549251804425,-32.4973617552114,0.99752939838193,-122.424642575005,0.99752939838193,-122.424642575005,0.0702540713955833,-32.3698599754452
18,0.0745424993508814,-39.757882645424,0.997218220099503,-129.677433472697,0.997218220099503,-129.677433472697,0.0745414438995258,-39.6129350187758
19,0.0788543919846938,-47.0251389028773,0.996886585005581,-136.938855833491,0.996886585005581,-136.938855833491,0.0788531375306184,-46.8662461422346
20,0.0831911519057544,-54.2997198858681,0.996534111010684,-144.209340822959,0.996534111010684,-144.209340822959,0.0831897066249843,-54.1301021168473
21,0.0875531449269369,-61.5821986027348,0.996160418905868,-151.489311527481,0.996160418905868,-151.489311527481,0.0875515225975607,-61.4048162659223
22,0.091940536633139,-68.8731346335573,0.995765137779065,-158.779182553699,0.995765137779065,-158.779182553699,0.0919387566143257,-68.6907020886848
23,0.0963532760343168,-76.1730758150786,0.995347910897671,-166.079359657391,0.995347910897671,-166.079359657391,0.0963513631122694,-75.9880701339148
24,0.100791080463673,-83.4825589951123,0.994908401967701,-173.390239408524,0.994908401967701,-173.390239408524,0.100789064568257,-83.2972258074361
25,0.105253422126803,-90.8021101486339,0.994446301731354,179.287791103951,0.994446301731354,179.287791103951,0.105251337940504,-90.6184678637023
26,0.109739516794086,-98.1322440516003,0.993961334791218,171.954354518797,0.993961334791218,171.954354518797,0.109737403227194,-97.9520874013341
27,0.11424831500277,-105.473463641257,0.993453266562377,164.609083399943,0.993453266562377,164.609083399943,0.11424621456936,-105.298367269106
28,0.118778496196423,-112.826259199911,0.992921910229647,157.251620376549,0.992921910229647,157.251620376549,0.118776454267654,-112.657581755274
29,0.123328466177124,-120.191107408473,0.992367133551708,149.881618224733,0.992367133551708,149.881618224733,0.123326530156216,-120.02999653887
