"X","Y","Z","attribute"
0.000250278,0.000635,0.000475272,6
0.000375139,0.000635,0.000462691,6
0.000312709,0.000635,0.000444002,6
-0.000374861,0.000635,0.000489135,6
-0.00043743,0.000635,0.000483078,6
-0.000406146,0.000635,0.000498606,6
0.000441015,0.000635,0.000749976,6
0.000441015,0.000635,0.00079996,6
0.000470508,0.000635,0.000749959,6
-0.000256669,0.000635,0.000763124,6
-0.000315765,0.000635,0.00066363,6
-0.000348787,0.000635,0.000732321,6
0.000375139,0.000635,0.000337737,6
0.00043757,0.000635,0.000331447,6
0.000406354,0.000635,0.000322093,6
-0.000315221,0.000635,0.000213291,6
-0.000255581,0.000635,0.000162955,6
-0.000318151,0.000635,0.000131814,6
0.000132704,0.000635,0.000225237,6
0.000250278,0.000635,0.00032532,6
0.000257565,0.000635,0.00016266,6
0.00134213,0.00015875,0,4
0.00125345,0,0,4
0.0012343,0.00015875,0,4
0.00112758,0.00047625,0,4
0.00121626,0.000635,0,4
0.00121571,0.00047625,0,4
0.0010389,0.0003175,0,4
0.000890965,0.0003175,0,4
0.000965489,0.00047625,0,4
0.00146863,0,0.0005,6
0.00125297,0,0.0005,6
0.00136104,0,0.00025,6
0.0015835,0.000635,0,4
0.00162179,0.0003175,0,4
0.00150715,0.00047625,0,4
4.41509e-07,0.000635,0.000725237,6
-0.00013153,0.000635,0.000725237,6
-6.56018e-05,0.000635,0.000862619,6
-0.000182495,0.0003175,0.001,2
-0.000190063,0.00047625,0.001,2
-0.000219272,0.000396875,0.001,2
0.00168612,0,0,4
0.00162179,0.0003175,0,4
0.00176247,0.00015875,0,4
0.00168612,0,0,6
0.00168565,0,0.0005,6
0.00157738,0,0.00025,6
0.00112939,0.00047625,0.001,2
0.0010385,0.0003175,0.001,2
0.00112717,0.0003175,0.001,2
6.63176e-05,0.000635,0.000862619,6
0.000132194,0.000635,0.001,6
0.000132251,0.000635,0.000862619,6
0.000178334,0.00047625,0.001,2
0.000132194,0.000635,0.001,2
0.000112401,0.00047625,0.001,2
0.0014329,0.0003175,0.001,2
0.00121585,0.0003175,0.001,2
0.001342,0.00015875,0.001,2
0.00114445,0,0.0005,6
0.00114351,0,0.00075,6
0.00108972,0,0.000625,6
0.00162512,0.0003175,0.001,2
0.00139764,0.000635,0.001,2
0.0014329,0.0003175,0.001,2
-0.000228943,0,0.0005,6
-1.98258e-05,0,0.0005,6
-0.000126585,0,0.00075,6
0.000189083,0,0.0005,6
-1.98258e-05,0,0.0005,6
8.67258e-05,0,0.00025,6
0.00204075,0.0003175,0,4
0.00177448,0.000635,0,4
0.00197642,0.000635,0,4
0.000191293,0.000635,0.000625235,6
0.000316154,0.000635,0.000662613,6
0.000283216,0.000635,0.000593923,6
-0.000374861,0.000635,0.000363965,6
-0.000249722,0.000635,0.000426247,6
-0.000249722,0.000635,0.000376079,6
0.000608933,0,0.0005,6
0.000823078,0,0.0005,6
0.000714419,0,0.00075,6
0.000966311,0.00047625,0.001,2
0.000894127,0.000635,0.001,2
0.000891904,0.00047625,0.001,2
0.000751535,0.00015875,0,4
0.000678121,0.0003175,0,4
0.000784543,0.0003175,0,4
0.000189083,0,0.0005,6
0.000399519,0,0.0005,6
0.000292204,0,0.00075,6
-0.000228943,0,0.0005,6
-0.000438833,0,0.0005,6
-0.000331687,0,0.00025,6
0.000608933,0,0.0005,6
0.000399519,0,0.0005,6
0.000505812,0,0.00025,6
-6.39729e-05,0.000635,0.000112619,6
-0.000129472,0.000635,0,6
-0.000129957,0.000635,0.000112619,6
-0.000186231,0.00047625,0,4
-0.000129472,0.000635,0,4
-0.000120247,0.00047625,0,4
1.5263e-06,0.000635,0.000225237,6
0.000132704,0.000635,0.000225237,6
6.76001e-05,0.000635,0.000112619,6
0.000163476,0.0003175,0,4
0.000181369,0.00047625,0,4
0.000205217,0.000396875,0,4
0.000441015,0.000635,0.000899963,6
0.000441015,0.000635,0.000949981,6
0.000470508,0.000635,0.000924972,6
0.000303253,0.00047625,0.001,2
0.000224475,0.0003175,0.001,2
0.00028346,0.0003175,0.001,2
0.000783813,7.9375e-05,0.001,2
0.000854794,0.00015875,0.001,2
0.000801257,0.00015875,0.001,2
-0.000116509,0.0003175,0.001,2
0.00018489,0,0.001,2
9.26081e-05,0.0003175,0.001,2
0.000411819,0.000635,5.00415e-05,6
0.000411819,0.000635,2.50208e-05,6
0.000397123,0.000635,3.75311e-05,6
0.000344085,0.000555625,0,4
0.000364532,0.00047625,0,4
0.000335139,0.00047625,0,4
-0.000311855,0.00047625,0,4
-0.000242991,0.0003175,0,4
-0.000302631,0.0003175,0,4
-0.00044036,0.000635,0.000100673,6
-0.00044036,0.000635,5.03364e-05,6
-0.00047018,0.000635,7.55046e-05,6
-1.56319e-05,0,0,4
-0.000111023,0.0003175,0,4
4.11274e-05,0.00015875,0,4
0.00055288,0.0003175,0.001,2
0.000675537,0.0003175,0.001,2
0.000587768,0.00047625,0.001,2
0.000474103,0.00015875,0.001,2
0.00055288,0.0003175,0.001,2
0.000447663,0.0003175,0.001,2
-0.000659902,0.00047625,0,4
-0.000623821,0.000635,0,4
-0.000597991,0.00047625,0,4
0.000622069,0.000635,0,4
0.000678121,0.0003175,0,4
0.000589061,0.00047625,0,4
0.000402692,0,0,4
