#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,81
#number of ports,2
#S-port 1,net1,50
#S-port 2,net2,50
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1)),dB(S(2;1)),deg(S(2;1)),dB(S(1;2)),deg(S(1;2)),dB(S(2;2)),deg(S(2;2))
0.5,-0.0143999946122072,-33.0865926834968,-44.4884594400407,56.899098059227,-44.4884594400407,56.899098059227,-0.0147001590616607,-32.8819253029616
0.55,-0.0163694210446604,-36.605961011531,-43.9825709017074,53.3824045132691,-43.9825709017074,53.3824045132691,-0.0164897738860896,-36.3799487431527
0.6,-0.0184547218389365,-40.1920323320138,-43.6109979102287,49.8019041659279,-43.6109979102287,49.8019041659279,-0.0185562144799995,-39.9417404321908
0.65,-0.0207312053573355,-43.8539416645974,-43.3758382769902,46.14899841703,-43.3758382769902,46.14899841703,-0.0208083902165754,-43.5781943044354
0.7,-0.0232262491952525,-47.6020487972973,-43.2865158492698,42.4149491998103,-43.2865158492698,42.4149491998103,-0.0232729626044966,-47.2994668168497
0.75,-0.0259722386456091,-51.4480242709678,-43.361397561273,38.5905501352653,-43.361397561273,38.5905501352653,-0.0259814245539484,-51.1169866508404
0.8,-0.0290079720739903,-55.4051243138143,-43.6312808437823,34.6664819090788,-43.6312808437823,34.6664819090788,-0.0289714616500358,-55.0437195965155
0.85,-0.0323804842638536,-59.4885346227492,-44.1463113069569,30.6342706668402,-44.1463113069569,30.6342706668402,-0.0322887147868496,-59.094498826213
0.9,-0.0361474402201826,-63.7158053480681,-44.9902388014977,26.4888590257105,-44.9902388014977,26.4888590257106,-0.0359890906525974,-63.2864423584764
0.95,-0.0403803050868462,-68.1074093037783,-46.3130012518985,22.2361381209894,-46.3130012518985,22.2361381209894,-0.0401418156449768,-67.6394875211292
1,-0.0451685671682711,-72.6874684409223,-48.4192895891897,17.9195611586739,-48.4192895891897,17.9195611586739,-0.0448334957066611,-72.1770852479096
1.05,-0.0506253899268598,-77.4847159762471,-52.0927217943558,13.7553971568736,-52.0927217943558,13.7553971568736,-0.0501735342648965,-76.9271177918831
1.1,-0.0568952050957331,-82.5337945339919,-60.9297876208877,11.8977597094637,-60.9297876208877,11.8977597094637,-0.0563013831268507,-81.9231345091982
1.15,-0.0641639700365062,-87.8770469200023,-60.2550168164642,177.048147617452,-60.2550168164642,177.048147617452,-0.0633962870641704,-87.2060536319409
1.2,-0.0726732045239521,-93.5670528398403,-50.274809839673,174.556229016673,-50.274809839673,174.556229016673,-0.0716905305884372,-92.8265689424962
1.25,-0.0827398528880341,-99.6703363631219,-45.5481862721417,169.171499753084,-45.5481862721417,169.171499753084,-0.0814880416406879,-98.8486627812357
1.3,-0.0947867238003655,-106.272995515451,-42.6383655482871,163.00518556462,-42.6383655482871,163.00518556462,-0.0931927463809009,-105.354936199205
1.35,-0.109397048732168,-113.489658201026,-41.0142829117589,156.281379774443,-41.0142829117589,156.281379774443,-0.107359505360199,-112.45508774475
1.4,-0.127437028422998,-121.478557490526,-40.985361196633,149.238482203141,-40.985361196633,149.238482203141,-0.124809992496537,-120.300195940629
1.45,-0.150399988621717,-130.468689211781,-44.8267808194333,143.93794982159,-44.8267808194333,143.93794982159,-0.146963674851365,-129.108490028167
1.5,-0.181545527503764,-140.812767583624,-47.3096422624298,-66.156528364756,-47.3096422624298,-66.1565283647561,-0.176948509282071,-139.21571599175
1.55,-0.230134826900199,-153.099919711565,-31.1172958055784,-68.5058337664728,-31.1172958055784,-68.5058337664728,-0.223767496664392,-151.182569263417
1.6,-0.328873415234435,-168.416100605425,-21.9498639180777,-82.5961669907332,-21.9498639180777,-82.5961669907332,-0.319548951911691,-166.04314344088
1.65,-0.6134183095615,171.042724835607,-14.3042428570356,-102.856433668291,-14.3042428570356,-102.856433668291,-0.598395194628055,174.113707908153
1.7,-1.69697712477675,141.03378452432,-7.49428267918797,-133.058144512729,-7.49428267918797,-133.058144512729,-1.66797494362239,145.314112956823
1.75,-5.86166105175846,99.0833479720445,-2.60556126307984,-176.009948298291,-2.60556126307984,-176.009948298291,-5.778753783737,106.040598937361
1.8,-18.4941410655151,62.6964544011207,-0.87363285136135,140.941070745795,-0.873632851361353,140.941070745795,-17.6536430213362,81.6137282812531
1.85,-20.5988864871395,-167.997965320016,-0.661197332042571,108.960244690453,-0.66119733204257,108.960244690453,-19.8971519327907,179.638765832702
1.9,-15.8554774408779,172.31743566986,-0.65308385301198,84.6706635867678,-0.653083853011979,84.6706635867678,-15.7101565405433,169.570320944924
1.95,-15.700664744513,152.064188534539,-0.610609005703083,64.3017046261893,-0.610609005703084,64.3017046261893,-15.610000059247,152.750432884161
2,-17.0706215227332,132.678977493847,-0.547900979838257,46.1492907221081,-0.547900979838253,46.1492907221081,-16.9941974738937,136.41953133215
2.05,-19.2926039909642,113.317678633154,-0.492260763460702,29.4908807920214,-0.492260763460702,29.4908807920214,-19.2374408840391,121.087537650794
2.1,-22.0409931261891,92.8278931688008,-0.453911783435817,13.970276005131,-0.453911783435819,13.970276005131,-22.0722900304713,106.802363245957
2.15,-24.9349937910499,69.8606844702118,-0.431905794669337,-0.641191301688176,-0.431905794669346,-0.64119130168823,-25.2678309046338,93.5642594407944
2.2,-27.3366065825152,44.1817639242558,-0.421630451476731,-14.5241945942442,-0.421630451476731,-14.5241945942442,-28.4565969625843,81.3463873352017
2.25,-28.6116135320387,19.0517115732707,-0.418774973619989,-27.8327005779691,-0.418774973619988,-27.8327005779691,-31.027266826804,69.9649488004534
2.3,-28.8081667624388,-1.0693612744722,-0.420505035222772,-40.6984456467252,-0.420505035222777,-40.6984456467252,-32.3479255025295,58.9728299604177
2.35,-28.445400403022,-15.7113900434939,-0.425279616194344,-53.2332552668542,-0.425279616194343,-53.2332552668543,-32.3729810470675,48.0874751427995
2.4,-27.943911925586,-27.3570855389892,-0.432295574934157,-65.5328595519675,-0.432295574934162,-65.5328595519675,-31.7303328498744,37.6287027742145
2.45,-27.5874524512619,-38.635949691094,-0.441057249753828,-77.6820390700917,-0.441057249753828,-77.6820390700917,-31.1402047663944,28.2708743151234
2.5,-27.6096337931802,-51.6392144831759,-0.451251959970024,-89.7599747872106,-0.451251959970023,-89.7599747872106,-31.1230336615691,21.1025085674672
2.55,-28.2153553755997,-68.6892831758184,-0.462937097129093,-101.844670607898,-0.462937097129096,-101.844670607898,-32.0878346579522,18.8481759614075
2.6,-29.4489979333339,-94.2193592608213,-0.476947527089867,-114.015561842771,-0.476947527089867,-114.015561842771,-34.1480308957493,30.3692402959387
2.65,-30.2395867249784,-135.548326857038,-0.495365598709445,-126.353724478904,-0.495365598709443,-126.353724478904,-33.8991638032494,68.1469548954122
2.7,-27.8987853028432,176.253678722594,-0.521828974176502,-138.939500724662,-0.521828974176503,-138.939500724662,-28.6438738400873,91.9843870903719
2.75,-23.7943866156762,142.316642113933,-0.561372735621092,-151.848082681244,-0.561372735621092,-151.848082681244,-23.703338739672,93.7646685295453
2.8,-20.1222235856041,119.046173665014,-0.619440660518506,-165.145006567223,-0.619440660518504,-165.145006567223,-19.9177025393518,87.4886439972248
2.85,-17.2126329667808,100.319963294547,-0.699749875466893,-178.885894786402,-0.699749875466895,-178.885894786402,-17.0243335861666,77.8518164546708
2.9,-15.0051390509082,83.5045981833544,-0.801005448014186,166.872008553017,-0.801005448014183,166.872008553018,-14.8505956722916,66.4150190085363
2.95,-13.4610722885542,67.5065519124711,-0.913181661839207,152.035620651596,-0.913181661839206,152.035620651596,-13.3380343737695,53.8036392609128
#3,-6.90182852247967,39.4677628900489,-1.8408800252487,128.687436447865,-1.8408800252487,128.687436447865,-6.87828877238597,36.1668899511024
#3,-8.16483268022058,39.5822681913699,-1.5308784238456,129.835892214594,-1.5308784238456,129.835892214594,-8.10461368224267,38.3739262237677
#3,-10.6546917607991,41.838878665251,-1.16937100396354,130.114882643841,-1.16937100396354,130.114882643841,-10.5992481466858,37.3566689603656
#3,-12.2713040906079,50.1999006882786,-1.02349420368351,135.175489657463,-1.02349420368351,135.175489657463,-12.1892706676452,38.7123200956736
3,-12.6364647616361,51.8381443420441,-1.01536706379329,136.404910727452,-1.01536706379329,136.404910727452,-12.5417313962548,40.2896787012555
3.05,-12.7831767699534,36.410515370198,-1.07983580741605,119.545521493958,-1.07983580741605,119.545521493958,-12.7207481202408,26.0546726490316
3.1,-14.7498640952071,22.6131649511066,-1.09496746406792,100.583433422463,-1.09496746406792,100.583433422463,-14.7649671243956,12.1421308787299
3.15,-22.019322470169,33.4441796762833,-1.14318846185594,77.9839328483246,-1.14318846185594,77.9839328483246,-23.1161001537879,18.5637923248239
3.2,-14.3210930596029,114.697804657843,-1.59201884937246,49.9914086391053,-1.59201884937247,49.9914086391053,-14.6170814025912,115.005566711021
3.25,-6.28668701334938,95.1505215842687,-3.18382195409631,17.652763172482,-3.18382195409631,17.652763172482,-6.31802828077716,93.1822392783655
3.3,-2.85469739713959,68.3051297611298,-6.23693934846215,-12.7531699901961,-6.23693934846215,-12.7531699901961,-2.84982643581982,65.951763159523
3.35,-1.47899828333181,46.1052618674868,-10.0853871674576,-36.6546318180008,-10.0853871674576,-36.6546318180008,-1.46458387189078,43.7594292452869
3.4,-0.918147257154661,29.15897591643,-14.0486981854055,-54.7008758199119,-14.0486981854055,-54.7008758199119,-0.900912720109216,26.9332608673016
3.45,-0.664013549399436,15.8885707916542,-17.8367202569781,-68.8941806678683,-17.8367202569781,-68.8941806678683,-0.646271805652149,13.8152202268769
3.5,-0.532875135575825,5.01846984078108,-21.3379229779608,-80.7581479262036,-21.3379229779608,-80.7581479262037,-0.515571293533986,3.10084144789476
3.55,-0.457577772665895,-4.24949264925919,-24.4483213198672,-91.4028099782188,-24.4483213198672,-91.4028099782188,-0.441237503950679,-6.02103630557415
3.6,-0.416154747040261,-12.429459649812,-26.9156808248051,-102.395357804447,-26.9156808248051,-102.395357804447,-0.401786988814585,-14.0772709295151
3.65,-0.472812839908009,-19.8537173131858,-27.9349741599789,-127.501852347333,-27.9349741599789,-127.501852347333,-0.47554712268533,-21.4362230544868
3.7,-0.344014153101346,-25.5249704765186,-36.6650009134408,-121.086469501616,-36.6650009134408,-121.086469501616,-0.336213052284826,-26.7687793841202
3.75,-0.306054048537005,-31.8784202775549,-36.2424200641329,-121.096360927204,-36.2424200641329,-121.096360927204,-0.29392517206045,-33.0508394245453
