#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,81
#number of ports,2
#S-port 1,net1,50
#S-port 2,net2,50
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1)),dB(S(2;1)),deg(S(2;1)),dB(S(1;2)),deg(S(1;2)),dB(S(2;2)),deg(S(2;2))
0.5,-0.0143117506951598,-31.0278887462031,-47.1527756906912,58.9070237379191,-47.1527756906912,58.9070237379192,-0.0142317536847959,-30.8176340532272
0.55,-0.0161039461202241,-34.2949366555629,-46.6215754188413,55.640561274007,-46.6215754188413,55.640561274007,-0.015902482704529,-34.0611836069367
0.6,-0.0179929557628813,-37.6140840586378,-46.2173696802096,52.3223687356979,-46.2173696802096,52.3223687356979,-0.0177641484772173,-37.3578590142713
0.65,-0.0200352346774296,-40.9920024017998,-45.9397585857087,48.9467818563185,-45.9397585857087,48.9467818563185,-0.0197760077061471,-40.7129106361203
0.7,-0.0222529260935927,-44.4365097009948,-45.794607151577,45.5070750751456,-45.794607151577,45.5070750751456,-0.0219598059648105,-44.1340849439769
0.75,-0.024671736157481,-47.9563518899283,-45.7949539804395,41.9960595888811,-45.7949539804395,41.9960595888811,-0.0243407936105887,-47.6300424302965
0.8,-0.02732188970936,-51.5613875078632,-45.9632444856165,38.4062583272927,-45.9632444856165,38.4062583272927,-0.0269486731466203,-51.2105394963933
0.85,-0.0302393471696604,-55.2628158026548,-46.3357296745764,34.7303548789968,-46.3357296745764,34.7303548789968,-0.0298187951346688,-54.8866520650975
0.9,-0.0334673576585429,-59.0734608392658,-46.9711151318793,30.9623437512011,-46.9711151318793,30.9623437512011,-0.0329936959047147,-58.6710543864802
0.95,-0.037058488611601,-63.0081300886674,-47.96880204279,27.1006280798939,-47.96880204279,27.1006280798938,-0.0365251019553626,-62.5783702467637
1,-0.0410773000785748,-67.0840729631815,-49.5125409936682,23.1574649580089,-49.5125409936682,23.1574649580089,-0.0404765733607141,-66.6256220386518
1.05,-0.0456039076812929,-71.3215748172317,-51.9985793288263,19.1953386746214,-51.9985793288263,19.1953386746214,-0.0449270246944196,-70.832811666671
1.1,-0.0507387744676366,-75.7447394166356,-56.5790287990016,15.5502301300436,-56.5790287990016,15.5502301300435,-0.0499754613567763,-75.2236850758308
1.15,-0.0566092251701755,-80.3825370309634,-72.0274877891325,20.3483520968884,-72.0274877891325,20.3483520968884,-0.0557474167495924,-79.8267554282792
1.2,-0.0633784221232619,-85.270237653203,-58.4562487814008,-178.220286734379,-58.4562487814008,-178.220286734379,-0.0624038147936482,-84.6767007365504
1.25,-0.0712579691254735,-90.4514175947848,-51.0346567207217,177.988057769538,-51.0346567207217,177.988057769538,-0.070153406955194,-89.8163185919774
1.3,-0.0805261958349544,-95.9808477894046,-46.8962441429979,172.906747739981,-46.8962441429979,172.906747739981,-0.0792707946947374,-95.2993370538238
1.35,-0.0915562544565666,-101.928791666838,-44.184125936433,167.260483680911,-44.184125936433,167.260483680911,-0.0901240874823865,-101.194593743516
1.4,-0.104863727288969,-108.387662394012,-42.5351451539158,161.159632208984,-42.5351451539158,161.159632208984,-0.103221745395129,-107.592504323052
1.45,-0.121200114016885,-115.482847525047,-42.1511285499624,154.741267543599,-42.1511285499624,154.741267543599,-0.119304610548484,-114.615575387408
1.5,-0.141772536084999,-123.391376880899,-44.3283399751462,148.95691978172,-44.3283399751462,148.95691978172,-0.139562648156106,-122.436533093273
1.55,-0.16885913930135,-132.376463326301,-62.5506758740478,-140.288800071687,-62.5506758740478,-140.288800071687,-0.166243724669966,-131.311872972316
1.6,-0.207809095611264,-142.856855598174,-36.7748675498264,-60.035231442272,-36.7748675498264,-60.035231442272,-0.204637253665554,-141.649259270134
1.65,-0.274431018710861,-155.558946365452,-26.6592379353295,-70.745403984812,-26.6592379353295,-70.745403984812,-0.270416938348011,-154.155398342448
1.7,-0.42587248195934,-171.875567651462,-18.7711073493771,-86.7360349307897,-18.7711073493771,-86.7360349307897,-0.420371178241339,-170.184429776681
1.75,-0.904626600097962,165.330702386866,-11.6400582423578,-109.831050785576,-11.6400582423578,-109.831050785576,-0.895803688191324,167.48933341369
1.8,-2.78226100569455,131.33613424651,-5.39448231849472,-144.870740793826,-5.39448231849472,-144.870740793826,-2.76275704100267,134.398553879385
1.85,-9.35545923338467,89.2620017124197,-1.71757082501971,169.654550156232,-1.71757082501971,169.654550156232,-9.26741293828912,94.851281230632
1.9,-30.5971190853865,116.974035724712,-0.816746813325502,130.307539343106,-0.816746813325502,130.307539343106,-26.1293087297353,125.922460795712
1.95,-17.8008500233064,-173.94579708141,-0.736091185460159,101.490970256139,-0.736091185460158,101.490970256139,-17.553224184891,-178.492909417733
2,-16.2838756085109,166.698734454455,-0.694390670247546,78.5234779397341,-0.694390670247544,78.5234779397341,-16.1711812076134,164.972486333492
2.05,-17.7081839622063,147.359034241428,-0.622326722195767,58.5511019022919,-0.622326722195765,58.5511019022919,-17.6127465859819,146.951031382837
2.1,-20.9343163955719,128.265408616049,-0.554805598669319,40.4169475752567,-0.554805598669316,40.4169475752567,-20.8292624870744,129.213655971029
2.15,-26.2843889823475,107.077928101711,-0.510974616723912,23.6393815735766,-0.510974616723912,23.6393815735766,-26.167581801598,110.757678688288
2.2,-35.9123860949391,66.3221698185219,-0.490463996364353,7.95262241595416,-0.490463996364354,7.95262241595418,-36.4992566422149,81.5822944079928
2.25,-36.125234976824,-49.9530082070897,-0.485154988345223,-6.85111916845624,-0.485154988345221,-6.85111916845624,-38.4356216110947,-64.4558661430414
2.3,-30.9888669512335,-80.6609855113831,-0.487221290713962,-20.9587108036408,-0.487221290713966,-20.9587108036408,-31.8891691683891,-91.2120951011447
2.35,-29.5880941662759,-94.3582490002507,-0.492019772149815,-34.5360747287685,-0.492019772149815,-34.5360747287685,-30.3870662728566,-104.302617562333
2.4,-30.002267402468,-101.789296318205,-0.497957825960927,-47.7236503854695,-0.497957825960927,-47.7236503854695,-31.0415087901747,-112.812798216793
2.45,-31.5498560368268,-102.212261086353,-0.505257606324395,-60.6363372245136,-0.505257606324397,-60.6363372245136,-33.3322775381873,-115.055749461411
2.5,-33.3514861351655,-92.4883123226467,-0.514697549702623,-73.3681999692342,-0.514697549702624,-73.3681999692342,-36.807324729612,-102.985874344143
