"X","Y","Z","attribute"
-0.00405,0,0.00225,6
-0.0036,0,0.0015,6
-0.0036,0,0.00225,6
-0.0039,0.000635,0.003,2
-0.0054,0,0.003,2
-0.0045,0,0.003,2
-0.0045,0,0.003,6
-0.0045,0,0.0015,6
-0.00405,0,0.00225,6
-0.0045,0,0,6
-0.0045,0,0.0015,6
-0.00495,0,0.00075,6
-0.0045,0,0,4
-0.0039,0.000635,0,4
-0.00375,0.0003175,0,4
-0.0036,0,0.0015,6
-0.0036,0,0,6
-0.00315,0,0.00075,6
-0.0027,0,0.00225,6
-0.00225,0,0.00225,6
-0.002475,0,0.002625,6
-0.0029,0.0003175,0.003,2
-0.0027,0,0.003,2
-0.00245,0.0003175,0.003,2
-0.0054,0,0.003,2
-0.0039,0.000635,0.003,2
-0.00475,0.000635,0.003,2
-0.0054,0,0,4
-0.0056,0.000635,0,4
-0.00475,0.000635,0,4
-0.00305,0.000635,0,4
-0.0036,0,0,4
-0.00375,0.0003175,0,4
-0.0072,0,0,6
-0.0054,0,0,6
-0.006225,0,0.001465,6
-0.0054,0,0,4
-0.0072,0,0,4
-0.0056,0.000635,0,4
-0.006225,0,0.001465,6
-0.0045,0,0.0015,6
-0.00495,0,0.00225,6
-0.006225,0,0.001465,6
-0.0054,0,0,6
-0.00495,0,0.00075,6
-0.0056,0.000635,0,4
-0.0072,0,0,4
-0.0073,0.000635,0,4
-0.00305,0.000635,0.003,2
-0.0036,0,0.003,2
-0.0029,0.0003175,0.003,2
-0.00301539,0.00349839,0.003,3
-0.00435428,0.00467125,0.003,3
-0.00430913,0.00325763,0.003,3
-0.00301539,0.00349839,0.003,3
-0.00430913,0.00325763,0.003,3
-0.00382828,0.00265665,0.003,3
-0.00653402,0.00214593,0.003,3
-0.0056,0.000635,0.003,3
-0.00483661,0.00202472,0.003,3
-0.00606701,0.00139046,0,5
-0.00483661,0.00202472,0,5
-0.00521831,0.00132986,0,5
-0.00239385,0.00285871,0,5
-0.00334744,0.00205567,0,5
-0.00318141,0.00277703,0,5
-0.00239385,0.00285871,0.003,3
-0.00334744,0.00205567,0.003,3
-0.00255988,0.00213736,0.003,3
-0.00436831,0.00132986,0.003,3
-0.00334744,0.00205567,0.003,3
-0.00409203,0.0020402,0.003,3
-0.00436831,0.00132986,0,5
-0.00334744,0.00205567,0,5
-0.00362372,0.00134534,0,5
-0.00277372,0.00134534,0,5
-0.00177231,0.00221904,0,5
-0.00198616,0.00142702,0,5
-0.00382828,0.00265665,0.003,3
-0.00483661,0.00202472,0.003,3
-0.00409203,0.0020402,0.003,3
-0.00435428,0.00467125,0.003,3
-0.00554542,0.00347771,0.003,3
-0.00430913,0.00325763,0.003,3
-0.00653402,0.00214593,0.003,3
-0.00483661,0.00202472,0.003,3
-0.00554542,0.00347771,0.003,3
-0.00483661,0.00202472,0.003,3
-0.0056,0.000635,0.003,3
-0.00475,0.000635,0.003,3
-0.00475,0.000635,0,5
-0.00483661,0.00202472,0,5
-0.00436831,0.00132986,0,5
-0.00362372,0.00134534,0,5
-0.00277372,0.00134534,0,5
-0.00333686,0.000990169,0,5
-0.0073,0.000635,0,5
-0.00653402,0.00214593,0,5
-0.00606701,0.00139046,0,5
-0.00305,0.000635,0.003,3
-0.00277372,0.00134534,0.003,3
-0.00333686,0.000990169,0.003,3
-0.00554542,0.00347771,0.003,3
-0.00483661,0.00202472,0.003,3
-0.00430913,0.00325763,0.003,3
-0.00315,0,0.00225,6
-0.0036,0,0.0015,6
-0.00315,0,0.0015,6
-0.0036,0,0.0015,6
-0.0045,0,0.0015,6
-0.00405,0,0.00075,6
-0.00315,0,0.003,6
-0.00315,0,0.00225,6
-0.002925,0,0.002625,6
-0.002,0.0003175,0.003,2
-0.0027,0,0.003,2
-0.00225,0,0.003,2
-0.00277372,0.00134534,0.003,3
-0.00334744,0.00205567,0.003,3
-0.00362372,0.00134534,0.003,3
-0.0036,0,0.00225,6
-0.00315,0,0.00225,6
-0.003375,0,0.002625,6
-0.0027,0,0.00225,6
-0.00315,0,0.00225,6
-0.002925,0,0.001875,6
-0.002,0.0003175,0.003,2
-0.0022,0.000635,0.003,2
-0.00245,0.0003175,0.003,2
-0.00225,0,0.003,6
-0.00225,0,0.00225,6
-0.002025,0,0.002625,6
-0.00277372,0.00134534,0,5
-0.00334744,0.00205567,0,5
-0.00255988,0.00213736,0,5
-0.00305,0.000635,0,5
-0.00277372,0.00134534,0,5
-0.00248686,0.000990169,0,5
-0.00198616,0.00142702,0,5
-0.0022,0.000635,0,5
-0.00248686,0.000990169,0,5
-0.00315,0,0.0015,6
-0.00315,0,0.00075,6
-0.002925,0,0.001125,6
-0.00239385,0.00285871,0,5
-0.00177231,0.00221904,0,5
-0.00255988,0.00213736,0,5
-0.00177231,0.00221904,0,5
-0.00277372,0.00134534,0,5
-0.00255988,0.00213736,0,5
-0.00334744,0.00205567,0,5
-0.00239385,0.00285871,0,5
-0.00255988,0.00213736,0,5
-0.00239385,0.00285871,0.003,3
-0.00301539,0.00349839,0.003,3
-0.00318141,0.00277703,0.003,3
-0.00177231,0.00221904,0.003,3
-0.00239385,0.00285871,0.003,3
-0.00255988,0.00213736,0.003,3
-0.0045,0,0.0015,6
-0.0036,0,0.0015,6
-0.00405,0,0.00225,6
-0.0045,0,0.003,2
-0.0036,0,0.003,2
-0.00375,0.0003175,0.003,2
-0.0045,0,0.003,6
-0.0054,0,0.003,6
-0.00495,0,0.00225,6
-0.0045,0,0,6
-0.0036,0,0,6
-0.00405,0,0.00075,6
-0.0054,0,0,4
-0.0039,0.000635,0,4
-0.0045,0,0,4
-0.0029,0.0003175,0,4
-0.00305,0.000635,0,4
-0.002625,0.000635,0,4
-0.0054,0,0.003,6
-0.006225,0,0.001465,6
-0.00495,0,0.00225,6
-0.0045,0,0.0015,6
-0.006225,0,0.001465,6
-0.00495,0,0.00075,6
-0.00305,0.000635,0.003,2
-0.0039,0.000635,0.003,2
-0.00375,0.0003175,0.003,2
-0.00248686,0.000990169,0.003,3
-0.00305,0.000635,0.003,3
-0.002625,0.000635,0.003,3
-0.0036,0,0,6
-0.0036,0,0.0015,6
-0.00405,0,0.00075,6
-0.00305,0.000635,0,5
-0.0039,0.000635,0,5
-0.00333686,0.000990169,0,5
-0.0039,0.000635,0.003,2
-0.0045,0,0.003,2
-0.00375,0.0003175,0.003,2
-0.0045,0,0.0015,6
-0.0045,0,0.003,6
-0.00495,0,0.00225,6
-0.0045,0,0.0015,6
-0.0045,0,0,6
-0.00405,0,0.00075,6
-0.0036,0,0.003,2
-0.00305,0.000635,0.003,2
-0.00375,0.0003175,0.003,2
-0.0036,0,0.003,6
-0.0045,0,0.003,6
-0.00405,0,0.00225,6
-0.0054,0,0,6
-0.0045,0,0,6
-0.00495,0,0.00075,6
-0.0036,0,0,4
-0.0045,0,0,4
-0.00375,0.0003175,0,4
-0.0039,0.000635,0,4
-0.00305,0.000635,0,4
-0.00375,0.0003175,0,4
-0.0027,0,0.0015,6
-0.00225,0,0.00225,6
-0.0027,0,0.00225,6
-0.00382828,0.00265665,0.003,3
-0.00334744,0.00205567,0.003,3
-0.00318141,0.00277703,0.003,3
-0.00301539,0.00349839,0,5
-0.00239385,0.00285871,0,5
-0.00318141,0.00277703,0,5
-0.00430913,0.00325763,0.003,3
-0.00483661,0.00202472,0.003,3
-0.00382828,0.00265665,0.003,3
-0.00315,0,0.0015,6
-0.0027,0,0.0015,6
-0.002925,0,0.001875,6
-0.0027,0,0.00225,6
-0.0027,0,0.003,6
-0.002925,0,0.002625,6
-0.0036,0,0.0015,6
-0.00315,0,0.00075,6
-0.00315,0,0.0015,6
-0.00334744,0.00205567,0.003,3
-0.00239385,0.00285871,0.003,3
-0.00318141,0.00277703,0.003,3
-0.00301539,0.00349839,0.003,3
-0.00382828,0.00265665,0.003,3
-0.00318141,0.00277703,0.003,3
-0.00315,0,0.00225,6
-0.00315,0,0.0015,6
-0.002925,0,0.001875,6
-0.0027,0,0.0015,6
-0.0027,0,0.00225,6
-0.002925,0,0.001875,6
-0.0036,0,0.003,6
-0.00405,0,0.00225,6
-0.0036,0,0.00225,6
-0.0027,0,0.003,6
-0.0027,0,0.00225,6
-0.002475,0,0.002625,6
-0.0029,0.0003175,0.003,2
-0.0036,0,0.003,2
-0.00315,0,0.003,2
-0.0056,0.000635,0.003,2
-0.0054,0,0.003,2
-0.00475,0.000635,0.003,2
-0.0039,0.000635,0,4
-0.0054,0,0,4
-0.00475,0.000635,0,4
-0.0029,0.0003175,0.003,2
-0.0022,0.000635,0.003,2
-0.002625,0.000635,0.003,2
-0.00653402,0.00214593,0,5
-0.00483661,0.00202472,0,5
-0.00606701,0.00139046,0,5
-0.00436831,0.00132986,0.003,3
-0.0039,0.000635,0.003,3
-0.00362372,0.00134534,0.003,3
-0.00436831,0.00132986,0,5
-0.00483661,0.00202472,0,5
-0.00409203,0.0020402,0,5
-0.00334744,0.00205567,0.003,3
-0.00382828,0.00265665,0.003,3
-0.00409203,0.0020402,0.003,3
-0.00475,0.000635,0.003,3
-0.0039,0.000635,0.003,3
-0.00436831,0.00132986,0.003,3
-0.00475,0.000635,0,5
-0.0056,0.000635,0,5
-0.00521831,0.00132986,0,5
-0.00334744,0.00205567,0,5
-0.00277372,0.00134534,0,5
-0.00362372,0.00134534,0,5
-0.0056,0.000635,0,5
-0.0073,0.000635,0,5
-0.00606701,0.00139046,0,5
-0.0039,0.000635,0.003,3
-0.00305,0.000635,0.003,3
-0.00333686,0.000990169,0.003,3
-0.00315,0,0.003,6
-0.0036,0,0.003,6
-0.003375,0,0.002625,6
-0.0018,0,0.003,2
-0.002,0.0003175,0.003,2
-0.00225,0,0.003,2
-0.00362372,0.00134534,0.003,3
-0.0039,0.000635,0.003,3
-0.00333686,0.000990169,0.003,3
-0.0036,0,0.0015,6
-0.00315,0,0.00225,6
-0.0036,0,0.00225,6
-0.0027,0,0.003,2
-0.002,0.0003175,0.003,2
-0.00245,0.0003175,0.003,2
-0.00225,0,0.003,6
-0.0027,0,0.003,6
-0.002475,0,0.002625,6
-0.00248686,0.000990169,0,5
-0.0022,0.000635,0,5
-0.002625,0.000635,0,5
-0.00277372,0.00134534,0,5
-0.00198616,0.00142702,0,5
-0.00248686,0.000990169,0,5
-0.0027,0,0.0015,6
-0.00315,0,0.0015,6
-0.002925,0,0.001125,6
-0.0036,0,0,4
-0.00305,0.000635,0,4
-0.0029,0.0003175,0,4
-0.00277372,0.00134534,0.003,3
-0.00305,0.000635,0.003,3
-0.00248686,0.000990169,0.003,3
-0.00277372,0.00134534,0,5
-0.00305,0.000635,0,5
-0.00333686,0.000990169,0,5
-0.00315,0,0.00225,6
-0.0027,0,0.00225,6
-0.002925,0,0.002625,6
-0.0027,0,0.003,2
-0.0029,0.0003175,0.003,2
-0.00315,0,0.003,2
-0.00305,0.000635,0.003,2
-0.0029,0.0003175,0.003,2
-0.002625,0.000635,0.003,2
-0.00334744,0.00205567,0.003,3
-0.00436831,0.00132986,0.003,3
-0.00362372,0.00134534,0.003,3
-0.00334744,0.00205567,0,5
-0.00436831,0.00132986,0,5
-0.00409203,0.0020402,0,5
-0.00483661,0.00202472,0.003,3
-0.00475,0.000635,0.003,3
-0.00436831,0.00132986,0.003,3
-0.00483661,0.00202472,0,5
-0.00475,0.000635,0,5
-0.00521831,0.00132986,0,5
-0.00315,0,0.00225,6
-0.00315,0,0.003,6
-0.003375,0,0.002625,6
-0.00277372,0.00134534,0.003,3
-0.00362372,0.00134534,0.003,3
-0.00333686,0.000990169,0.003,3
-0.00225,0,0.00225,6
-0.00225,0,0.003,6
-0.002475,0,0.002625,6
-0.00305,0.000635,0,5
-0.00248686,0.000990169,0,5
-0.002625,0.000635,0,5
-0.0022,0.000635,0.003,2
-0.0029,0.0003175,0.003,2
-0.00245,0.0003175,0.003,2
-0.0056,0.000635,0,5
