"X","Y","Z","attribute"
0.02,0,0.08,1
0.00954473,0,0.075,1
0.02,0,0.07,1
0.02,0,0.08,1
0.02,0,0.07,1
0.02,0.00225,0.075,1
0,0.0045,0.08,1
0,0.0045,0.07,1
0,0.00225,0.075,1
0.00954473,0,0.075,1
0,0,0.08,1
0,0,0.07,1
0,0,0.07,1
0,0,0.08,1
0,0.00225,0.075,1
0.02,0.0045,0.07,1
0.02,0.0045,0.08,1
0.02,0.00225,0.075,1
0.02,0.00225,0.075,1
0.02,0,0.07,1
0.02,0.0045,0.07,1
0.02,0.00225,0.075,1
0.02,0.0045,0.08,1
0.02,0,0.08,1
0,0.0045,0.08,1
0,0.00225,0.075,1
0,0,0.08,1
0.02,0,0.07,1
0.00954473,0,0.075,1
0.0102676,0,0.0649998,1
0.00954473,0,0.075,1
0.02,0,0.08,1
0.0110232,0,0.085,1
0.0110232,0,0.085,1
0,0,0.08,1
0.00954473,0,0.075,1
0.02,0.009,0.06,1
0.02,0.009,0.07,1
0.02,0.00675,0.065,1
0.0097324,0.009,0.0649998,1
0.02,0.009,0.07,1
0.02,0.009,0.06,1
0,0.0045,0.07,1
0,0.0045,0.08,1
0,0.00675,0.075,1
0,0.009,0.08,1
0.0104553,0.009,0.075,1
0,0.009,0.07,1
0,0.009,0.08,1
0,0.009,0.07,1
0,0.00675,0.075,1
0.02,0.009,0.07,1
0.02,0.009,0.08,1
0.02,0.00675,0.075,1
0.0104553,0.009,0.075,1
0.02,0.009,0.08,1
0.02,0.009,0.07,1
0.02,0.0045,0.08,1
0.02,0.0045,0.07,1
0.02,0.00675,0.075,1
0.02,0.0045,0.07,1
0.02,0.00675,0.065,1
0.02,0.009,0.07,1
0,0.009,0.08,1
0,0.00675,0.075,1
0,0.0045,0.08,1
0,0.0045,0.07,1
0,0.00675,0.075,1
0,0.009,0.07,1
0.02,0.00675,0.075,1
0.02,0.0045,0.07,1
0.02,0.009,0.07,1
0,0.009,0.07,1
0.0104553,0.009,0.075,1
0.0097324,0.009,0.0649998,1
0.02,0.009,0.07,1
0.0097324,0.009,0.0649998,1
0.0104553,0.009,0.075,1
0.02,0.00675,0.075,1
0.02,0.009,0.08,1
0.02,0.0045,0.08,1
0.00897683,0.009,0.085,1
0.02,0.009,0.08,1
0.0104553,0.009,0.075,1
0.0104553,0.009,0.075,1
0,0.009,0.08,1
0.00897683,0.009,0.085,1
0.0102676,0,0.0649998,1
0,0,0.07,1
0,0,0.06,1
0,0,0.06,1
0,0,0.07,1
0,0.00225,0.065,1
0.02,0,0.06,1
0.02,0,0.05,1
0.02,0.00225,0.055,1
0.02,0,0.06,1
0.00948772,0,0.0549985,1
0.02,0,0.05,1
0,0.0045,0.06,1
0,0.0045,0.05,1
0,0.00225,0.055,1
0.00948772,0,0.0549985,1
0,0,0.06,1
0,0,0.05,1
0,0,0.05,1
0,0,0.06,1
0,0.00225,0.055,1
0.02,0.0045,0.05,1
0.02,0.0045,0.06,1
0.02,0.00225,0.055,1
0,0,0.06,1
0,0.00225,0.065,1
0,0.0045,0.06,1
0,0.00225,0.055,1
0,0,0.06,1
0,0.0045,0.06,1
0.02,0.00225,0.055,1
0.02,0.0045,0.06,1
0.02,0,0.06,1
0,0,0.05,1
0,0.00225,0.055,1
0,0.0045,0.05,1
0.02,0.00225,0.055,1
0.02,0,0.05,1
0.02,0.0045,0.05,1
0.0102676,0,0.0649998,1
0,0,0.06,1
0.00948772,0,0.0549985,1
0.00948772,0,0.0549985,1
0.02,0,0.06,1
0.0102676,0,0.0649998,1
0,0.009,0.06,1
0.0105123,0.009,0.0549985,1
0,0.009,0.05,1
0,0.009,0.06,1
0,0.009,0.05,1
0,0.00675,0.055,1
0,0.0045,0.05,1
0,0.0045,0.06,1
0,0.00675,0.055,1
0.02,0.0045,0.06,1
0.02,0.0045,0.05,1
0.02,0.00675,0.055,1
0.02,0.009,0.05,1
0.02,0.009,0.06,1
0.02,0.00675,0.055,1
0.0105123,0.009,0.0549985,1
0.02,0.009,0.06,1
0.02,0.009,0.05,1
0,0.009,0.06,1
0,0.00675,0.055,1
0,0.0045,0.06,1
0,0.00675,0.055,1
0,0.009,0.05,1
0,0.0045,0.05,1
0.02,0.00675,0.055,1
0.02,0.009,0.06,1
0.02,0.0045,0.06,1
0.02,0.00675,0.055,1
0.02,0.0045,0.05,1
0.02,0.009,0.05,1
0.02,0.0045,0.06,1
0.02,0.0045,0.07,1
0.02,0.00225,0.065,1
0.02,0,0.07,1
0.0102676,0,0.0649998,1
0.02,0,0.06,1
0.02,0,0.07,1
0.02,0,0.06,1
0.02,0.00225,0.065,1
0,0.0045,0.07,1
0,0.0045,0.06,1
0,0.00225,0.065,1
0.02,0,0.07,1
0.02,0.00225,0.065,1
0.02,0.0045,0.07,1
0,0.00225,0.065,1
0,0,0.07,1
