%Vec Object: 12 MPI processes
%  type: mpi
Vec_0x558036bba930_1 = [
-1.2725314178275817e-06 - 8.1710160172588009e-07i
-1.2294839956344831e-06 - 7.8946054144914497e-07i
-1.0531940279742427e-06 - 6.7626348169459324e-07i
-7.1742055850146387e-07 - 4.6066091512564059e-07i
-3.3509539955629886e-07 - 2.1516717298488740e-07i
-6.7552783250579719e-08 - 4.3376129360570314e-08i
1.6900885185686215e-08 + 1.0852180278093607e-08i
8.4722234266198961e-08 + 5.4400757695149898e-08i
1.8992098496661599e-07 + 1.2194963428289797e-07i
3.0727314546905566e-07 + 1.9730230296295561e-07i
4.0891920721259354e-07 + 2.6256997234715011e-07i
4.7248593990487731e-07 + 3.0338662989421884e-07i
-6.3700500670243812e-07 - 4.0902550930534862e-07i
-6.3302492716685026e-07 - 4.0646987152857161e-07i
-6.1615724676246025e-07 - 3.9563901228003563e-07i
-5.8110046603634071e-07 - 3.7312880052309165e-07i
-5.3528531162466547e-07 - 3.4371055942613059e-07i
-4.9823463805241495e-07 - 3.1992005469141188e-07i
-1.7139546594940497e-06 - 1.1005426490364168e-06i
-1.6559651981727196e-06 - 1.0633071976636399e-06i
-1.4185300552060204e-06 - 9.1084837982532167e-07i
-9.6628060960275164e-07 - 6.2045574888117771e-07i
-4.5133330258041876e-07 - 2.8980436890137099e-07i
-9.0985160763908061e-08 - 5.8422227971707331e-08i
-2.2553545882602933e-08 - 1.4481794482336992e-08i
-1.0886857322437647e-07 - 6.9905296099586251e-08i
-2.2956900681817933e-07 - 1.4740791508156787e-07i
-3.4570003920394951e-07 - 2.2197648859034263e-07i
-4.3105438203762589e-07 - 2.7678312775585608e-07i
-4.7748331175494829e-07 - 3.0659547840352175e-07i
8.5010992172463670e-07 + 5.4586171229476181e-07i
8.1346239088116622e-07 + 5.2233006841395069e-07i
7.4479313919485987e-07 + 4.7823704661807947e-07i
6.5377213369216527e-07 + 4.1979180248104939e-07i
5.6426077231750844e-07 + 3.6231591172720274e-07i
5.0350450491277293e-07 + 3.2330387421222920e-07i
1.2725314178276332e-06 + 8.1710160172594277e-07i
1.2294839956347806e-06 + 7.8946054144937928e-07i
1.0531940279742767e-06 + 6.7626348169463189e-07i
7.1742055850139050e-07 + 4.6066091512560983e-07i
3.3509539955626651e-07 + 2.1516717298486321e-07i
6.7552783250594502e-08 + 4.3376129360590292e-08i
6.3700500670238137e-07 + 4.0902550930531352e-07i
6.3302492716688838e-07 + 4.0646987152859527e-07i
6.1615724676254834e-07 + 3.9563901228009159e-07i
5.8110046603643050e-07 + 3.7312880052314935e-07i
5.3528531162474382e-07 + 3.4371055942619084e-07i
4.9823463805255852e-07 + 3.1992005469151749e-07i
4.7248593990493506e-07 + 3.0338662989427485e-07i
4.0891920721245203e-07 + 2.6256997234707594e-07i
3.0727314546897175e-07 + 1.9730230296290760e-07i
1.8992098496660787e-07 + 1.2194963428289577e-07i
8.4722234266153790e-08 + 5.4400757695126122e-08i
1.6900885185662201e-08 + 1.0852180278086865e-08i
8.7012249169128389e-21 + 4.4687532737904731e-21i
4.3283958162712544e-20 + 2.7448190693649897e-20i
4.0268012301271875e-20 + 2.5484965058273939e-20i
-1.1643203103566299e-20 - 8.1113619562049017e-21i
-4.7564875414107436e-20 - 3.9014520785568104e-20i
-4.8908784790687083e-20 - 5.8795100115089617e-20i
-5.0350450491258436e-07 - 3.2330387421208600e-07i
-5.6426077231768801e-07 - 3.6231591172730703e-07i
-6.5377213369189899e-07 - 4.1979180248086526e-07i
-7.4479313919484854e-07 - 4.7823704661804156e-07i
-8.1346239088158095e-07 - 5.2233006841417992e-07i
-8.5010992172468011e-07 - 5.4586171229474339e-07i
-2.5907317088583642e-13 - 1.6635276927489096e-13i
2.8445867450900765e-13 + 1.8265295748604722e-13i
1.3715147310739482e-13 + 8.8065950615650584e-14i
-2.4591765133066737e-13 - 1.5790549338557075e-13i
-1.8794534546773824e-13 - 1.2068105234509646e-13i
6.8235813808968766e-13 + 4.3814708761547231e-13i
-1.2674361795848692e-06 - 8.1382991250000019e-07i
-6.3371793221574289e-07 - 4.0691485506887015e-07i
-1.1829445002141185e-06 - 7.5957719576610781e-07i
-5.9147228341367502e-07 - 3.7978861926947189e-07i
-9.0122918544791117e-07 - 5.7868576023743665e-07i
-4.5061459415841139e-07 - 2.8934288103979302e-07i
-4.7445568529824686e-07 - 3.0465141761840814e-07i
-2.3722780646070053e-07 - 1.5232568557235690e-07i
-1.3430686296646493e-07 - 8.6239405420749742e-08i
-6.7153601496214111e-08 - 4.3119811876936560e-08i
