"X","Y","Z","attribute"
0.02,0.009,0.0402,8
0.02,0.009,0.05,8
0.02,0.00675,0.0451,8
0.009887,0.009,0.0450686,7
0.02,0.009,0.05,7
0.02,0.009,0.0402,7
0,0.0045,0.0402,9
0,0.0045,0.05,9
0,0.00675,0.0451,9
0,0.009,0.05,7
0.009887,0.009,0.0450686,7
0,0.009,0.0402,7
0,0.009,0.05,9
0,0.009,0.0402,9
0,0.00675,0.0451,9
0.02,0.0045,0.05,8
0.02,0.0045,0.0402,8
0.02,0.00675,0.0451,8
0,0.00675,0.0451,9
0,0.009,0.0402,9
0,0.0045,0.0402,9
0.02,0.00675,0.0451,8
0.02,0.0045,0.0402,8
0.02,0.009,0.0402,8
0,0.009,0.05,9
0,0.00675,0.0451,9
0,0.0045,0.05,9
0.02,0.00675,0.0451,8
0.02,0.009,0.05,8
0.02,0.0045,0.05,8
0.02,0.009,0.05,7
0.009887,0.009,0.0450686,7
0.0105157,0.009,0.0548958,7
0.0102381,0,0.0450995,6
0,0,0.05,6
0,0,0.0402,6
0,0,0.0402,9
0,0,0.05,9
0,0.00225,0.0451,9
0,0.0045,0.05,9
0,0.0045,0.0402,9
0,0.00225,0.0451,9
0.02,0.0045,0.0402,8
0.02,0.0045,0.05,8
0.02,0.00225,0.0451,8
0.02,0,0.05,6
0.0102381,0,0.0450995,6
0.02,0,0.0402,6
0.02,0,0.05,8
0.02,0,0.0402,8
0.02,0.00225,0.0451,8
0,0.00225,0.0451,9
0,0,0.05,9
0,0.0045,0.05,9
0,0.00225,0.0451,9
0,0.0045,0.0402,9
0,0,0.0402,9
0.02,0.00225,0.0549,8
0.02,0,0.05,8
0.02,0.0045,0.05,8
0.02,0.0045,0.0402,8
0.02,0.00225,0.0451,8
0.02,0,0.0402,8
0.02,0.00225,0.0451,8
0.02,0.0045,0.05,8
0.02,0,0.05,8
0.0102381,0,0.0450995,6
0,0,0.0402,6
0.0100675,0,0.0352999,6
0.0100675,0,0.0352999,6
0.02,0,0.0402,6
0.0102381,0,0.0450995,6
0,0.009,0.0304,7
0.0105109,0.009,0.0254843,7
0,0.009,0.0206,7
0,0.009,0.0304,9
0,0.009,0.0206,9
0,0.00675,0.0255,9
0,0.0045,0.0206,9
0,0.0045,0.0304,9
0,0.00675,0.0255,9
0.02,0.0045,0.0304,8
0.02,0.0045,0.0206,8
0.02,0.00675,0.0255,8
0.0105109,0.009,0.0254843,7
0.02,0.009,0.0304,7
0.02,0.009,0.0206,7
0.02,0.009,0.0206,8
0.02,0.009,0.0304,8
0.02,0.00675,0.0255,8
0.02,0.0045,0.0206,8
0.02,0.00675,0.0157,8
0.02,0.009,0.0206,8
0,0.00675,0.0255,9
0,0.0045,0.0304,9
0,0.009,0.0304,9
0,0.0045,0.0206,9
0,0.00675,0.0255,9
0,0.009,0.0206,9
0.02,0.0045,0.0304,8
0.02,0.00675,0.0255,8
0.02,0.009,0.0304,8
0.0100663,0.009,0.0352922,7
0.02,0.009,0.0304,7
0.0105109,0.009,0.0254843,7
0.0105109,0.009,0.0254843,7
0,0.009,0.0304,7
0.0100663,0.009,0.0352922,7
0.02,0.009,0.0206,8
0.02,0.00675,0.0255,8
0.02,0.0045,0.0206,8
0,0.009,0.0206,7
0.0105109,0.009,0.0254843,7
0.00848705,0.009,0.0157,7
0.02,0.009,0.0206,7
0.00848705,0.009,0.0157,7
0.0105109,0.009,0.0254843,7
0,0,0.0206,6
0.0101667,0,0.0255,6
0,0,0.0304,6
0,0,0.0206,9
0,0,0.0304,9
0,0.00225,0.0255,9
0,0.0045,0.0304,9
0,0.0045,0.0206,9
0,0.00225,0.0255,9
0.02,0.0045,0.0206,8
0.02,0.0045,0.0304,8
0.02,0.00225,0.0255,8
0.02,0,0.0304,8
0.02,0,0.0206,8
0.02,0.00225,0.0255,8
0.0101667,0,0.0255,6
