"X","Y","Z","attribute"
0.002,0.0004445,0.0001905,1
0.002,0.000296333,0.000254,1
0.002,0.000296333,0.0001905,1
0.002,0.000148167,6.35e-05,1
0.002,0.000296333,0,1
0.002,0.000296333,6.35e-05,1
0.00107073,0.00103048,0.000254,1
0.00123434,0.000802256,0.000254,1
0.00123131,0.000961562,0.000254,1
0.00160417,0,0.000127,2
0.00166667,0,0,2
0.00177083,0,0.000127,2
0.00143241,0.000119241,0.000254,1
0.0015625,0,0.000254,1
0.00158866,0.000119241,0.000254,1
0.0015625,0,0.000254,2
0.00133333,0,0,2
0.00160417,0,0.000127,2
0.00109112,0.000259244,0.000254,1
0.00145925,0.000509425,0.000254,1
0.00119575,0.000513957,0.000254,1
0.001,0,0,2
0.00125,0,0.000254,2
0.000958333,0,0.000127,2
0.00135463,0.000254713,0.000254,1
0.00161481,0.000238481,0.000254,1
0.00153703,0.000373953,0.000254,1
0.00174491,0.000230366,0.000254,1
0.00174491,0.000119241,0.000254,1
0.00180995,0.000170745,0.000254,1
0.00151713,0.000699213,0.000254,1
0.00169606,0.000682981,0.000254,1
0.00163553,0.000785991,0.000254,1
0.000922716,0.000729294,0.000254,1
0.00123434,0.000802256,0.000254,1
0.00107377,0.000871178,0.000254,1
0.00108329,0.000660372,0.000254,1
0.00119575,0.000513957,0.000254,1
0.00121505,0.000658107,0.000254,1
0.00131799,0.000903595,0.000254,1
0.00140467,0.000845628,0.000254,1
0.00140315,0.000925281,0.000254,1
0.0013468,0.000655841,0.000254,1
0.00151713,0.000699213,0.000254,1
0.00137573,0.000750734,0.000254,1
0.00157766,0.000596203,0.000254,1
0.00166713,0.000476963,0.000254,1
0.00168159,0.000579972,0.000254,1
0.00102311,0.00122674,0.000254,1
0.000913191,0.0009401,0.000254,1
0.00107073,0.00103048,0.000254,1
0.00164097,0.000357722,0.000254,1
0.00174491,0.000341491,0.000254,1
0.00170602,0.000409227,0.000254,1
0.002,0.0004445,0.0001905,1
0.002,0.0004445,6.35e-05,1
0.002,0.000518583,0.00015875,1
0.002,0.000148167,0.0001905,1
0.002,0,0,1
0.002,0.000148167,6.35e-05,1
0.00196875,0,0.0001905,2
0.0019375,0,0.000254,2
0.0019375,0,0.0001905,2
0.001,0,-0.000641131,3
0.00149114,0,-0.00104657,3
0.00151535,0,-0.00048999,3
0.00149114,0,-0.00104657,3
0.002,0,-0.0006858,3
0.00151535,0,-0.00048999,3
0.002,0.000414515,-0.000445032,1
0.002,0.000889,-0.000513264,1
0.002,0.000740833,-0.000256632,1
0.002,0.000889,-0.000513264,1
0.002,0.00118533,0,1
0.002,0.000889,0,1
0.00151535,0,-0.00048999,3
0.00133333,0,0,3
0.00116667,0,-0.000320565,3
0.000666667,0,0,3
0.001,0,-0.000641131,3
0.00116667,0,-0.000320565,3
0.002,0.000296333,0,1
0.002,0.000207257,-0.000222516,1
0.002,0.000399962,-0.000111258,1
0.002,0,-0.0003429,1
0.002,0.000414515,-0.000445032,1
0.002,0.000207257,-0.000222516,1
0.00175768,0,-0.000244995,3
0.002,0,-0.0006858,3
0.002,0,-0.0003429,3
0.00133333,0,0,3
0.00151535,0,-0.00048999,3
0.00175768,0,-0.000244995,3
0.001875,0.00066675,0.000263375,1
