#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,2
#number of ports,2
#S-port 1,net1,not renormalized
#S-port 2,net2,not renormalized
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1)),dB(S(2;1)),deg(S(2;1)),dB(S(1;2)),deg(S(1;2)),dB(S(2;2)),deg(S(2;2))
26,-10.7552361983089,-58.411458557854,-0.366374763037558,-57.6513185620668,-0.366374763037558,-57.6513185620668,-10.6843104508026,122.794570674382
#35,-10.6404619711219,-80.3612002716201,-0.363435457337438,-83.3823745680094,-0.363435457337438,-83.3823745680094,-10.4876346797673,92.5293111784836
#35,-10.6630203157499,-79.5082737088647,-0.360911309414426,-83.3676199353465,-0.360911309414426,-83.3676199353465,-10.5204495020043,91.658224802142
#35,-10.8115136776556,-81.7058564508174,-0.348240220188099,-83.3334098246013,-0.348240220188099,-83.3334098246013,-10.690214919232,94.0916361826321
#35,-10.82065306158,-80.5699562435302,-0.347358451559548,-83.2239750076536,-0.347358451559548,-83.2239750076536,-10.6969187927326,93.1277541032153
#35,-10.8267768725223,-81.304452729656,-0.346921430360861,-83.0768637178701,-0.346921430360861,-83.0768637178701,-10.7125407680241,94.2228162701497
#35,-10.8451967745909,-80.5248250657646,-0.345208028349795,-82.9640596273813,-0.345208028349795,-82.9640596273813,-10.7312589696343,93.6411597014914
#35,-10.8782971295914,-81.2912643470252,-0.342594788089629,-82.9593922391015,-0.342594788089629,-82.9593922391015,-10.7661984803134,94.4691415930675
#35,-10.8883742011984,-81.3769964957354,-0.341691510626563,-82.8765509835581,-0.341691510626563,-82.8765509835581,-10.7804702058993,94.7336549114669
#35,-10.8938476325025,-81.2038576810045,-0.341187248938449,-82.8548593797453,-0.341187248938449,-82.8548593797453,-10.7860299050029,94.5966793532157
#35,-10.9017339580408,-81.504357172899,-0.340704353286926,-82.858846463239,-0.340704353286926,-82.858846463239,-10.7934520445265,94.9123205170842
35,-10.9058712545782,-81.4812346848456,-0.340375907248092,-82.8294520933749,-0.340375907248092,-82.8294520933749,-10.7985144215818,94.9529171706525
