#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,2
#number of ports,2
#S-port 1,net1,not renormalized
#S-port 2,net2,not renormalized
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1)),dB(S(2;1)),deg(S(2;1)),dB(S(1;2)),deg(S(1;2)),dB(S(2;2)),deg(S(2;2))
26,-10.7393084431437,-58.1620611979021,-0.367671835767739,-57.6692402981367,-0.367671835767739,-57.6692402981367,-10.6672718404269,122.502117572135
#35,-10.6404619719005,-80.3612002649933,-0.363435457230018,-83.3823745708513,-0.363435457230018,-83.3823745708513,-10.4876346797125,92.5293111664812
#35,-10.6630203157472,-79.5082737089219,-0.360911309413674,-83.3676199353228,-0.360911309413674,-83.3676199353228,-10.5204495020174,91.6582248021244
#35,-10.8115136776667,-81.7058564508827,-0.348240220190774,-83.3334098245965,-0.348240220190774,-83.3334098245965,-10.6902149192259,94.0916361828021
#35,-10.8206530615881,-80.5699562433897,-0.347358451560002,-83.2239750076474,-0.347358451560002,-83.2239750076474,-10.6969187927283,93.1277541032373
#35,-10.8267768725159,-81.3044527297201,-0.346921430361573,-83.0768637178851,-0.346921430361573,-83.0768637178851,-10.7125407680283,94.2228162699469
#35,-10.8451967745995,-80.5248250659958,-0.345208028353472,-82.9640596274437,-0.345208028353472,-82.9640596274437,-10.7312589695607,93.6411597021477
#35,-10.8782971295866,-81.2912643472338,-0.342594788093168,-82.959392239184,-0.342594788093168,-82.959392239184,-10.7661984802462,94.4691415937489
#35,-10.8883742012386,-81.3769964954067,-0.341691510634314,-82.8765509835094,-0.341691510634314,-82.8765509835094,-10.7804702058673,94.7336549116331
35,-10.8938476325165,-81.2038576809949,-0.341187248940495,-82.8548593797735,-0.341187248940495,-82.8548593797735,-10.7860299050725,94.5966793529786
