#Touchstone format,MA
#frequency unit,GHz
#number of frequencies,15
#number of ports,2
#S-port 1,net1,not renormalized
#S-port 2,net2,not renormalized
#prior iterations pre-pended by #
#Frequency(GHz),mag(S(1;1)),deg(S(1;1)),mag(S(2;1)),deg(S(2;1)),mag(S(1;2)),deg(S(1;2)),mag(S(2;2)),deg(S(2;2))
26,0.290425387736298,-58.1620611977976,0.958553612407654,-57.6692402983131,0.958553612407654,-57.6692402983131,0.292844052365217,122.502117571789
27,0.28851111301947,-60.7561850955938,0.959289059655965,-60.5280168527663,0.959289059655965,-60.5280168527663,0.291130911703656,119.334907948888
28,0.287066770727862,-63.3385970176415,0.959883078611173,-63.364657218841,0.959883078611173,-63.364657218841,0.289881025015324,116.196146916063
29,0.286013863216028,-65.9110421710674,0.960360289219883,-66.1829062913965,0.960360289219883,-66.1829062913965,0.289012259949626,113.07974680114
30,0.285291944526206,-68.4749725771341,0.960738644715697,-68.9859121981895,0.960738644715697,-68.9859121981895,0.288459772617926,109.980483865947
31,0.284853877614923,-71.0316073893371,0.961031135568299,-71.7763588657794,0.961031135568299,-71.7763588657794,0.288171103838759,106.893789018556
32,0.28466254752327,-73.5819803255544,0.961246902271429,-74.5565644247877,0.961246902271429,-74.5565644247877,0.288102696748262,103.815594060412
33,0.284688541262697,-76.1269783331528,0.961391956818404,-77.3285551706461,0.961391956818404,-77.3285551706461,0.288217340118182,100.742218538827
34,0.284908485390205,-78.6673745016672,0.96146963397673,-80.0941214202479,0.96146963397673,-80.0941214202479,0.288482221320046,97.6702880847603
#35,0.293749341283247,-80.361200308436,0.959021242844139,-83.3823745717548,0.959021242844139,-83.3823745717548,0.29896356660441,92.5293112078464
#35,0.292987427259042,-79.5082737089564,0.959299978042373,-83.3676199353538,0.959299978042373,-83.3676199353538,0.297836229271916,91.6582248020848
#35,0.288021107574212,-81.7058564510294,0.960700438633498,-83.3334098246177,0.960700438633498,-83.3334098246177,0.292071549062112,94.0916361828131
#35,0.287718208136698,-80.5699562435341,0.960797971361365,-83.223975007638,0.960797971361365,-83.223975007638,0.291846211717097,93.1277541033084
#35,0.287515429720217,-81.3044527297853,0.960846314094511,-83.0768637178575,0.960846314094511,-83.0768637178575,0.291321784516273,94.2228162700611
#35,0.286906350546351,-80.5248250654515,0.961035871924534,-82.9640596273897,0.961035871924534,-82.9640596273897,0.290694658377957,93.6411597016981
#35,0.285815082952188,-81.2912643475697,0.961325053064853,-82.9593922391553,0.961325053064853,-82.9593922391553,0.289527670436027,94.4691415934663
#35,0.285483682360125,-81.3769964950339,0.961425029974557,-82.8765509834718,0.961425029974557,-82.8765509834718,0.289052340122076,94.7336549106966
35,0.285303840898616,-81.2038576808727,0.961480847387055,-82.8548593798349,0.961480847387055,-82.8548593798349,0.28886738153961,94.5966793522014
36,0.285860022033103,-83.7370608119635,0.961424198127345,-85.6122015763831,0.961424198127345,-85.6122015763831,0.289344433854958,91.5184897737315
37,0.28656574801689,-86.2675897879104,0.961295967402367,-88.3674372375712,0.961295967402367,-88.3674372375712,0.289885449751383,88.4330330978766
38,0.28741256315756,-88.7960546110954,0.961090016789373,-91.1217230675568,0.961090016789373,-91.1217230675568,0.290461952107825,85.3378643774702
39,0.288394477723739,-91.3231045667772,0.960797617552542,-93.8760840483631,0.960797617552542,-93.8760840483631,0.291043979795462,82.2308407258436
40,0.289507691658073,-93.8494691628492,0.960407234565467,-96.6314031698097,0.960407234565467,-96.6314031698097,0.291599216435006,79.1102270803238
