"X","Y","Z","attribute"
-0.000131763,0.0003048,0.000861111,7
-0.000131763,0.0003048,0.000847222,7
-0.000135731,0.0003048,0.000854167,7
-0.000123825,0.0003048,0.000972222,7
-0.0001397,0.0003048,0.000944444,7
-0.0001397,0.0003048,0.000972222,7
-0.000123825,0.0003048,0.000916667,7
-0.0001397,0.0003048,0.000888889,7
-0.0001397,0.0003048,0.000916667,7
-0.0001397,0.0003048,0.000805556,7
-0.000123825,0.0003048,0.000805556,7
-0.000131763,0.0003048,0.000791667,7
-0.000131763,0.0003048,0.000694444,7
-0.000131763,0.0003048,0.000680556,7
-0.000135731,0.0003048,0.0006875,7
-0.000131763,0.0003048,0.000638889,7
-0.000131763,0.0003048,0.000625,7
-0.000135731,0.0003048,0.000631944,7
-1.27962e-06,0.000201468,0.001,4
-3.68415e-05,0.000264255,0.001,4
-6.87453e-05,0.000220108,0.001,4
-3.81e-05,0.0003048,0.00075,7
-7.62e-05,0.0003048,0.0005,7
-7.62e-05,0.0003048,0.00075,7
-3.68415e-05,0.000264255,0.001,4
-9.17139e-05,0.000267296,0.001,4
-6.87453e-05,0.000220108,0.001,4
-0.000131763,0.0003048,0.000680556,7
-0.00010795,0.0003048,0.000666667,7
-0.000123825,0.0003048,0.000666667,7
-0.000149057,0.000268801,0.001,4
-0.000125163,0.000279264,0.001,4
-0.000148306,0.000292032,0.001,4
-0.000115887,0.0003048,0.000597222,7
-0.00010795,0.0003048,0.000583333,7
-0.000115887,0.0003048,0.000583333,7
-9.2075e-05,0.0003048,0.000555556,7
-0.00010795,0.0003048,0.000555556,7
-0.00010795,0.0003048,0.000583333,7
-0.00010795,0.0003048,0.001,7
-0.00010795,0.0003048,0.000944444,7
-0.000123825,0.0003048,0.000972222,7
-0.0001397,0.0003048,0.00075,7
-0.000123825,0.0003048,0.00075,7
-0.000131763,0.0003048,0.000736111,7
-0.000131763,0.0003048,0.000569444,7
-0.00010795,0.0003048,0.000555556,7
-0.000123825,0.0003048,0.000555556,7
-8.30518e-05,0.000136628,0.001,4
-1.27962e-06,0.000201468,0.001,4
-6.87453e-05,0.000220108,0.001,4
-0.000131763,0.0003048,0.000569444,7
-0.0001397,0.0003048,0.000583333,7
-0.000131763,0.0003048,0.000583333,7
-0.00010795,0.0003048,0.000944444,7
-0.00010795,0.0003048,0.000888889,7
-0.000123825,0.0003048,0.000916667,7
-0.000131763,0.0003048,0.000875,7
-0.00010795,0.0003048,0.000888889,7
-0.000115887,0.0003048,0.000875,7
-0.000131763,0.0003048,0.000625,7
-0.00010795,0.0003048,0.000611111,7
-0.000123825,0.0003048,0.000611111,7
-9.17139e-05,0.000267296,0.001,4
-0.00010795,0.0003048,0.001,4
-0.000125163,0.000279264,0.001,4
-0.000131763,0.0003048,0.000597222,7
-0.00010795,0.0003048,0.000611111,7
-0.000115887,0.0003048,0.000597222,7
-0.000126663,0.000232802,0.001,4
-8.30518e-05,0.000136628,0.001,4
-6.87453e-05,0.000220108,0.001,4
-0.00010795,0.0003048,0.000694444,7
-0.000123825,0.0003048,0.000694444,7
-0.000115887,0.0003048,0.000708333,7
-7.62e-05,0.0003048,0.001,7
-0.00010795,0.0003048,0.000888889,7
-0.00010795,0.0003048,0.000944444,7
-0.000148306,0.000292032,0.001,4
-0.0001397,0.0003048,0.001,4
-0.000155575,0.0003048,0.001,4
-0.000192839,0.000216427,0.001,4
-8.30518e-05,0.000136628,0.001,4
-0.000126663,0.000232802,0.001,4
-0.000182145,0.000260613,0.001,4
-0.000126663,0.000232802,0.001,4
-0.000149057,0.000268801,0.001,4
-0.000336436,0.0003048,0.001,4
-0.000336436,0.000208374,0.001,4
-0.000269818,0.000256587,0.001,4
-0.000340367,5.55779e-05,0.001,4
-0.000336436,0.000208374,0.001,4
-0.000390468,0.000104187,0.001,4
-0.000464845,0.000185207,0.001,4
-0.0004445,0,0.001,4
-0.000390468,0.000104187,0.001,4
-0.000236235,0.000111156,0.001,4
-0.000192839,0.000216427,0.001,4
-0.000264638,0.0002124,0.001,4
-0.000236235,0.000111156,0.001,4
-8.30518e-05,0.000136628,0.001,4
-0.000192839,0.000216427,0.001,4
-0.000269818,0.000256587,0.001,4
-0.000192839,0.000216427,0.001,4
-0.00019802,0.000260613,0.001,4
-0.000131763,0.0003048,0.000708333,7
-0.00010795,0.0003048,0.000722222,7
-0.000115887,0.0003048,0.000708333,7
-0.000469672,0.0003048,0.001,4
-0.000593254,0.00016204,0.001,4
-0.000464845,0.000185207,0.001,4
-0.000123825,0.0003048,0.000916667,7
-0.0001397,0.0003048,0.000944444,7
-0.00010795,0.0003048,0.000944444,7
-0.000131763,0.0003048,0.000736111,7
-0.00010795,0.0003048,0.000722222,7
-0.000123825,0.0003048,0.000722222,7
-0.000126663,0.000232802,0.001,4
-6.87453e-05,0.000220108,0.001,4
-9.17139e-05,0.000267296,0.001,4
-0.00010795,0.0003048,0.000777778,7
-0.0001397,0.0003048,0.000777778,7
-0.000131763,0.0003048,0.000791667,7
-0.0002921,0,0.001,4
-0.000236235,0.000111156,0.001,4
-0.000340367,5.55779e-05,0.001,4
-0.0002921,0,0.001,10
-0.0002921,0,0.00082398,10
-0.0002159,0,0.00091199,10
-0.0001397,0.0003048,0.000944444,7
-0.000123825,0.0003048,0.000972222,7
-0.00010795,0.0003048,0.000944444,7
-0.000123825,0.0003048,0.00075,7
-0.0001397,0.0003048,0.000777778,7
-0.00010795,0.0003048,0.000777778,7
-0.000125163,0.000279264,0.001,4
-0.00010795,0.0003048,0.001,4
-0.000123825,0.0003048,0.001,4
-0.00010795,0.0003048,0.001,7
-0.000123825,0.0003048,0.000972222,7
-0.000131763,0.0003048,0.000986111,7
-0.000123825,0.0003048,0.00075,7
-0.00010795,0.0003048,0.000777778,7
-0.00010795,0.0003048,0.00075,7
-0.000126663,0.000232802,0.001,4
-9.17139e-05,0.000267296,0.001,4
-0.000125163,0.000279264,0.001,4
-0.000182145,0.000260613,0.001,4
-0.0002032,0.0003048,0.001,4
-0.00019802,0.000260613,0.001,4
-8.30518e-05,0.000136628,0.001,4
-0.000236235,0.000111156,0.001,4
-0.0001397,0,0.001,4
-3.68415e-05,0.000264255,0.001,4
-7.62e-05,0.0003048,0.001,4
-9.17139e-05,0.000267296,0.001,4
-0.00010795,0.0003048,0.001,4
-9.17139e-05,0.000267296,0.001,4
-7.62e-05,0.0003048,0.001,4
-7.62e-05,0.0003048,0.001,7
-0.00010795,0.0003048,0.000944444,7
-0.00010795,0.0003048,0.001,7
-7.62e-05,0.0003048,0.00075,7
-0.00010795,0.0003048,0.000777778,7
-9.2075e-05,0.0003048,0.000888889,7
-9.2075e-05,0.0003048,0.000888889,7
-0.00010795,0.0003048,0.000833333,7
-9.2075e-05,0.0003048,0.000916667,7
-0.00010795,0.0003048,0.000888889,7
-7.62e-05,0.0003048,0.001,7
-9.2075e-05,0.0003048,0.000916667,7
-0.000131763,0.0003048,0.000652778,7
-0.00010795,0.0003048,0.000666667,7
-0.000115887,0.0003048,0.000652778,7
-0.00010795,0.0003048,0.000638889,7
-0.000123825,0.0003048,0.000638889,7
-0.000115887,0.0003048,0.000652778,7
-9.2075e-05,0.0003048,0.000583333,7
-0.00010795,0.0003048,0.000611111,7
-0.00010795,0.0003048,0.000638889,7
-0.00010795,0.0003048,0.000861111,7
