#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,51
#number of ports,2
#S-port 1,in,not renormalized
#S-port 2,out,not renormalized
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1)),dB(S(2;1)),deg(S(2;1)),dB(S(1;2)),deg(S(1;2)),dB(S(2;2)),deg(S(2;2))
0.3,-62.6704273570719,134.611679203218,-0.00366031604525095,-0.661325518261911,-0.00366031604525095,-0.661325518261911,-62.7230364287455,86.8450949914096
1,-66.8508794156973,114.88243815214,-0.00400032019629079,-2.29172108086665,-0.00400032019629079,-2.29172108086665,-62.0543163237621,53.5690658773775
2,-68.1425277056391,89.46293487069,-0.00650102298883757,-4.61368676204069,-0.00650102298883757,-4.61368676204069,-60.666709972586,38.8616235567285
3,-67.3183228008814,69.1771420198462,-0.00928458167491602,-6.93319406851704,-0.00928458167491602,-6.93319406851704,-59.491867913018,31.7590130355922
4,-65.851600347818,55.3779895208412,-0.0121305973984387,-9.25171560424763,-0.0121305973984387,-9.25171560424763,-58.4938771610358,27.0746180553231
5,-64.3501196332301,45.8417988347135,-0.0149890716287825,-11.5697348633499,-0.0149890716287825,-11.5697348633499,-57.6318284654091,23.4046960311804
6,-62.9892607167435,38.7894291733072,-0.0178480531468858,-13.8874616307158,-0.0178480531468858,-13.8874616307158,-56.8749535747354,20.2509738344028
7,-61.7902035514172,33.1872074366248,-0.0207023008130044,-16.2049978019739,-0.0207023008130044,-16.2049978019739,-56.2027990965321,17.3770794810722
8,-60.7380322094882,28.4653339198964,-0.0235496089746092,-18.5224016248556,-0.0235496089746092,-18.5224016248556,-55.6012711596383,14.6612001339364
9,-59.811903130397,24.3008137014617,-0.0263890483230768,-20.8397086922034,-0.0263890483230768,-20.8397086922034,-55.0601227142318,12.0351867340525
10,-58.9927463298847,20.5017015519828,-0.0292202567531272,-23.1569419468465,-0.0292202567531272,-23.1569419468465,-54.571606481256,9.45836736008682
11,-58.2647274210987,16.9483436366158,-0.0320431387018479,-25.4741168392324,-0.0320431387018479,-25.4741168392324,-54.1296924677827,6.90512383489396
12,-57.6150580289605,13.562788943105,-0.034857729401703,-27.7912441596524,-0.034857729401703,-27.7912441596524,-53.7295816356369,4.35853418468971
13,-57.0334576805695,10.2921885201787,-0.037664130008092,-30.108331676406,-0.037664130008092,-30.108331676406,-53.3673867582585,1.80691248778444
14,-56.5116263265526,7.09938503259704,-0.0404624750850724,-32.4253851286384,-0.0404624750850724,-32.4253851286384,-53.0399139547309,-0.758174188554445
15,-56.0428095059555,3.95735528431957,-0.0432529156860971,-34.7424088513325,-0.0432529156860971,-34.7424088513325,-52.7445079840215,-3.34309317775528
16,-55.6214589497463,0.84580484308087,-0.0460356103272897,-37.0594061812841,-0.0460356103272897,-37.0594061812841,-52.4789395229982,-5.9528847601323
17,-55.2429723901278,-2.25098830165403,-0.048810720207857,-39.3763797288257,-0.048810720207857,-39.3763797288257,-52.2413212025783,-8.59173904879376
18,-54.9034961588767,-5.34561441336485,-0.0515784055502954,-41.6933315642447,-0.0515784055502954,-41.6933315642447,-52.0300405697621,-11.2632914395215
19,-54.5997671817743,-8.44840458238516,-0.0543388263218705,-44.0102633532322,-0.0543388263218705,-44.0102633532322,-51.8437171021026,-13.970898502926
20,-54.3289993522588,-11.5681666630687,-0.0570921391859669,-46.3271764425542,-0.0570921391859669,-46.3271764425542,-51.6811547591639,-16.7177261567966
21,-54.0887867788064,-14.7126003573432,-0.0598384983049885,-48.6440719325345,-0.0598384983049885,-48.6440719325345,-51.541314109912,-19.5069015647597
22,-53.8770295858376,-17.8886375602074,-0.0625780549425019,-50.9609507257216,-0.0625780549425019,-50.9609507257216,-51.4232850526861,-22.341593986551
23,-53.6918731845505,-21.1026846917671,-0.0653109573948572,-53.277813563855,-0.0653109573948572,-53.277813563855,-51.3262645211947,-25.2250862699657
24,-53.5316580564931,-24.3608030547,-0.0680373509783578,-55.5946610557682,-0.0680373509783578,-55.5946610557682,-51.2495372298648,-28.160834966144
25,-53.3948773649859,-27.6688437988178,-0.0707573780250449,-57.911493698344,-0.0707573780250449,-57.911493698344,-51.1924585300015,-31.1525229723594
26,-53.280140369868,-31.0325490965932,-0.0734711778438469,-60.228311892979,-0.0734711778438469,-60.228311892979,-51.154438658098,-34.2041074971059
27,-53.1861400352718,-34.4576260653878,-0.0761788866971586,-62.5451159580927,-0.0761788866971586,-62.5451159580927,-51.1349277555576,-37.3198645240377
28,-53.1116236708962,-37.9497979297058,-0.0788806377200257,-64.8619061393354,-0.0788806377200257,-64.8619061393354,-51.1334010834064,-40.5044310071456
29,-53.0553656571318,-41.5148340328772,-0.0815765608417618,-67.1786826175373,-0.0815765608417618,-67.1786826175373,-51.1493439113177,-43.7628445907311
30,-53.0161415780198,-45.1585591721441,-0.084266782670344,-69.4954455151979,-0.084266782670344,-69.4954455151979,-51.1822355717144,-47.1005804537654
31,-52.9927033374836,-48.8868407986061,-0.0869514264330933,-71.8121949019934,-0.0869514264330933,-71.8121949019934,-51.2315322017298,-50.5235842378751
32,-52.9837549641646,-52.7055527079824,-0.0896306119580401,-74.1289307996325,-0.0896306119580401,-74.1289307996325,-51.2966476463252,-54.0382987838794
33,-52.9879291871023,-56.6205101028704,-0.0923044558798128,-76.4456531854077,-0.0923044558798128,-76.4456531854077,-51.3769321922973,-57.6516813519568
34,-53.0037649634685,-60.637375523413,-0.0949730713010647,-78.7623619967259,-0.0949730713010647,-78.7623619967259,-51.4716482522746,-61.3712077416071
35,-53.0296866794185,-64.7615456728023,-0.0976365594847055,-81.0790571453176,-0.0976365594847055,-81.0790571453176,-51.5799408294848,-65.2048294228489
36,-53.0639871393677,-68.9979163769095,-0.100295034222128,-83.3957384771593,-0.100295034222128,-83.3957384771593,-51.700813410427,-69.1609979304074
