"X","Y","Z","attribute"
-0.000318504,-0.1,4.99623,6
-0.000318877,-0.1,4.99614,6
-0.000236957,-0.1,4.99618,6
-0.000155483,-0.1,4.99604,6
-0.000155099,-0.1,4.99614,6
-0.000237152,-0.1,4.99609,6
-0.000318877,-0.1,4.99614,6
-0.000319217,-0.1,4.99604,6
-0.000237152,-0.1,4.99609,6
-0.000319217,-0.1,4.99604,6
-0.000319758,-0.1,4.99595,6
-0.000237552,-0.1,4.99599,6
-0.000155923,-0.1,4.99595,6
-0.000155483,-0.1,4.99604,6
-0.000237552,-0.1,4.99599,6
-0.00065,-0.09995,4.996,6
-0.00065,-0.09995,4.9959,6
-0.00065,-0.1,4.99595,6
-0.00065,-0.09995,4.9961,6
-0.00065,-0.09995,4.996,6
-0.00065,-0.1,4.99605,6
-0.00065,-0.09995,4.9959,6
-0.00065,-0.09995,4.99581,6
-0.00065,-0.1,4.99586,6
-0.00065,-0.09995,4.99629,6
-0.00065,-0.09995,4.99638,6
-0.00065,-0.0999,4.99633,6
-0.000319758,-0.1,4.99595,6
-0.000320132,-0.1,4.99585,6
-0.000238037,-0.1,4.9959,6
-0.000567949,-0.1,4.9959,6
-0.000567521,-0.1,4.996,6
-0.00065,-0.1,4.99595,6
-0.00065,-0.09995,4.99619,6
-0.00065,-0.09995,4.9961,6
-0.00065,-0.1,4.99614,6
-0.00065,-0.09995,4.99619,6
-0.00065,-0.09995,4.99629,6
-0.00065,-0.0999,4.99624,6
-0.00065,-0.09995,4.9959,6
-0.00065,-0.09995,4.996,6
-0.00065,-0.0999,4.99595,6
-0.00065,-0.09995,4.99629,6
-0.00065,-0.09995,4.99619,6
-0.00065,-0.1,4.99624,6
-0.00065,-0.09995,4.9961,6
-0.00065,-0.09995,4.99619,6
-0.00065,-0.0999,4.99614,6
-0.00065,-0.1,4.99605,6
-0.000567521,-0.1,4.996,6
-0.000567521,-0.1,4.9961,6
-0.000236957,-0.1,4.99618,6
-0.000237152,-0.1,4.99609,6
-0.000155099,-0.1,4.99614,6
-0.000320132,-0.1,4.99585,6
-0.000320583,-0.1,4.99576,6
-0.000238585,-0.1,4.9958,6
-0.000482497,-0.1,4.99633,6
-0.000566087,-0.1,4.99638,6
-0.000565982,-0.1,4.99628,6
-0.000237552,-0.1,4.99599,6
-0.000238037,-0.1,4.9959,6
-0.000155923,-0.1,4.99595,6
-0.00065,-0.09995,4.99638,6
-0.00065,-0.09995,4.99629,6
-0.00065,-0.1,4.99633,6
-0.00065,-0.09995,4.99581,6
-0.00065,-0.09995,4.9959,6
-0.00065,-0.0999,4.99586,6
-0.00065,-0.1,4.99614,6
-0.000567521,-0.1,4.9961,6
-0.000567371,-0.1,4.99619,6
-0.000237152,-0.1,4.99609,6
-0.000237552,-0.1,4.99599,6
-0.000155483,-0.1,4.99604,6
-0.000400391,-0.1,4.99628,6
-0.000482497,-0.1,4.99633,6
-0.000483245,-0.1,4.99623,6
-0.00065,-0.09995,4.996,6
-0.00065,-0.09995,4.9961,6
-0.00065,-0.0999,4.99605,6
-0.000565982,-0.1,4.99628,6
-0.000483245,-0.1,4.99623,6
-0.000482497,-0.1,4.99633,6
-0.000237152,-0.1,4.99609,6
-0.000236957,-0.1,4.99618,6
-0.000318877,-0.1,4.99614,6
-0.000237552,-0.1,4.99599,6
-0.000237152,-0.1,4.99609,6
-0.000319217,-0.1,4.99604,6
-0.000400391,-0.1,4.99628,6
-0.000400805,-0.1,4.99619,6
-0.000318504,-0.1,4.99623,6
-0.00065,-0.1,4.99624,6
-0.000567371,-0.1,4.99619,6
-0.000565982,-0.1,4.99628,6
-0.000484318,-0.1,4.99595,6
-0.000567521,-0.1,4.996,6
-0.000567949,-0.1,4.9959,6
-0.000483245,-0.1,4.99623,6
-0.000400805,-0.1,4.99619,6
-0.000400391,-0.1,4.99628,6
-0.000238037,-0.1,4.9959,6
-0.000238585,-0.1,4.9958,6
-0.000156424,-0.1,4.99585,6
-0.000483245,-0.1,4.99623,6
-0.000565982,-0.1,4.99628,6
-0.000567371,-0.1,4.99619,6
-0.000238037,-0.1,4.9959,6
-0.000237552,-0.1,4.99599,6
-0.000319758,-0.1,4.99595,6
-0.00065,-0.1,4.99633,6
-0.000565982,-0.1,4.99628,6
-0.000566087,-0.1,4.99638,6
-0.000483245,-0.1,4.99623,6
-0.000483011,-0.1,4.99614,6
-0.000400805,-0.1,4.99619,6
-0.000400805,-0.1,4.99619,6
-0.000401174,-0.1,4.99609,6
-0.000318877,-0.1,4.99614,6
-7.46337e-05,-0.1,4.9958,6
-7.43115e-05,-0.1,4.9959,6
-0.000156424,-0.1,4.99585,6
-0.000567371,-0.1,4.99619,6
-0.000483011,-0.1,4.99614,6
-0.000483245,-0.1,4.99623,6
-0.000238585,-0.1,4.9958,6
-0.000238037,-0.1,4.9959,6
-0.000320132,-0.1,4.99585,6
-7.43115e-05,-0.1,4.9959,6
-7.38227e-05,-0.1,4.99599,6
-0.000155923,-0.1,4.99595,6
-7.38227e-05,-0.1,4.99599,6
-7.3347e-05,-0.1,4.99609,6
-0.000155483,-0.1,4.99604,6
-0.0004836,-0.1,4.99604,6
-0.000567521,-0.1,4.9961,6
-0.000567521,-0.1,4.996,6
-0.000567949,-0.1,4.9959,6
-0.000484802,-0.1,4.99585,6
-0.000484318,-0.1,4.99595,6
-0.000318877,-0.1,4.99614,6
-0.000318504,-0.1,4.99623,6
-0.000400805,-0.1,4.99619,6
-0.000483011,-0.1,4.99614,6
-0.000567371,-0.1,4.99619,6
-0.000567521,-0.1,4.9961,6
-0.0004836,-0.1,4.99604,6
-0.00040161,-0.1,4.996,6
-0.000401174,-0.1,4.99609,6
-0.000567521,-0.1,4.9961,6
-0.0004836,-0.1,4.99604,6
-0.000483011,-0.1,4.99614,6
-0.000319217,-0.1,4.99604,6
-0.000318877,-0.1,4.99614,6
-0.000401174,-0.1,4.99609,6
-0.000401174,-0.1,4.99609,6
-0.000400805,-0.1,4.99619,6
-0.000483011,-0.1,4.99614,6
-0.000401174,-0.1,4.99609,6
-0.00040161,-0.1,4.996,6
-0.000319217,-0.1,4.99604,6
-0.000567521,-0.1,4.996,6
-0.000484318,-0.1,4.99595,6
-0.0004836,-0.1,4.99604,6
-0.000484318,-0.1,4.99595,6
-0.000401997,-0.1,4.9959,6
-0.00040161,-0.1,4.996,6
-0.000319758,-0.1,4.99595,6
-0.000319217,-0.1,4.99604,6
-0.00040161,-0.1,4.996,6
-0.000484802,-0.1,4.99585,6
-0.000402382,-0.1,4.9958,6
-0.000401997,-0.1,4.9959,6
-0.0004836,-0.1,4.99604,6
-0.000484318,-0.1,4.99595,6
-0.00040161,-0.1,4.996,6
-0.000320132,-0.1,4.99585,6
-0.000319758,-0.1,4.99595,6
-0.000401997,-0.1,4.9959,6
-0.0001,-0.0999,4.9959,6
-0.0001,-0.0999,4.996,6
-5e-05,-0.0999,4.99595,6
-0.00040161,-0.1,4.996,6
-0.000401997,-0.1,4.9959,6
-0.000319758,-0.1,4.99595,6
-0.000401174,-0.1,4.99609,6
-0.000483011,-0.1,4.99614,6
-0.0004836,-0.1,4.99604,6
-0.0001,-0.0999,4.99581,6
-0.0001,-0.0999,4.9959,6
-5e-05,-0.0999,4.99586,6
-0.000401997,-0.1,4.9959,6
-0.000402382,-0.1,4.9958,6
-0.000320132,-0.1,4.99585,6
-0.000320583,-0.1,4.99576,6
-0.000320132,-0.1,4.99585,6
-0.000402382,-0.1,4.9958,6
-0.000401997,-0.1,4.9959,6
-0.000484318,-0.1,4.99595,6
-0.000484802,-0.1,4.99585,6
-0.000156424,-0.1,4.99585,6
-0.000156825,-0.1,4.99576,6
-7.46337e-05,-0.1,4.9958,6
-0.000155923,-0.1,4.99595,6
-0.000156424,-0.1,4.99585,6
-7.43115e-05,-0.1,4.9959,6
-0.000155483,-0.1,4.99604,6
