"X","Y","Z","attribute"
0.000157786,-0.0998,4.99547,6
0.000239374,-0.0998,4.99552,6
0.000239771,-0.0998,4.99543,6
0.000157674,-0.0998,4.99538,6
0.000239771,-0.0998,4.99543,6
0.000239597,-0.0998,4.99533,6
0.000157226,-0.0998,4.99528,6
0.000239597,-0.0998,4.99533,6
0.000240493,-0.0998,4.99523,6
0.00014454,-0.099885,4.99548,6
5.54596e-05,-0.099885,4.99548,6
9.99999e-05,-0.099885,4.99543,6
0.00014454,-0.099885,4.99557,6
5.54596e-05,-0.099885,4.99557,6
9.99999e-05,-0.099885,4.99552,6
0.00014454,-0.099885,4.99538,6
5.54596e-05,-0.099885,4.99538,6
9.99999e-05,-0.099885,4.99533,6
-0.00014454,-0.099885,4.99538,6
-0.00014454,-0.099885,4.99529,6
-0.0001,-0.099885,4.99533,6
0.000160766,-0.0998,4.99518,6
0.000240493,-0.0998,4.99523,6
0.000239863,-0.0998,4.99514,6
-5.54598e-05,-0.099885,4.99538,6
-0.00014454,-0.099885,4.99538,6
-0.0001,-0.099885,4.99533,6
0.00014454,-0.099885,4.99548,6
0.00014454,-0.099885,4.99557,6
9.99999e-05,-0.099885,4.99552,6
0.00014454,-0.099885,4.99538,6
0.00014454,-0.099885,4.99548,6
9.99999e-05,-0.099885,4.99543,6
5.54596e-05,-0.099885,4.99548,6
0.00014454,-0.099885,4.99548,6
9.99999e-05,-0.099885,4.99552,6
5.54596e-05,-0.099885,4.99557,6
0.00014454,-0.099885,4.99557,6
9.99999e-05,-0.099885,4.99562,6
-0.000168988,-0.0998,4.99538,6
-8.72446e-05,-0.0998,4.99533,6
-0.000168423,-0.0998,4.99528,6
5.54596e-05,-0.099885,4.99538,6
0.00014454,-0.099885,4.99538,6
9.99999e-05,-0.099885,4.99543,6
5.54596e-05,-0.099885,4.99529,6
0.00014454,-0.099885,4.99529,6
9.99999e-05,-0.099885,4.99533,6
0.00014454,-0.099885,4.99529,6
0.00014454,-0.099885,4.99538,6
9.99999e-05,-0.099885,4.99533,6
-5.95699e-06,-0.0998,4.99547,6
-5.63669e-06,-0.0998,4.99538,6
-8.75499e-05,-0.0998,4.99542,6
5.54596e-05,-0.099885,4.9951,6
0.00014454,-0.099885,4.9951,6
9.99999e-05,-0.099885,4.99514,6
-6.37852e-06,-0.0998,4.99557,6
-5.95699e-06,-0.0998,4.99547,6
-8.79933e-05,-0.0998,4.99552,6
5.54596e-05,-0.099885,4.99519,6
0.00014454,-0.099885,4.99519,6
9.99999e-05,-0.099885,4.99524,6
0.00014454,-0.099885,4.9951,6
5.54596e-05,-0.099885,4.9951,6
9.99999e-05,-0.099885,4.99505,6
0.00014454,-0.099885,4.9951,6
0.00014454,-0.099885,4.99519,6
9.99999e-05,-0.099885,4.99514,6
0.000160766,-0.0998,4.99518,6
0.000149609,-0.0998,4.99509,6
8.68837e-05,-0.0998,4.99515,6
-5.95699e-06,-0.0998,4.99547,6
-6.37852e-06,-0.0998,4.99557,6
7.57229e-05,-0.0998,4.99552,6
0.00014454,-0.099885,4.99519,6
0.00014454,-0.099885,4.99529,6
9.99999e-05,-0.099885,4.99524,6
-5.63669e-06,-0.0998,4.99538,6
-5.95699e-06,-0.0998,4.99547,6
7.61465e-05,-0.0998,4.99542,6
0.000239863,-0.0998,4.99514,6
0.000323906,-0.0998,4.99508,6
0.000234564,-0.0998,4.99506,6
-0.00014454,-0.099885,4.99538,6
