"X","Y","Z","attribute"
0.000570098,-0.101568,4.9951,6
0.000569272,-0.101474,4.9951,6
0.000491642,-0.101523,4.9951,6
0.00065,-0.101471,4.99505,6
0.00065,-0.101567,4.99505,6
0.00065,-0.101519,4.995,6
0.00065,-0.101567,4.99505,6
0.00065,-0.101662,4.99505,6
0.00065,-0.101614,4.995,6
0.000491898,-0.101429,4.9951,6
0.000491642,-0.101523,4.9951,6
0.000569272,-0.101474,4.9951,6
0.000571422,-0.101659,4.9951,6
0.000570098,-0.101568,4.9951,6
0.000494761,-0.101613,4.9951,6
0.000414771,-0.101477,4.9951,6
0.000415287,-0.101382,4.9951,6
0.000334162,-0.101429,4.9951,6
0.000570098,-0.101568,4.9951,6
0.000491642,-0.101523,4.9951,6
0.000494761,-0.101613,4.9951,6
0.00065,-0.101567,4.99505,6
0.00065,-0.101471,4.99505,6
0.00065,-0.101519,4.9951,6
0.000334162,-0.101429,4.9951,6
0.000252152,-0.101476,4.9951,6
0.000333635,-0.101523,4.9951,6
0.000491642,-0.101523,4.9951,6
0.000491898,-0.101429,4.9951,6
0.000414771,-0.101477,4.9951,6
0.000569272,-0.101474,4.9951,6
0.000570098,-0.101568,4.9951,6
0.00065,-0.101519,4.9951,6
0.00065,-0.101662,4.99505,6
0.00065,-0.101757,4.99505,6
0.00065,-0.10171,4.995,6
0.00065,-0.101662,4.99505,6
0.00065,-0.101567,4.99505,6
0.00065,-0.101614,4.9951,6
0.000414898,-0.101571,4.9951,6
0.000414771,-0.101477,4.9951,6
0.000333635,-0.101523,4.9951,6
0.00065,-0.101614,4.9951,6
0.000570098,-0.101568,4.9951,6
0.000571422,-0.101659,4.9951,6
0.000252152,-0.101476,4.9951,6
0.000170103,-0.101523,4.9951,6
0.000251582,-0.10157,4.9951,6
0.000415287,-0.101382,4.9951,6
0.000414771,-0.101477,4.9951,6
0.000491898,-0.101429,4.9951,6
0.000571606,-0.101382,4.9951,6
0.000491898,-0.101429,4.9951,6
0.000569272,-0.101474,4.9951,6
0.000333635,-0.101523,4.9951,6
0.000251582,-0.10157,4.9951,6
0.000333055,-0.101618,4.9951,6
0.000334162,-0.101429,4.9951,6
0.000333635,-0.101523,4.9951,6
0.000414771,-0.101477,4.9951,6
0.000414771,-0.101477,4.9951,6
0.000414898,-0.101571,4.9951,6
0.000491642,-0.101523,4.9951,6
0.000467226,-0.10175,4.9951,6
0.000418737,-0.101671,4.9951,6
0.000392846,-0.101752,4.9951,6
0.00065,-0.101757,4.99505,6
0.00065,-0.101662,4.99505,6
0.00065,-0.10171,4.9951,6
0.000560852,-0.10175,4.9951,6
0.00065,-0.10171,4.9951,6
0.000571422,-0.101659,4.9951,6
0.000414898,-0.101571,4.9951,6
0.000418737,-0.101671,4.9951,6
0.000494761,-0.101613,4.9951,6
0.000251582,-0.10157,4.9951,6
0.000333635,-0.101523,4.9951,6
0.000252152,-0.101476,4.9951,6
0.000494761,-0.101613,4.9951,6
0.000418737,-0.101671,4.9951,6
0.000503154,-0.101687,4.9951,6
0.000571422,-0.101659,4.9951,6
0.000494761,-0.101613,4.9951,6
0.000503154,-0.101687,4.9951,6
0.000325708,-0.101807,4.9951,6
0.000420766,-0.101822,4.9951,6
0.000392846,-0.101752,4.9951,6
0.000252407,-0.101662,4.9951,6
0.000175505,-0.101725,4.9951,6
0.000262158,-0.101744,4.9951,6
0.000333635,-0.101523,4.9951,6
0.000333055,-0.101618,4.9951,6
0.000414898,-0.101571,4.9951,6
0.000252152,-0.101476,4.9951,6
0.000170579,-0.101428,4.9951,6
0.000170103,-0.101523,4.9951,6
0.000560852,-0.10175,4.9951,6
0.000571422,-0.101659,4.9951,6
0.000503154,-0.101687,4.9951,6
0.000330203,-0.101711,4.9951,6
0.000333055,-0.101618,4.9951,6
0.000252407,-0.101662,4.9951,6
0.000333055,-0.101618,4.9951,6
0.000418737,-0.101671,4.9951,6
0.000414898,-0.101571,4.9951,6
0.000251582,-0.10157,4.9951,6
0.000170938,-0.101619,4.9951,6
0.000252407,-0.101662,4.9951,6
0.000418737,-0.101671,4.9951,6
0.000333055,-0.101618,4.9951,6
0.000330203,-0.101711,4.9951,6
0.000467226,-0.10175,4.9951,6
0.000560852,-0.10175,4.9951,6
0.000503154,-0.101687,4.9951,6
0.000560852,-0.10175,4.9951,6
0.000467226,-0.10175,4.9951,6
0.000506685,-0.101822,4.9951,6
0.00014454,-0.101614,4.99502,6
0.00014454,-0.10171,4.99502,6
9.99999e-05,-0.101662,4.99502,6
0.000420766,-0.101822,4.9951,6
0.000506685,-0.101822,4.9951,6
0.000467226,-0.10175,4.9951,6
0.000569272,-0.101474,4.9951,6
0.00065,-0.101424,4.9951,6
0.000571606,-0.101382,4.9951,6
0.000333055,-0.101618,4.9951,6
0.000251582,-0.10157,4.9951,6
